country,model,exog_vars,value,metric,stat
US,arima,death_all,13688.733968460385,MAE,MEDIAN
US,arima,death_mobility,13707.384113270937,MAE,MEDIAN
US,arima,death_recovered,13595.042878379369,MAE,MEDIAN
US,arima,death_stringency,13750.858819351924,MAE,MEDIAN
US,arima,no_exog,22631.135520854044,MAE,MEDIAN
US,cnn_lstm,death_all,38535.04185267857,MAE,MEDIAN
US,cnn_lstm,death_mobility,40177.92550223215,MAE,MEDIAN
US,cnn_lstm,death_recovered,40482.040736607145,MAE,MEDIAN
US,cnn_lstm,death_stringency,38727.017857142855,MAE,MEDIAN
US,cnn_lstm,no_exog,31645.34654017857,MAE,MEDIAN
US,curvefit_lstm,death_all,37191.003766214046,MAE,MEDIAN
US,curvefit_lstm,death_mobility,39297.6716510103,MAE,MEDIAN
US,curvefit_lstm,death_recovered,43817.478220254445,MAE,MEDIAN
US,curvefit_lstm,death_stringency,43720.95388884522,MAE,MEDIAN
US,curvefit_lstm,no_exog,31607.090732470395,MAE,MEDIAN
US,lstm,death_all,28422.140764508928,MAE,MEDIAN
US,lstm,death_mobility,25720.00223214285,MAE,MEDIAN
US,lstm,death_recovered,25154.2470703125,MAE,MEDIAN
US,lstm,death_stringency,26014.314174107145,MAE,MEDIAN
US,lstm,no_exog,22918.591866629464,MAE,MEDIAN
US,prophet,death_all,28802.24091353419,MAE,MEDIAN
US,prophet,death_mobility,29533.293281335595,MAE,MEDIAN
US,prophet,death_recovered,27991.26622585996,MAE,MEDIAN
US,prophet,death_stringency,27957.88884698065,MAE,MEDIAN
US,prophet,no_exog,33912.14804063827,MAE,MEDIAN
US,sarima,death_all,13522.236102273187,MAE,MEDIAN
US,sarima,death_mobility,13521.509744098055,MAE,MEDIAN
US,sarima,death_recovered,13521.795345642831,MAE,MEDIAN
US,sarima,death_stringency,13521.509744098055,MAE,MEDIAN
US,sarima,no_exog,15643.559265350032,MAE,MEDIAN
US,svr,death_all,13187.600348334614,MAE,MEDIAN
US,svr,death_mobility,13211.898444724033,MAE,MEDIAN
US,svr,death_recovered,13320.358694655855,MAE,MEDIAN
US,svr,death_stringency,13303.162282853154,MAE,MEDIAN
US,svr,no_exog,15484.061618845137,MAE,MEDIAN
US,arima,death_all,8505.32221847956,MAE,P25
US,arima,death_mobility,8543.73120084825,MAE,P25
US,arima,death_recovered,8459.346999513324,MAE,P25
US,arima,death_stringency,8559.662304852427,MAE,P25
US,arima,no_exog,18211.714826346622,MAE,P25
US,cnn_lstm,death_all,30828.388253348217,MAE,P25
US,cnn_lstm,death_mobility,33370.98005022321,MAE,P25
US,cnn_lstm,death_recovered,34405.4462890625,MAE,P25
US,cnn_lstm,death_stringency,30063.312918526783,MAE,P25
US,cnn_lstm,no_exog,25377.714704241072,MAE,P25
US,curvefit_lstm,death_all,27756.224221765387,MAE,P25
US,curvefit_lstm,death_mobility,30160.674455848584,MAE,P25
US,curvefit_lstm,death_recovered,34466.250202962554,MAE,P25
US,curvefit_lstm,death_stringency,34043.76847966194,MAE,P25
US,curvefit_lstm,no_exog,25193.98956703181,MAE,P25
US,lstm,death_all,20811.048130580355,MAE,P25
US,lstm,death_mobility,17947.366838727678,MAE,P25
US,lstm,death_recovered,17766.101283482145,MAE,P25
US,lstm,death_stringency,17847.981026785714,MAE,P25
US,lstm,no_exog,16873.643171037947,MAE,P25
US,prophet,death_all,16540.218010776374,MAE,P25
US,prophet,death_mobility,17019.994812549663,MAE,P25
US,prophet,death_recovered,15107.32622623242,MAE,P25
US,prophet,death_stringency,15009.53852947844,MAE,P25
US,prophet,no_exog,19921.71452792875,MAE,P25
US,sarima,death_all,9206.927118854595,MAE,P25
US,sarima,death_mobility,9206.988099635266,MAE,P25
US,sarima,death_recovered,9206.967076336929,MAE,P25
US,sarima,death_stringency,9206.988099635266,MAE,P25
US,sarima,no_exog,9351.936132246225,MAE,P25
US,svr,death_all,9107.689286763649,MAE,P25
US,svr,death_mobility,9129.490606666875,MAE,P25
US,svr,death_recovered,9398.951252505596,MAE,P25
US,svr,death_stringency,9135.849651599912,MAE,P25
US,svr,no_exog,10015.606531586487,MAE,P25
US,arima,death_all,22297.634931502733,MAE,P75
US,arima,death_mobility,22616.29336238032,MAE,P75
US,arima,death_recovered,22016.969170158125,MAE,P75
US,arima,death_stringency,22142.075795124507,MAE,P75
US,arima,no_exog,31924.99088270557,MAE,P75
US,cnn_lstm,death_all,46636.85505022321,MAE,P75
US,cnn_lstm,death_mobility,46787.19866071429,MAE,P75
US,cnn_lstm,death_recovered,47377.57393973215,MAE,P75
US,cnn_lstm,death_stringency,45648.47991071429,MAE,P75
US,cnn_lstm,no_exog,42014.26172,MAE,P75
US,curvefit_lstm,death_all,44718.94682576253,MAE,P75
US,curvefit_lstm,death_mobility,46685.696423419664,MAE,P75
US,curvefit_lstm,death_recovered,50441.30299246333,MAE,P75
US,curvefit_lstm,death_stringency,51514.953890475066,MAE,P75
US,curvefit_lstm,no_exog,42757.32663350744,MAE,P75
US,lstm,death_all,37214.29478236607,MAE,P75
US,lstm,death_mobility,35503.045619419645,MAE,P75
US,lstm,death_recovered,33914.38141741071,MAE,P75
US,lstm,death_stringency,36073.3876953125,MAE,P75
US,lstm,no_exog,30504.68802315848,MAE,P75
US,prophet,death_all,77600.14744291204,MAE,P75
US,prophet,death_mobility,77031.00784069824,MAE,P75
US,prophet,death_recovered,77901.78142666425,MAE,P75
US,prophet,death_stringency,78526.23337140273,MAE,P75
US,prophet,no_exog,80608.0693527996,MAE,P75
US,sarima,death_all,22313.81862871094,MAE,P75
US,sarima,death_mobility,22314.44022731357,MAE,P75
US,sarima,death_recovered,22314.482824152023,MAE,P75
US,sarima,death_stringency,22314.44022731357,MAE,P75
US,sarima,no_exog,21671.171743877392,MAE,P75
US,svr,death_all,18367.368938351137,MAE,P75
US,svr,death_mobility,18427.597570354003,MAE,P75
US,svr,death_recovered,18189.289394757197,MAE,P75
US,svr,death_stringency,18474.19017278911,MAE,P75
US,svr,no_exog,22971.500046911,MAE,P75
US,arima,death_all,3824.34911554636,MAE,MIN
US,arima,death_mobility,3686.337554872123,MAE,MIN
US,arima,death_recovered,3769.280599966281,MAE,MIN
US,arima,death_stringency,3587.7618218351267,MAE,MIN
US,arima,no_exog,10678.59528516814,MAE,MIN
US,cnn_lstm,death_all,20927.440848214286,MAE,MIN
US,cnn_lstm,death_mobility,24464.8125,MAE,MIN
US,cnn_lstm,death_recovered,22684.74888392857,MAE,MIN
US,cnn_lstm,death_stringency,21500.62891,MAE,MIN
US,cnn_lstm,no_exog,13928.21595982143,MAE,MIN
US,curvefit_lstm,death_all,18035.48945410859,MAE,MIN
US,curvefit_lstm,death_mobility,19551.797489822875,MAE,MIN
US,curvefit_lstm,death_recovered,26787.623509457822,MAE,MIN
US,curvefit_lstm,death_stringency,26799.918943313038,MAE,MIN
US,curvefit_lstm,no_exog,12898.478493852208,MAE,MIN
US,lstm,death_all,9108.390625000002,MAE,MIN
US,lstm,death_mobility,9462.655691964286,MAE,MIN
US,lstm,death_recovered,8704.88853236607,MAE,MIN
US,lstm,death_stringency,9206.371372767857,MAE,MIN
US,lstm,no_exog,7533.744001116072,MAE,MIN
US,prophet,death_all,7305.298559422731,MAE,MIN
US,prophet,death_mobility,6739.686941306258,MAE,MIN
US,prophet,death_recovered,7071.998647709455,MAE,MIN
US,prophet,death_stringency,7123.1426090281775,MAE,MIN
US,prophet,no_exog,7337.855653820688,MAE,MIN
US,sarima,death_all,2956.6724654512223,MAE,MIN
US,sarima,death_mobility,2956.6724739811216,MAE,MIN
