country,model,exog_vars,value,metric,stat
United Kingdom,arima,death_all,7770.91056492789,MAE,MEDIAN
United Kingdom,arima,death_mobility,7668.4231726294,MAE,MEDIAN
United Kingdom,arima,death_recovered,8329.789140050125,MAE,MEDIAN
United Kingdom,arima,death_stringency,8353.832487446805,MAE,MEDIAN
United Kingdom,arima,no_exog,8285.850207452359,MAE,MEDIAN
United Kingdom,cnn_lstm,death_all,12469.35160609654,MAE,MEDIAN
United Kingdom,cnn_lstm,death_mobility,9407.499555315291,MAE,MEDIAN
United Kingdom,cnn_lstm,death_recovered,8776.373465401786,MAE,MEDIAN
United Kingdom,cnn_lstm,death_stringency,7226.292427062988,MAE,MEDIAN
United Kingdom,cnn_lstm,no_exog,9578.09845842634,MAE,MEDIAN
United Kingdom,curvefit_lstm,death_all,151976.16493077035,MAE,MEDIAN
United Kingdom,curvefit_lstm,death_mobility,120045.35689505606,MAE,MEDIAN
United Kingdom,curvefit_lstm,death_recovered,106448.10968523464,MAE,MEDIAN
United Kingdom,curvefit_lstm,death_stringency,110818.71180577036,MAE,MEDIAN
United Kingdom,curvefit_lstm,no_exog,103271.4121405918,MAE,MEDIAN
United Kingdom,lstm,death_all,9895.581438337053,MAE,MEDIAN
United Kingdom,lstm,death_mobility,9226.393371582031,MAE,MEDIAN
United Kingdom,lstm,death_recovered,10783.542898995536,MAE,MEDIAN
United Kingdom,lstm,death_stringency,12398.78337751116,MAE,MEDIAN
United Kingdom,lstm,no_exog,8757.393589564734,MAE,MEDIAN
United Kingdom,prophet,death_all,13612.296047323998,MAE,MEDIAN
United Kingdom,prophet,death_mobility,13341.339497415662,MAE,MEDIAN
United Kingdom,prophet,death_recovered,11595.599840311488,MAE,MEDIAN
United Kingdom,prophet,death_stringency,12105.873594038929,MAE,MEDIAN
United Kingdom,prophet,no_exog,11482.025339680857,MAE,MEDIAN
United Kingdom,sarima,death_all,4634.348502317142,MAE,MEDIAN
United Kingdom,sarima,death_mobility,4649.608750931984,MAE,MEDIAN
United Kingdom,sarima,death_recovered,4322.281225017414,MAE,MEDIAN
United Kingdom,sarima,death_stringency,4337.664890884327,MAE,MEDIAN
United Kingdom,sarima,no_exog,4586.634223033379,MAE,MEDIAN
United Kingdom,svr,death_all,7583.364064182671,MAE,MEDIAN
United Kingdom,svr,death_mobility,19970.83040584306,MAE,MEDIAN
United Kingdom,svr,death_recovered,6529.367067816102,MAE,MEDIAN
United Kingdom,svr,death_stringency,5776.285826682371,MAE,MEDIAN
United Kingdom,svr,no_exog,7013.949871888643,MAE,MEDIAN
United Kingdom,arima,death_all,6303.18358917367,MAE,P25
United Kingdom,arima,death_mobility,6308.150766679872,MAE,P25
United Kingdom,arima,death_recovered,6158.658832596882,MAE,P25
United Kingdom,arima,death_stringency,6265.510968396444,MAE,P25
United Kingdom,arima,no_exog,6144.808846537859,MAE,P25
United Kingdom,cnn_lstm,death_all,10302.8618687221,MAE,P25
United Kingdom,cnn_lstm,death_mobility,6382.357757568359,MAE,P25
United Kingdom,cnn_lstm,death_recovered,6850.321934291294,MAE,P25
United Kingdom,cnn_lstm,death_stringency,5668.0116874831065,MAE,P25
United Kingdom,cnn_lstm,no_exog,6860.705967494419,MAE,P25
United Kingdom,curvefit_lstm,death_all,124942.17832145152,MAE,P25
United Kingdom,curvefit_lstm,death_mobility,98592.56490069258,MAE,P25
United Kingdom,curvefit_lstm,death_recovered,87452.7470993533,MAE,P25
United Kingdom,curvefit_lstm,death_stringency,91045.67854587403,MAE,P25
United Kingdom,curvefit_lstm,no_exog,83993.01971306541,MAE,P25
United Kingdom,lstm,death_all,6680.346675327846,MAE,P25
United Kingdom,lstm,death_mobility,6030.741271972656,MAE,P25
United Kingdom,lstm,death_recovered,8887.560232979911,MAE,P25
United Kingdom,lstm,death_stringency,9748.935128348214,MAE,P25
United Kingdom,lstm,no_exog,6251.285034179688,MAE,P25
United Kingdom,prophet,death_all,10846.84794922446,MAE,P25
United Kingdom,prophet,death_mobility,10460.63024163013,MAE,P25
United Kingdom,prophet,death_recovered,9320.80334980164,MAE,P25
United Kingdom,prophet,death_stringency,8520.975054046949,MAE,P25
United Kingdom,prophet,no_exog,9050.163883109211,MAE,P25
United Kingdom,sarima,death_all,1698.7196367203087,MAE,P25
United Kingdom,sarima,death_mobility,1587.5140910715895,MAE,P25
United Kingdom,sarima,death_recovered,1441.7808004830647,MAE,P25
United Kingdom,sarima,death_stringency,1443.9890172909038,MAE,P25
United Kingdom,sarima,no_exog,1484.044938969534,MAE,P25
United Kingdom,svr,death_all,5571.975588598597,MAE,P25
United Kingdom,svr,death_mobility,18637.5949120232,MAE,P25
United Kingdom,svr,death_recovered,4664.440154792911,MAE,P25
United Kingdom,svr,death_stringency,4535.205780715761,MAE,P25
United Kingdom,svr,no_exog,4206.403612268826,MAE,P25
United Kingdom,arima,death_all,9708.405665937027,MAE,P75
United Kingdom,arima,death_mobility,9564.774227921183,MAE,P75
United Kingdom,arima,death_recovered,10353.788163856818,MAE,P75
United Kingdom,arima,death_stringency,10323.755021821184,MAE,P75
United Kingdom,arima,no_exog,10420.923248417628,MAE,P75
United Kingdom,cnn_lstm,death_all,15237.930515834263,MAE,P75
United Kingdom,cnn_lstm,death_mobility,13367.900207519531,MAE,P75
United Kingdom,cnn_lstm,death_recovered,11020.502371651786,MAE,P75
United Kingdom,cnn_lstm,death_stringency,9103.220762525283,MAE,P75
United Kingdom,cnn_lstm,no_exog,12376.207693917411,MAE,P75
United Kingdom,curvefit_lstm,death_all,174807.8721407839,MAE,P75
United Kingdom,curvefit_lstm,death_mobility,139142.3037814089,MAE,P75
United Kingdom,curvefit_lstm,death_recovered,120128.5715899524,MAE,P75
United Kingdom,curvefit_lstm,death_stringency,124258.08056712318,MAE,P75
United Kingdom,curvefit_lstm,no_exog,115567.18770998032,MAE,P75
United Kingdom,lstm,death_all,15849.81232561384,MAE,P75
United Kingdom,lstm,death_mobility,14587.330984933036,MAE,P75
United Kingdom,lstm,death_recovered,13567.257925851003,MAE,P75
United Kingdom,lstm,death_stringency,14550.952532087054,MAE,P75
United Kingdom,lstm,no_exog,11976.633597237724,MAE,P75
United Kingdom,prophet,death_all,17488.34308879909,MAE,P75
United Kingdom,prophet,death_mobility,15799.346199570387,MAE,P75
United Kingdom,prophet,death_recovered,13470.787193106346,MAE,P75
United Kingdom,prophet,death_stringency,19345.948767195598,MAE,P75
United Kingdom,prophet,no_exog,13181.982312444638,MAE,P75
United Kingdom,sarima,death_all,8353.678031891792,MAE,P75
United Kingdom,sarima,death_mobility,8048.783331304665,MAE,P75
United Kingdom,sarima,death_recovered,7908.21161929741,MAE,P75
United Kingdom,sarima,death_stringency,7947.645172698501,MAE,P75
United Kingdom,sarima,no_exog,7857.310271162312,MAE,P75
United Kingdom,svr,death_all,9923.875709367212,MAE,P75
United Kingdom,svr,death_mobility,21906.51120449926,MAE,P75
United Kingdom,svr,death_recovered,8682.89607230707,MAE,P75
United Kingdom,svr,death_stringency,7698.142186138419,MAE,P75
United Kingdom,svr,no_exog,10032.792359050609,MAE,P75
United Kingdom,arima,death_all,3161.881883735078,MAE,MIN
United Kingdom,arima,death_mobility,3185.8810820726576,MAE,MIN
United Kingdom,arima,death_recovered,3231.5471001297456,MAE,MIN
United Kingdom,arima,death_stringency,3231.56318160762,MAE,MIN
United Kingdom,arima,no_exog,3272.0951764975894,MAE,MIN
United Kingdom,cnn_lstm,death_all,7278.826590401785,MAE,MIN
United Kingdom,cnn_lstm,death_mobility,3497.1675153459823,MAE,MIN
United Kingdom,cnn_lstm,death_recovered,3326.777609688895,MAE,MIN
United Kingdom,cnn_lstm,death_stringency,3014.7211260114395,MAE,MIN
United Kingdom,cnn_lstm,no_exog,2969.508614676339,MAE,MIN
United Kingdom,curvefit_lstm,death_all,102799.54692669038,MAE,MIN
United Kingdom,curvefit_lstm,death_mobility,83743.51567669038,MAE,MIN
United Kingdom,curvefit_lstm,death_recovered,71856.28353383324,MAE,MIN
United Kingdom,curvefit_lstm,death_stringency,75138.00563204753,MAE,MIN
United Kingdom,curvefit_lstm,no_exog,69515.26790883324,MAE,MIN
United Kingdom,lstm,death_all,3599.3920549665177,MAE,MIN
United Kingdom,lstm,death_mobility,3261.922712053572,MAE,MIN
United Kingdom,lstm,death_recovered,6068.657191685268,MAE,MIN
United Kingdom,lstm,death_stringency,5344.115304129465,MAE,MIN
United Kingdom,lstm,no_exog,1041.9546434538704,MAE,MIN
United Kingdom,prophet,death_all,5909.676559933524,MAE,MIN
United Kingdom,prophet,death_mobility,6112.444333696595,MAE,MIN
United Kingdom,prophet,death_recovered,4357.627191098036,MAE,MIN
United Kingdom,prophet,death_stringency,3730.082554808401,MAE,MIN
United Kingdom,prophet,no_exog,3830.2514132399297,MAE,MIN
United Kingdom,sarima,death_all,497.23981311069855,MAE,MIN
United Kingdom,sarima,death_mobility,487.2110828309366,MAE,MIN
United Kingdom,sarima,death_recovered,429.9519210553253,MAE,MIN
United Kingdom,sarima,death_stringency,443.1114231364759,MAE,MIN
United Kingdom,sarima,no_exog,367.0826151132422,MAE,MIN
United Kingdom,svr,death_all,2358.022568166019,MAE,MIN
United Kingdom,svr,death_mobility,16026.53449519604,MAE,MIN
United Kingdom,svr,death_recovered,2315.41210843565,MAE,MIN
United Kingdom,svr,death_stringency,1241.344575909491,MAE,MIN
United Kingdom,svr,no_exog,1165.6715064207697,MAE,MIN
United Kingdom,arima,death_all,13475.159269706832,MAE,MAX
United Kingdom,arima,death_mobility,13474.170524056752,MAE,MAX
United Kingdom,arima,death_recovered,14454.872788356766,MAE,MAX
United Kingdom,arima,death_stringency,14386.75843330686,MAE,MAX
United Kingdom,arima,no_exog,14220.868373662375,MAE,MAX
United Kingdom,cnn_lstm,death_all,20976.350341796875,MAE,MAX
United Kingdom,cnn_lstm,death_mobility,21318.683035714286,MAE,MAX
United Kingdom,cnn_lstm,death_recovered,17972.46651785714,MAE,MAX
United Kingdom,cnn_lstm,death_stringency,14160.069192068917,MAE,MAX
United Kingdom,cnn_lstm,no_exog,21957.559012276783,MAE,MAX
United Kingdom,curvefit_lstm,death_all,208186.16739304192,MAE,MAX
United Kingdom,curvefit_lstm,death_mobility,169996.46091982763,MAE,MAX
United Kingdom,curvefit_lstm,death_recovered,145824.47431268476,MAE,MAX
United Kingdom,curvefit_lstm,death_stringency,150387.33145554192,MAE,MAX
United Kingdom,curvefit_lstm,no_exog,141412.23770554192,MAE,MAX
United Kingdom,lstm,death_all,30347.65066964286,MAE,MAX
United Kingdom,lstm,death_mobility,25694.238839285717,MAE,MAX
United Kingdom,lstm,death_recovered,19851.56319754464,MAE,MAX
United Kingdom,lstm,death_stringency,24341.498046875,MAE,MAX
United Kingdom,lstm,no_exog,26378.921037946428,MAE,MAX
United Kingdom,prophet,death_all,52996.8137522476,MAE,MAX
United Kingdom,prophet,death_mobility,49733.33248942422,MAE,MAX
United Kingdom,prophet,death_recovered,51736.53646610864,MAE,MAX
United Kingdom,prophet,death_stringency,60333.77512749496,MAE,MAX
United Kingdom,prophet,no_exog,52021.58284352325,MAE,MAX
United Kingdom,sarima,death_all,12396.651167790083,MAE,MAX
United Kingdom,sarima,death_mobility,12360.32848744721,MAE,MAX
United Kingdom,sarima,death_recovered,11818.42362045952,MAE,MAX
United Kingdom,sarima,death_stringency,11851.97640216938,MAE,MAX
United Kingdom,sarima,no_exog,11626.412730996046,MAE,MAX
United Kingdom,svr,death_all,13720.38192090043,MAE,MAX
United Kingdom,svr,death_mobility,27412.66460426313,MAE,MAX
United Kingdom,svr,death_recovered,15507.304120201772,MAE,MAX
United Kingdom,svr,death_stringency,12209.07987205872,MAE,MAX
United Kingdom,svr,no_exog,21083.92090549261,MAE,MAX
United Kingdom,arima,death_all,10200.994417364866,RMSE,MEDIAN
United Kingdom,arima,death_mobility,9908.372989703212,RMSE,MEDIAN
United Kingdom,arima,death_recovered,10352.84291560624,RMSE,MEDIAN
United Kingdom,arima,death_stringency,10362.82111739317,RMSE,MEDIAN
United Kingdom,arima,no_exog,10445.924556208129,RMSE,MEDIAN
United Kingdom,cnn_lstm,death_all,14760.620591410794,RMSE,MEDIAN
United Kingdom,cnn_lstm,death_mobility,12115.446288985044,RMSE,MEDIAN
United Kingdom,cnn_lstm,death_recovered,11313.36899483986,RMSE,MEDIAN
United Kingdom,cnn_lstm,death_stringency,11460.684788637833,RMSE,MEDIAN
United Kingdom,cnn_lstm,no_exog,11759.55526665522,RMSE,MEDIAN
United Kingdom,curvefit_lstm,death_all,153078.28171946594,RMSE,MEDIAN
United Kingdom,curvefit_lstm,death_mobility,120586.68278880342,RMSE,MEDIAN
United Kingdom,curvefit_lstm,death_recovered,109246.44466083925,RMSE,MEDIAN
United Kingdom,curvefit_lstm,death_stringency,111695.24417377578,RMSE,MEDIAN
United Kingdom,curvefit_lstm,no_exog,104546.82748703488,RMSE,MEDIAN
United Kingdom,lstm,death_all,12564.07222597969,RMSE,MEDIAN
United Kingdom,lstm,death_mobility,12483.457518229592,RMSE,MEDIAN
United Kingdom,lstm,death_recovered,11894.929395143085,RMSE,MEDIAN
United Kingdom,lstm,death_stringency,13312.357680711506,RMSE,MEDIAN
