,country,date,confirmed,deaths,recovered,new_cases,new_deaths,new_recovered,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,C6M_Stay at home requirements,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
780,Afghanistan,2021-03-21,56103,2463,49737,10.0,1.0,56.0,-12.0,1.0,2.0,-21.0,-72.0,11.0,0.0,30.56,24.9,28.45,0.0
781,Afghanistan,2021-03-22,56153,2464,49743,50.0,1.0,6.0,22.0,54.0,4.0,-28.0,-47.0,4.0,0.0,30.56,24.9,28.45,0.0
782,Afghanistan,2021-03-22,56153,2464,49743,50.0,1.0,6.0,-8.0,19.0,-8.0,-13.0,-57.0,9.0,0.0,30.56,24.9,28.45,0.0
783,Afghanistan,2021-03-23,56177,2466,49752,24.0,2.0,9.0,46.0,85.0,12.0,-3.0,-1.0,-5.0,0.0,26.85,22.81,26.07,0.0
784,Afghanistan,2021-03-23,56177,2466,49752,24.0,2.0,9.0,25.0,61.0,19.0,19.0,2.0,-1.0,0.0,26.85,22.81,26.07,0.0
785,Afghanistan,2021-03-24,56192,2466,49802,15.0,0.0,50.0,50.0,93.0,11.0,-2.0,-4.0,-3.0,0.0,26.85,22.81,26.07,0.0
786,Afghanistan,2021-03-24,56192,2466,49802,15.0,0.0,50.0,30.0,73.0,22.0,19.0,3.0,1.0,0.0,26.85,22.81,26.07,0.0
787,Afghanistan,2021-03-25,56226,2467,49937,34.0,1.0,135.0,48.0,41.0,10.0,2.0,4.0,-2.0,0.0,26.85,22.81,26.07,0.0
788,Afghanistan,2021-03-25,56226,2467,49937,34.0,1.0,135.0,26.0,66.0,24.0,27.0,9.0,2.0,0.0,26.85,22.81,26.07,0.0
789,Afghanistan,2021-03-26,56254,2467,49994,28.0,0.0,57.0,40.0,79.0,6.0,-7.0,-15.0,-1.0,0.0,26.85,22.81,26.07,0.0
