country,forecast_origin,true_values,predictions,forecast_dates
Australia,2020-01-22,"[0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 0.0]","[5257.987274627748, 4783.0169769298145, 5697.933777953829, 4348.098146635668, 5389.837286808732, 4591.749822764271, 5156.55603320414]","[Timestamp('2020-01-22 00:00:00'), Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00')]"
Australia,2020-01-23,"[0.0, 0.0, 0.0, 4.0, 1.0, 0.0, 1.0]","[2593.3578959145248, 4280.173377007666, 2117.38993970631, 4042.201871290822, 2584.923271122591, 3638.8254045097106, 2899.449269891896]","[Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00')]"
Australia,2020-01-24,"[0.0, 0.0, 4.0, 1.0, 0.0, 1.0, 3.0]","[3200.859608450741, 1419.425783324837, 2942.352383505222, 1920.6271320521348, 2649.3918656178853, 2151.119355175035, 2494.763357873689]","[Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00')]"
Australia,2020-01-25,"[0.0, 4.0, 1.0, 0.0, 1.0, 3.0, 0.0]","[86.05554220979269, 2077.881811268234, 563.9845843603332, 1827.6870146701701, 929.6726909566123, 1570.4643926967226, 1126.6659092060981]","[Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00')]"
Australia,2020-01-26,"[4.0, 1.0, 0.0, 1.0, 3.0, 0.0, 3.0]","[2042.0571344772252, 540.6772516393263, 1791.2451638876175, 907.5797522426997, 1537.619225500141, 1101.8452154938439, 1402.880863230882]","[Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00')]"
Australia,2020-01-27,"[1.0, 0.0, 1.0, 3.0, 0.0, 3.0, 0.0]","[-308.69883797057963, 1240.588778020146, 43.57996635896276, 1014.0754798631446, 323.9285517313138, 814.0333607645325, 474.64060610036256]","[Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00')]"
Australia,2020-01-28,"[0.0, 1.0, 3.0, 0.0, 3.0, 0.0, 0.0]","[1369.688031252409, 127.33055617704065, 1145.3644878879857, 403.53994953064506, 932.2634724699908, 564.1539278117423, 818.6906689743678]","[Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00')]"
Australia,2020-01-29,"[1.0, 3.0, 0.0, 3.0, 0.0, 0.0, 1.0]","[-443.58466083275783, 775.2573753594485, -177.0737212626206, 580.2795749668231, 41.387402201847046, 422.8371736332736, 158.69566700847045]","[Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00')]"
Australia,2020-01-30,"[3.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0]","[960.7497876640227, -57.08532088741868, 768.8272854788659, 155.5525966499359, 592.5530230802507, 287.13689148040635, 498.42375445473897]","[Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00')]"
Australia,2020-01-31,"[0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[-456.2028378597889, 510.02025543467937, -250.33124807365104, 346.4072698415477, -78.32704377431055, 221.62642466931942, 13.934670069095963]","[Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00')]"
