country,forecast_origin,true_values,predictions,forecast_dates
Germany,2020-01-22,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0]","[-22446.905886968554, -16531.233909998282, -12873.914143863864, -23267.074223996668, -24221.222595864347, -16323.518196137367, -17594.16924250806]","[Timestamp('2020-01-22 00:00:00'), Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00')]"
Germany,2020-01-23,"[0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 0.0]","[-18740.03912528934, -6461.830302790006, -18293.871876389167, -19711.285119375472, -16781.852905989428, -5271.240768515723, -9374.171304217598]","[Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00')]"
Germany,2020-01-24,"[0.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0]","[-8869.585356261341, -13249.06616139854, -15907.748533501344, -13332.716803406865, -6367.66194769781, 400.13496122536793, -1288.538003973498]","[Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00')]"
Germany,2020-01-25,"[0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 1.0]","[-14121.553187501537, -13457.469723061513, -11170.172493483988, -4616.792120941283, -349.7698736878943, 3113.4493573742234, -2745.3606383902656]","[Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00')]"
Germany,2020-01-26,"[0.0, 1.0, 3.0, 0.0, 0.0, 1.0, 3.0]","[-15249.48820310514, -7232.355597066551, -1856.7386432807277, 1783.0461689028411, 1978.7595173361008, 4604.5863374959445, -3276.04341227672]","[Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00')]"
Germany,2020-01-27,"[1.0, 3.0, 0.0, 0.0, 1.0, 3.0, 2.0]","[-9271.214785378945, 2041.222820577041, 4452.614080669339, 4274.5794809272065, 3420.502142864676, 4639.102702427989, -2777.1669121582354]","[Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00')]"
Germany,2020-01-28,"[3.0, 0.0, 0.0, 1.0, 3.0, 2.0, 2.0]","[704.4051426257035, 6697.325988740869, 5873.0169762667865, 4871.066527325582, 3931.821543146919, 2039.7085272533081, -793.7949903707467]","[Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00')]"
Germany,2020-01-29,"[0.0, 0.0, 1.0, 3.0, 2.0, 2.0, 0.0]","[6818.988991128328, 5694.7943973814445, 4743.284129989799, 3821.973761500856, 2088.140111834261, -1167.9525056833666, 1172.5049326309272]","[Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00')]"
Germany,2020-01-30,"[0.0, 1.0, 3.0, 2.0, 2.0, 0.0, 0.0]","[6563.293303912393, 2969.0934851216784, 2546.1895224085333, 961.4220218292533, -684.7668832140223, -2357.86861768137, 1669.5627296743348]","[Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00')]"
Germany,2020-01-31,"[1.0, 3.0, 2.0, 2.0, 0.0, 0.0, 0.0]","[3952.752483320299, 888.8762419963155, -242.70204892387446, -1739.332605627831, -1875.6515928577487, -1771.7819773713536, 1108.4929290600426]","[Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00')]"
Germany,2020-02-01,"[3.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0]","[1479.6609262955285, -1246.150992571955, -2456.497074304024, -2501.5136921151557, -1485.9642665008305, -968.1262587446593, 494.3104543329836]","[Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00')]"
Germany,2020-02-02,"[2.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[-1013.4197226488827, -2824.876473959667, -2766.2044954866988, -1720.6325711960378, -862.9674547884094, -284.96391857811676, 3.9061296273355928]","[Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00')]"
