country,forecast_origin,true_values,predictions,forecast_dates
US,2020-01-22,"[0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0]","[9839.359047993068, 9733.95594808093, 8398.73910976311, 8767.217582214225, 12083.904056169802, 11279.17178148915, 10296.003579572283]","[Timestamp('2020-01-22 00:00:00'), Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00')]"
US,2020-01-23,"[0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 1.0]","[6091.333674799565, 7616.526305270251, 6821.662199303327, 9543.34606774851, 11078.343893970135, 7643.348261486378, 7114.6895009414575]","[Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00')]"
US,2020-01-24,"[1.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0]","[4732.097088577036, 5854.635335384059, 7844.850229296194, 8621.78459804865, 6568.788809484013, 4769.725056806767, 5312.719923370441]","[Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00')]"
US,2020-01-25,"[0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 2.0]","[4423.330753061351, 7799.362571218815, 8250.416444262202, 5686.878664007021, 4813.844589143251, 4236.500070533327, 4295.229136702958]","[Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00')]"
US,2020-01-26,"[3.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0]","[5547.29575427743, 7291.145593861549, 4675.378775206755, 3567.1096715304907, 3841.561419865514, 2903.983711498073, 3093.700247422073]","[Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00')]"
US,2020-01-27,"[0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0]","[5157.062293728972, 4150.498416166902, 2364.5705973980903, 2123.4653981774736, 2344.3090813055064, 1351.611823220476, 2160.412855703374]","[Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00')]"
US,2020-01-28,"[0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 3.0]","[1884.485661012896, 1676.1469304660002, 962.6589853957048, 817.1889264692998, 896.5738414759035, 534.8877924229982, 823.6958657563086]","[Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00')]"
US,2020-01-29,"[1.0, 0.0, 2.0, 0.0, 0.0, 3.0, 0.0]","[798.4327310031209, 666.0462137178138, 366.30573186448777, 332.3216954833078, 364.70005293495575, 216.9730736741883, 345.64549429587044]","[Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00')]"
US,2020-01-30,"[0.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0]","[405.7065482946625, 345.25120828563655, 205.55149196602284, 183.73270051384412, 202.05404232703205, 126.42189580999124, 182.5425713707637]","[Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00')]"
US,2020-01-31,"[2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0]","[193.36439851541508, 171.07938784477858, 104.48910239233469, 90.4389688333223, 94.92045694324376, 59.068119227114224, 86.27582191931302]","[Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00')]"
US,2020-02-01,"[0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0]","[73.06036109707186, 61.78969988114011, 36.353918290089446, 33.19533466614823, 36.07274148933272, 23.072359393476418, 33.0444521709307]","[Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00')]"
US,2020-02-02,"[0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[44.15511892099598, 37.736615296830664, 22.26396495926576, 19.724880203438993, 22.54942223367705, 13.59528049315307, 19.69111455407505]","[Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00')]"
US,2020-02-03,"[3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[12.576505890933197, 10.949718420088754, 5.877602157427537, 5.811608658518304, 6.261149136425892, 3.604133836453193, 5.628770232833706]","[Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00'), Timestamp('2020-02-09 00:00:00')]"
US,2020-02-04,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[8.656793299685067, 6.527948380976289, 4.919708517618478, 4.611893488247406, 4.0300788659185605, 3.3142011132841738, 4.593309930578609]","[Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00'), Timestamp('2020-02-09 00:00:00'), Timestamp('2020-02-10 00:00:00')]"
