country,forecast_origin,true_values,predictions,forecast_dates
US,2020-01-22,"[0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0]","[10492.053645900278, 10294.809756640207, 8892.82175103, 9284.223569218611, 12710.634464874109, 11897.447964551584, 10925.45908612954]","[Timestamp('2020-01-22 00:00:00'), Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00')]"
US,2020-01-23,"[0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 1.0]","[6405.519712327949, 7850.03433331762, 6763.64309688294, 9351.571516073658, 10809.678048659443, 7512.131035850327, 7128.36121616386]","[Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00')]"
US,2020-01-24,"[1.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0]","[4855.922002449931, 5884.397606543004, 7962.45673110271, 8958.943360239742, 6846.775095083612, 4922.397602956324, 5479.786854680874]","[Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00')]"
US,2020-01-25,"[0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 2.0]","[4340.809026665207, 7580.8575228951795, 7941.384605550235, 5458.138966920964, 4652.477716626665, 4107.128184338101, 4179.72925597627]","[Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00')]"
US,2020-01-26,"[3.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0]","[5143.702003522288, 6467.045755869127, 4170.540588290664, 3152.936938433022, 3309.529864075998, 2480.973123605011, 2776.218903749912]","[Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00')]"
US,2020-01-27,"[0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0]","[5259.496696189189, 4240.415334666145, 2425.5595039675304, 2193.435188090068, 2435.248639930853, 1458.0004785128313, 2214.899988455851]","[Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00')]"
US,2020-01-28,"[0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 3.0]","[1860.964177268473, 1652.5461596018818, 958.898770600363, 843.2332960893409, 920.153331238489, 581.0240051288462, 832.0663307767032]","[Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00')]"
US,2020-01-29,"[1.0, 0.0, 2.0, 0.0, 0.0, 3.0, 0.0]","[927.776320201091, 785.863199085098, 439.8873003367519, 386.79067292949054, 426.8501952357373, 247.15119709835858, 395.20617147152785]","[Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00')]"
US,2020-01-30,"[0.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0]","[406.71958656925784, 346.14233280572984, 206.19261770895713, 184.39368461080994, 202.50393391676235, 126.58825580415505, 182.97965803356797]","[Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00')]"
US,2020-01-31,"[2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0]","[186.12695437386787, 164.57413336780692, 98.92286089635584, 85.33344176800372, 91.8103387763171, 56.450776164735046, 81.4544426762862]","[Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00')]"
