country,forecast_origin,true_values,predictions,forecast_dates
United Kingdom,2022-06-27,"[47348.0, 21412.0, 40104.0, 23235.0, 22456.0, 0.0, 2.0, 20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0]","[23753.984375, 22314.37890625, 22365.666015625, 25769.68359375, 22045.669921875, 26171.060546875, 23669.70703125, 25936.365234375, 28136.400390625, 27335.46484375, 27136.0859375, 24522.54296875, 24682.09375, 26971.017578125, 28509.12890625, 26292.572265625, 26881.234375, 28598.34765625, 27343.021484375, 29337.115234375, 27482.384765625, 28782.58203125, 30002.7109375, 28937.5234375, 25936.58984375, 29573.80078125, 26330.998046875, 23443.1171875]","[Timestamp('2022-06-27 00:00:00'), Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
United Kingdom,2022-06-28,"[21412.0, 40104.0, 23235.0, 22456.0, 0.0, 2.0, 20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0]","[23690.955078125, 22311.3203125, 22145.828125, 25556.41796875, 21554.533203125, 26178.427734375, 23191.150390625, 25569.37109375, 27742.83203125, 27266.748046875, 26984.6484375, 23678.361328125, 24272.162109375, 26621.912109375, 28050.017578125, 25557.462890625, 26400.693359375, 28407.51953125, 26981.021484375, 29315.857421875, 27496.84765625, 28469.68359375, 29763.94921875, 28387.806640625, 25963.75, 29085.6171875, 25744.67578125, 23622.255859375]","[Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
United Kingdom,2022-06-29,"[40104.0, 23235.0, 22456.0, 0.0, 2.0, 20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0]","[23650.6484375, 21870.318359375, 22399.21875, 25692.96484375, 22047.384765625, 26389.39453125, 23986.85546875, 25919.322265625, 28206.830078125, 27540.267578125, 27096.611328125, 25043.298828125, 24695.17578125, 26881.78125, 28835.779296875, 26564.48046875, 27025.439453125, 28784.525390625, 27016.8359375, 29237.1171875, 27479.458984375, 28939.072265625, 30177.564453125, 29226.298828125, 26165.37890625, 29667.482421875, 26455.8359375, 23468.96875]","[Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
United Kingdom,2022-06-30,"[23235.0, 22456.0, 0.0, 2.0, 20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0, 92461.0]","[24489.556640625, 22634.43359375, 23544.326171875, 26340.609375, 24017.771484375, 26476.611328125, 24425.013671875, 26918.13671875, 28417.037109375, 28061.20703125, 27769.3984375, 26163.55078125, 25380.53125, 27521.1015625, 29119.783203125, 27482.904296875, 28134.416015625, 29339.2421875, 28416.326171875, 30046.873046875, 28028.908203125, 30687.232421875, 31009.576171875, 29763.6015625, 26144.203125, 29685.7421875, 27951.3203125, 22723.970703125]","[Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
United Kingdom,2022-07-01,"[22456.0, 0.0, 2.0, 20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0, 92461.0, 0.0]","[24711.982421875, 22631.478515625, 23935.396484375, 26508.857421875, 24613.7578125, 26666.98046875, 24907.4609375, 27421.306640625, 28586.05078125, 28274.07421875, 28004.01953125, 27013.15234375, 25819.052734375, 27836.9921875, 29527.21484375, 28228.580078125, 28613.533203125, 29593.87109375, 28701.767578125, 30138.0234375, 28212.02734375, 31299.77734375, 31359.31640625, 30267.44140625, 26262.787109375, 30099.02734375, 28515.19140625, 22427.083984375]","[Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
United Kingdom,2022-07-02,"[0.0, 2.0, 20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0, 92461.0, 0.0, 462.0]","[25452.310546875, 23317.513671875, 24797.73828125, 26891.78515625, 25913.384765625, 26791.740234375, 25317.27734375, 28204.29296875, 28603.359375, 28595.7421875, 28501.2109375, 27662.611328125, 26379.478515625, 28301.83203125, 29677.494140625, 28990.951171875, 29193.306640625, 29911.53515625, 29631.466796875, 30620.966796875, 28555.07421875, 32491.7890625, 31852.267578125, 30525.021484375, 26297.888671875, 30232.078125, 29384.908203125, 21913.4453125]","[Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
United Kingdom,2022-07-03,"[2.0, 20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0, 92461.0, 0.0, 462.0, 9.0]","[25570.310546875, 23537.5390625, 24969.716796875, 26984.79296875, 26099.470703125, 26831.8359375, 25491.37890625, 28360.275390625, 28691.74609375, 28511.455078125, 28702.310546875, 27915.52734375, 26657.666015625, 28422.076171875, 29758.072265625, 29148.140625, 29300.810546875, 30056.30859375, 29821.208984375, 30671.541015625, 28567.0546875, 32640.41796875, 32035.48828125, 30795.810546875, 26220.294921875, 30442.12890625, 29629.091796875, 21928.326171875]","[Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
United Kingdom,2022-07-04,"[20.0, 1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0, 92461.0, 0.0, 462.0, 9.0, 0.0]","[25586.375, 23532.109375, 24880.8125, 26828.443359375, 25719.46484375, 26802.55078125, 25118.6640625, 28230.24609375, 28351.712890625, 28447.322265625, 28595.298828125, 27291.9296875, 26350.296875, 28246.947265625, 29330.455078125, 28612.361328125, 28950.43359375, 29887.533203125, 29596.455078125, 30605.359375, 28641.58203125, 32432.63671875, 31896.162109375, 30314.732421875, 26183.744140625, 30159.66015625, 29097.23046875, 22020.75]","[Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
United Kingdom,2022-07-05,"[1011.9999999999999, 143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0, 92461.0, 0.0, 462.0, 9.0, 0.0, 36.0]","[25200.388671875, 23584.10546875, 24301.193359375, 26491.21484375, 24639.09765625, 26758.150390625, 24587.5390625, 27501.896484375, 28043.68359375, 27968.6875, 28259.513671875, 26105.638671875, 25924.76953125, 27828.01953125, 28770.197265625, 27566.546875, 28080.5, 29445.6875, 28918.751953125, 30220.693359375, 28362.48828125, 31354.953125, 31415.859375, 29866.8828125, 26112.578125, 29888.35546875, 28144.951171875, 22572.3359375]","[Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
United Kingdom,2022-07-06,"[143888.0, 163.0, 1608.0, 1.0, 0.0, 20.0, 372.0, 192424.0, 87.0, 1753.0, 0.0, 0.0, 39.0, 0.0, 138789.0, 40.0, 1169.0, 8.0, 0.0, 0.0, 205.0, 92461.0, 0.0, 462.0, 9.0, 0.0, 36.0, 329.0]","[24690.947265625, 23157.9921875, 23508.3984375, 25946.658203125, 23149.2734375, 26793.1875, 23805.39453125, 26880.716796875, 27482.009765625, 27686.01953125, 27679.5078125, 24644.77734375, 25196.64453125, 27409.7109375, 28053.306640625, 26530.572265625, 27093.72265625, 28750.1015625, 27848.396484375, 29753.283203125, 28291.603515625, 30184.12890625, 30728.708984375, 28946.462890625, 26177.048828125, 29583.310546875, 26603.33203125, 22930.7265625]","[Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
