country,forecast_origin,true_values,predictions,forecast_dates
Brazil,2022-03-04,"[62748.0, 15725.0, 21306.0, 74487.0, 45783.0, 61105.0, 54022.0, 47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0]","[11666.230209562476, 43191.722198318865, 30939.52532667957, 40849.51264799504, 31340.64705925653, -4285.343405933381, 21602.39819217231, 33925.437289310576, 24759.345180491327, 16056.90409812417, 18382.984165145033, 56074.32952783043, 15869.127691736467, 29611.236084200595, 11156.062913718073, 30779.688263693577, 54374.77815494273, 53942.02839334984, 45713.434711470916, 60161.86735349611, 26729.74221782924, 22970.830671542302, 35351.81240682222, 43364.441822808054, 47756.418203815076, 28814.882972753978, 52378.82850460879, 43168.15220358653]","[Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
Brazil,2022-03-05,"[15725.0, 21306.0, 74487.0, 45783.0, 61105.0, 54022.0, 47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0]","[10755.194366287615, 42886.69036574207, 30375.55512846379, 40877.19686394403, 31286.74448469162, -4576.06860470269, 21559.866000248076, 34092.10787580383, 23508.84159812417, 15917.493930770033, 17620.38421533043, 55866.67847298647, 14869.573974825595, 30376.410569968073, 10900.002716818577, 31222.37776431773, 54927.31013163109, 54218.734882369354, 46453.81022458986, 60171.16018657924, 27275.502546542302, 23460.891508384717, 34577.010670464304, 43479.160086139294, 47177.25650791023, 30414.59705929629, 52164.51987936778, 44223.20050946612]","[Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
Brazil,2022-03-06,"[21306.0, 74487.0, 45783.0, 61105.0, 54022.0, 47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0]","[9998.44329542957, 41603.97114408879, 30231.08651238153, 40255.77719953537, 29547.50366092231, -4969.063687251924, 22927.778774241327, 34720.63066062417, 23450.554477645033, 15398.306090330429, 15612.217535486467, 53056.316650606845, 14274.941819968073, 30381.315216818577, 8692.80159244273, 32461.465405068593, 54846.254901900604, 53878.87858396486, 46641.176849176896, 59163.6685621673, 27606.168852134717, 22696.530201714304, 34963.51335762367, 43412.3304825196, 46435.418470429104, 28180.172223117777, 50405.416085638, 43214.484901017626]","[Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
Brazil,2022-03-07,"[74487.0, 45783.0, 61105.0, 54022.0, 47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0, 12572.0]","[9414.000440963791, 41358.69930535028, 30198.27964094162, 40046.80493045356, 28060.344515873076, -6050.0825538836725, 23928.70097312417, 34746.91287608253, 22323.05413720543, 14462.194097986467, 13006.169677950595, 50591.05949574932, 12701.846466818577, 30607.54573306773, 7147.096264443593, 33295.458026900604, 55437.30045896486, 54123.78372173549, 46522.1861402923, 58829.08975057222, 27105.754811089304, 20907.69206856117, 33886.40445712898, 42802.69666867129, 45606.446026828715, 27815.436593450497, 50132.853065080126, 41954.50318506588]","[Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
Brazil,2022-03-08,"[45783.0, 61105.0, 54022.0, 47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0, 12572.0, 26915.0]","[8764.291590506531, 41567.96909406662, 29624.01342654731, 40015.339633060576, 28451.144008616327, -7390.351761250829, 23137.279087020033, 34194.19378564293, 20850.471441736467, 14280.822021700595, 12781.281663718073, 51483.0693672092, 11889.23127994273, 30489.348217568593, 7681.640644088104, 32467.861494121113, 55566.24270611049, 54543.78721451105, 46775.686125083936, 59320.203053276804, 26738.17449043617, 20834.351722753978, 32493.21522335879, 42646.63364889903, 45256.66828290362, 30097.845252580126, 50741.047374519, 42434.486566804226]","[Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
Brazil,2022-03-09,"[61105.0, 54022.0, 47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0, 12572.0, 26915.0, 26822.0]","[8472.058937816619, 41522.83911014106, 29372.262484623076, 39905.45504377258, 28241.36894187417, -7332.582241104967, 22502.87054345543, 34110.96558236147, 20661.435302950595, 14145.469163718073, 13154.846466818577, 51398.62629947398, 11671.815014443593, 30872.234394088104, 7214.626142558613, 32156.82327251674, 55449.31260513605, 54905.88564900972, 46660.41978911665, 59365.82878731117, 26743.941566503978, 20568.41737179629, 33087.83628561778, 42205.55817548175, 45378.405311173876, 30410.909923347128, 50168.71239688235, 42333.224112686294]","[Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
Brazil,2022-03-10,"[54022.0, 47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0, 12572.0, 26915.0, 26822.0, 26234.0]","[8192.86498904731, 41867.671176029326, 29212.440883616327, 40048.53837546792, 28562.089633895033, -7733.039612794571, 21850.358160486467, 33995.201904513095, 20416.900804343073, 14299.295685568577, 13597.02424869273, 52063.67780741234, 11841.328144088104, 31262.714033183613, 7509.93167095424, 31773.056257479802, 55782.99014119722, 55601.313404839304, 47093.74288032875, 59835.18863681648, 26851.19080929629, 20624.801129367777, 33073.074288763, 42036.897986955126, 45931.90027979244, 30934.609125397976, 50224.66820448317, 42839.583502380265]","[Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
Brazil,2022-03-11,"[47796.0, 13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0, 12572.0, 26915.0, 26822.0, 26234.0, 30212.0]","[7933.229281498076, 41766.63228986633, 29069.72831687417, 39961.10867686378, 28010.46234033043, -8459.958245763533, 21717.689209200595, 34394.87931996807, 20008.848419943577, 14169.30159244273, 13106.713451943593, 51655.146015181854, 11805.364423808613, 31120.09866314174, 7289.299421542302, 31735.812406822217, 56187.233326714304, 56170.00359199867, 47524.82645801399, 59594.81385617129, 26892.012066867777, 20386.073312200497, 33074.844276017626, 41762.87916162838, 46162.009516022976, 31007.575675186294, 49590.286139099015, 42711.90946626998]","[Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
Brazil,2022-03-12,"[13809.0, 16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0, 12572.0, 26915.0, 26822.0, 26234.0, 30212.0, 21229.0]","[7009.7026023663275, 40817.20683249917, 28139.716587020033, 39505.73431298668, 27992.489019861467, -8907.080322049405, 21955.945726218073, 34838.64724806858, 20341.38362369273, 14675.854076943593, 13336.343769088104, 51137.76896482424, 12189.32620220424, 30813.336530917302, 6971.479399009717, 31683.987232964304, 55469.80632637367, 55544.81851962898, 47677.14716915957, 58914.34995749278, 26780.563546575497, 21730.692908830126, 33264.26246240963, 41389.975824616726, 45484.17955702223, 30889.846685974015, 48340.8906064067, 42848.54087529984]","[Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
Brazil,2022-03-13,"[16512.0, 49694.0, 47738.0, 44033.0, 51990.0, 39635.0, 13379.0, 12268.0, 41559.0, 46721.0, 37206.0, 34201.0, 29334.0, 10637.0, 7901.0, 29550.0, 33413.0, 31066.0, 26843.0, 17062.0, 7210.0, 12572.0, 26915.0, 26822.0, 26234.0, 30212.0, 21229.0, 7210.0]","[6350.226363749171, 39295.13846202003, 27750.10491845543, 38814.01050423647, 27051.823974825595, -9186.851148781927, 22816.903107443577, 35345.82112369273, 21406.131420693593, 15023.070331588104, 12810.262861308613, 49043.74526958705, 12913.752546542302, 30466.539945884717, 5867.295826714304, 32283.06413887367, 54929.27750400398, 54554.91541867129, 47824.24415304942, 57608.7451872005, 26592.021033830126, 22237.904063972128, 34034.630609772976, 41012.836905655044, 44938.451178161515, 28581.11747408248, 46507.839642389685, 42111.37910035084]","[Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
