country,forecast_origin,true_values,predictions,forecast_dates
China,2022-03-25,"[14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0]","[12773.861161852848, 12454.918779040348, 7203.554032946598, 4793.629472399723, 3982.788407946598, 3594.3878952512855, 3657.598222399723]","[Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
China,2022-03-26,"[13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0]","[12063.630693102848, 11788.859208727848, 6806.639482165348, 4515.768388415348, 3754.774491930973, 3408.279374743473, 3459.3671432981605]","[Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
China,2022-03-27,"[13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0]","[11286.012529040348, 11018.302568102848, 6364.872392321598, 4227.269853259098, 3516.8954636106605, 3203.1176315794105, 3253.099687243473]","[Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
China,2022-03-28,"[14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0]","[10682.607255602848, 10394.362138415348, 6021.603837634098, 4022.905595446598, 3339.418534899723, 3024.6825729856605, 3075.4633347044105]","[Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
China,2022-03-29,"[15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0]","[10355.080888415348, 10027.689286852848, 5838.159989977848, 3942.419511462223, 3253.120683337223, 2896.9044968137855, 2949.0675827512855]","[Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
China,2022-03-30,"[13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0]","[10228.997880602848, 9857.793779040348, 5773.393632555973, 3949.633134509098, 3234.784257555973, 2813.063554430973, 2870.816484118473]","[Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
China,2022-03-31,"[14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0]","[9927.201982165348, 9616.639482165348, 5619.699052477848, 3832.857255602848, 3143.9679733762855, 2735.263505602848, 2791.447587634098]","[Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
China,2022-04-01,"[13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0]","[9848.083818102848, 9546.933427477848, 5587.298661852848, 3822.476884509098, 3127.5280319700355, 2688.014482165348, 2743.0277878294105]","[Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
China,2022-04-02,"[16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0, 27204.0]","[9693.809892321598, 9444.449052477848, 5515.493486071598, 3757.905351305973, 3080.4557663450355, 2645.863359118473, 2695.6319748411292]","[Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
China,2022-04-03,"[16063.0, 19903.0, 23155.0, 25899.0, 26068.0, 27204.0, 27909.0]","[9986.301591540348, 9705.888017321598, 5692.159989977848, 3910.732255602848, 3182.881913805973, 2666.6527267942542, 2712.7287765989417]","[Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
China,2022-04-04,"[19903.0, 23155.0, 25899.0, 26068.0, 27204.0, 27909.0, 28991.0]","[10178.961747790348, 9928.596513415348, 5818.746415759098, 3995.287675524723, 3247.580155993473, 2696.8972336301917, 2739.082353259098]","[Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00')]"
China,2022-04-05,"[23155.0, 25899.0, 26068.0, 27204.0, 27909.0, 28991.0, 25993.0]","[10865.140458727848, 10560.935380602848, 6221.406083727848, 4318.166581774723, 3476.140458727848, 2799.4577194700355, 2842.9731003294105]","[Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00')]"
China,2022-04-06,"[25899.0, 26068.0, 27204.0, 27909.0, 28991.0, 25993.0, 30659.0]","[11910.334794665348, 11546.482255602848, 6833.980302477848, 4794.699052477848, 3819.862382555973, 2978.932695055973, 3028.2689987669105]","[Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00')]"
China,2022-04-07,"[26068.0, 27204.0, 27909.0, 28991.0, 25993.0, 30659.0, 30563.0]","[13163.642411852848, 12757.216630602848, 7570.905595446598, 5348.611405993473, 4228.103593493473, 3215.8734909544105, 3277.567460680973]","[Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00')]"
China,2022-04-08,"[27204.0, 27909.0, 28991.0, 25993.0, 30659.0, 30563.0, 25227.0]","[14322.367997790348, 13969.045732165348, 8263.830888415348, 5809.892411852848, 4591.253007555973, 3478.9806686887855, 3545.7091843137855]","[Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00')]"
China,2022-04-09,"[27909.0, 28991.0, 25993.0, 30659.0, 30563.0, 25227.0, 24230.0]","[15476.096513415348, 15186.375810290348, 8950.975419665348, 6249.564775134098, 4944.746415759098, 3752.8117233762855, 3821.611161852848]","[Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00')]"
China,2022-04-10,"[28991.0, 25993.0, 30659.0, 30563.0, 25227.0, 24230.0, 24878.0]","[16540.54475560285, 16320.503739977848, 9582.935380602848, 6638.124345446598, 5266.674150134098, 4019.536943102848, 4087.258134509098]","[Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00')]"
China,2022-04-11,"[25993.0, 30659.0, 30563.0, 25227.0, 24230.0, 24878.0, 23747.0]","[17583.61995091535, 17421.53791966535, 10196.752763415348, 7013.574052477848, 5578.696366930973, 4282.446611071598, 4346.318925524723]","[Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00')]"
China,2022-04-12,"[30659.0, 30563.0, 25227.0, 24230.0, 24878.0, 23747.0, 21215.0]","[18102.53498997785, 18095.46565404035, 10515.009599352848, 7120.461259509098, 5714.503251696598, 4484.370683337223, 4529.100663805973]","[Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-19 00:00:00')]"
