country,forecast_origin,true_values,predictions,forecast_dates
China,2022-03-18,"[21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0]","[429.3459030637855, 2313.4776779661292, 2197.5416733274574, 2788.9069382200355, 2630.9755417356605, 3713.5653854856605, 3007.593827868473, 581.031083727848, 3947.897782946598, 2853.8935104856605, 1281.402665759098, 2372.119218493473, 935.2356125364417, 246.625322009098]","[Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
China,2022-03-19,"[16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0]","[426.431230212223, 2184.02665867902, 2051.662919665348, 2635.645829821598, 2466.214921618473, 3510.6479050169105, 2819.2113815794105, 537.560136462223, 3721.146318102848, 2655.963212634098, 1190.143388415348, 2205.505906725895, 861.482743884098, 218.8314987669105]","[Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
China,2022-03-20,"[18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0]","[422.972245837223, 1993.9499374876136, 1854.6995483884925, 2421.248124743473, 2241.3520676145667, 3259.910966540348, 2561.8266769895667, 481.7577682981605, 3401.5802780637855, 2365.9607101926917, 1061.3178879270667, 1956.0072189817542, 769.5064865598792, 191.489823962223]","[Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
China,2022-03-21,"[21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0]","[407.0546432981605, 1878.3668991575355, 1729.7263876447792, 2279.784257555973, 2090.7299057493324, 3032.3012253294105, 2389.720048571598, 433.5963913450355, 3191.193681384098, 2211.539384509098, 983.4756027708167, 1842.9582916746253, 694.1969772825355, 146.184404040348]","[Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
China,2022-03-22,"[16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0]","[389.0102097044105, 1843.6534897337074, 1673.9701401243324, 2214.6875168333167, 2020.2899643430824, 2861.8022018919105, 2307.2736374387855, 405.5111862669105, 3090.975419665348, 2185.8817307005042, 956.262284899723, 1846.1028305540199, 632.6505905637855, 98.443925524723]","[Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
China,2022-03-23,"[17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0]","[379.6491257200355, 1729.7478692779655, 1572.3090836057777, 2087.407762194645, 1894.9230820188636, 2678.8707443723792, 2143.8564621458167, 371.461503649723, 2907.059159899723, 2044.434404040348, 891.7533737669105, 1709.904260302555, 579.6737839231605, 84.265702868473]","[Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
China,2022-03-24,"[15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0]","[367.3666550169105, 1653.703103686344, 1496.5060898313636, 1993.205888415348, 1808.2545334348792, 2521.610917712223, 2024.6292892942542, 343.2934128294105, 2771.0895554075355, 1958.982515002262, 847.2401291380042, 1637.304780627262, 534.1945358762855, 64.4086472044105]","[Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
China,2022-03-25,"[14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0]","[358.818681384098, 1560.9520432005042, 1407.6457077512855, 1883.4274918089027, 1707.9684559354896, 2365.902909899723, 1890.4824234495277, 316.1615768919105, 2612.9499069700355, 1843.7637802610511, 792.427079821598, 1533.2709366331214, 489.4408737669105, 53.3222214231605]","[Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
China,2022-03-26,"[13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0, 27204.0]","[347.071611071598, 1468.7351547727699, 1331.1107346067542, 1781.9348389158363, 1619.3198410520667, 2214.1932846555824, 1763.1128365049476, 287.8063522825355, 2470.0248581419105, 1742.0534206876869, 743.0705734739417, 1433.8331772337074, 457.3566452512855, 47.2914597044105]","[Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
China,2022-03-27,"[13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0, 27204.0, 27909.0]","[336.0861374387855, 1390.2368637571449, 1249.9005600462074, 1681.7955338010902, 1535.6109940061683, 2072.4508530149574, 1648.684892321598, 265.024491930973, 2327.266435290348, 1644.9080063352699, 692.9120651731605, 1351.5167709837074, 418.0541550169105, 38.272782946598]","[Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
China,2022-03-28,"[14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0, 27204.0, 27909.0, 28991.0]","[328.268144274723, 1339.674882555973, 1190.1316086301917, 1607.0509125242347, 1474.5692307005042, 1953.5260178098792, 1567.8015305051917, 250.7218796262855, 2218.378495837223, 1584.880937243473, 658.6273972044105, 1309.492509509098, 381.635087634098, 28.483720446598]","[Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00')]"
