country,forecast_origin,true_values,predictions,forecast_dates
China,2022-03-04,"[68053.0, 40319.0, 37143.0, 39512.0, 31127.0, 32751.0, 30606.0, 29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0]","[14151.968427122018, 11138.770184934518, 5346.151044309518, 8682.229657590768, 3893.4449896220176, 7168.458661497018, 3988.1688665751426, 7775.606122434518, 13463.854169309518, -319.5540338154824, 4271.673016965768, -5411.065752565482, -4933.591143190482, 3658.7374700907676, 10899.682294309518, 2990.736859739205, -1179.2630181904824, 2529.507794797799, 811.1085028056114, -6334.477861940482, 4020.9440130595176, 1682.3335852030723, 5237.291181028268, 9079.943524778268, -289.2621636982949, -1572.5652642842324, -1345.1939263936074, 1833.8197683695762]","[Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
China,2022-03-05,"[40319.0, 37143.0, 39512.0, 31127.0, 32751.0, 30606.0, 29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0]","[14435.369794309518, 11561.598309934518, 5790.736249387643, 8897.735028684518, 4171.616132200143, 7559.016278684518, 4390.932294309518, 7732.582684934518, 13704.385419309518, -374.7339654561074, 4562.505536497018, -5373.593096315482, -5002.397295534232, 3967.1383489970176, 11175.392255247018, 3101.694867551705, -1214.9915338154824, 2506.935285032174, 816.3837713602989, -6645.843096315482, 4141.810712278268, 1703.575810850045, 5286.109052122018, 9349.615888059518, -480.0791802998574, -1596.8982720967324, -1494.1971002217324, 1695.5043157938926]","[Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
China,2022-03-06,"[37143.0, 39512.0, 31127.0, 32751.0, 30606.0, 29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0]","[12939.120770872018, 10793.011395872018, 5792.037274778268, 8141.122723997018, 4137.124188840768, 7268.560223997018, 4622.492597043893, 6611.764813840768, 12280.621747434518, -409.0572076436074, 4535.891278684518, -4522.095537721732, -4390.135576784232, 3975.9640325907676, 10188.297528684518, 2912.932660520455, -1082.6804986592324, 2151.1361517313926, 757.7029852274864, -6357.450518190482, 3865.1871771220176, 1562.9822821024864, 4642.764813840768, 8544.619794309518, -755.7928033467324, -1488.3286920186074, -1617.2576470967324, 1194.6420111063926]","[Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
China,2022-03-07,"[39512.0, 31127.0, 32751.0, 30606.0, 29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0]","[11715.001630247018, 10009.428388059518, 5710.854413450143, 7436.779950559518, 4025.9659857157676, 6840.159833372018, 4584.391522825143, 5699.634931028268, 11038.286786497018, -371.1641412373574, 4447.287763059518, -3828.2444635029824, -3879.9602838154824, 3940.7489447001426, 9299.031415403268, 2662.914288938424, -1085.1797662373574, 1881.2885565165489, 650.3679632548301, -5979.705401002982, 3525.99247497358, 1409.021527707955, 4141.490888059518, 7800.504559934518, -968.2620416279824, -1304.0274224873574, -1637.4471002217324, 790.2835516337364]","[Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
China,2022-03-08,"[31127.0, 32751.0, 30606.0, 29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0]","[11048.920575559518, 9463.197431028268, 5589.947919309518, 6981.440595090768, 3913.8304876688926, 6464.965985715768, 4421.808270872018, 5189.815839231393, 10276.304364622018, -318.3894830342324, 4354.454511106393, -3397.3904595967324, -3579.4016900654824, 3892.7750677470176, 8737.898114622018, 2443.589337766549, -1155.8238092061074, 1741.269266546151, 581.4619573954551, -5711.048174440482, 3238.6818060282676, 1259.3951544169395, 3833.7650579813926, 7311.545575559518, -1079.1853814717324, -1156.6302056904824, -1633.3565240498574, 536.0923284892051]","[Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
China,2022-03-09,"[32751.0, 30606.0, 29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0]","[10076.958661497018, 8691.027020872018, 5331.812421262643, 6366.107098997018, 3704.25077575483, 5953.566083372018, 4199.709882200143, 4522.393720090768, 9233.526532590768, -280.1573052998574, 4170.297040403268, -2853.0535455342324, -3174.3836236592324, 3752.814008176705, 7952.307294309518, 2166.7885259989707, -1151.2354302998574, 1558.3017248515098, 525.3404974345176, -5327.153154909232, 2882.607465207955, 1084.3891424540489, 3401.3314642313926, 6638.844403684518, -1166.1065240498574, -1005.1670709248574, -1600.0640435811074, 254.5799993876426]","[Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
China,2022-03-10,"[30606.0, 29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0]","[9511.220380247018, 8136.910809934518, 5095.574140012643, 5946.737470090768, 3519.834027707955, 5531.069745481393, 3933.7692083720176, 4143.727216184518, 8565.590009153268, -238.1535211201699, 3997.1197943095176, -2529.0525689717324, -2932.8172174092324, 3621.75956481733, 7435.314130247018, 1935.4439062479942, -1179.2532525654824, 1472.2374090556114, 490.9907659892051, -5024.054033815482, 2593.1334051493614, 942.3879217509239, 3141.0563177470176, 6183.494306028268, -1196.8033013936074, -880.8396783467324, -1551.5674615498574, 94.1092962626426]","[Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
China,2022-03-11,"[29267.0, 35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0]","[8982.832684934518, 7616.766278684518, 4840.455975950143, 5563.130048215768, 3321.3358587626426, 5128.905194700143, 3673.136273801705, 3815.2667669657676, 7955.499188840768, -208.6118951436074, 3815.3951849345176, -2254.5584283467324, -2715.0574517842324, 3467.053265989205, 6954.261884153268, 1721.0844015482871, -1173.8221002217324, 1403.975354612252, 477.4620794657676, -4732.089190065482, 2332.523969114205, 815.0354437235801, 2901.8314642313926, 5766.928876340768, -1201.4319635029824, -777.3721490498574, -1492.4544244404824, -31.0377984639199]","[Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
China,2022-03-12,"[35868.0, 29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0, 27204.0]","[8523.821942747018, 7152.871747434518, 4591.050702512643, 5228.207684934518, 3130.0934271220176, 4766.948895872018, 3423.1412786845176, 3548.92509216108, 7430.723798215768, -189.6399713154824, 3631.26688903608, -2040.3477349873574, -2534.2044244404824, 3309.5826849345176, 6533.593427122018, 1534.0983404520957, -1148.6004205342324, 1353.2166876200645, 472.3823675517051, -4461.901201784232, 2104.7340826395957, 711.5195745829551, 2700.9657415751426, 5404.728925168893, -1189.1492486592324, -693.1499810811074, -1429.8411431904824, -114.8174615498574]","[Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
China,2022-03-13,"[29136.0, 32827.0, 33495.0, 23540.0, 24135.0, 21993.0, 16859.0, 18461.0, 21075.0, 16648.0, 17182.0, 15248.0, 14435.0, 13621.0, 13880.0, 14911.0, 15924.0, 13688.0, 14863.0, 13784.0, 16751.0, 16063.0, 19903.0, 23155.0, 25899.0, 26068.0, 27204.0, 27909.0]","[8616.741864622018, 7056.759931028268, 4443.598309934518, 5198.332929075143, 3029.7401556376426, 4607.235761106393, 3222.4440130595176, 3651.24345153608, 7436.918622434518, -174.3351617451699, 3526.8470892313926, -2095.3513970967324, -2563.6599908467324, 3215.125531614205, 6515.227216184518, 1449.4740118388145, -1163.9749322529824, 1414.7496466044395, 500.9097113017051, -4374.708818971732, 2013.7311529520957, 664.0319036845176, 2721.925519407174, 5370.162274778268, -1128.5359674092324, -671.5379205342324, -1389.3208795186074, -69.8485894795449]","[Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
