country,forecast_origin,true_values,predictions,forecast_dates
Germany,2022-03-25,"[0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0]","[226852.40802596812, 232025.5862925928, 230289.94885902075, 230421.18780278348, 238986.3725555077, 235509.76382985944, 242493.12057052646]","[Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
Germany,2022-03-26,"[0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0]","[217368.72807726078, 237899.10706214575, 226382.1792578616, 226633.91869808582, 231124.07742849225, 226229.84810958896, 234988.7643966141]","[Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
Germany,2022-03-27,"[430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0]","[210060.5440738645, 238028.8276953616, 220185.23315121082, 220278.2790886485, 225108.13131271396, 217472.13207239535, 226937.88304380598]","[Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
Germany,2022-03-28,"[237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0]","[221601.29400395535, 233604.2506072655, 228565.8337761485, 227726.85006271396, 235004.1550216141, 229958.84886411848, 237706.96697328417]","[Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
Germany,2022-03-29,"[268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0]","[224272.02709652332, 236963.24760976667, 230060.80514083896, 230044.83226770785, 237464.98802427473, 232187.36980531542, 240018.93884169642]","[Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
Germany,2022-03-30,"[274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0]","[227502.770299586, 239081.25496994052, 232268.86449427035, 232752.10570005598, 240713.88494203417, 235479.34704482142, 243554.1140176084]","[Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
Germany,2022-03-31,"[252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0]","[230242.5985978702, 241316.27550501254, 234493.35814146223, 235232.26043031542, 244187.51202284876, 238623.7349892881, 246818.67763206223]","[Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
Germany,2022-04-01,"[0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0]","[231687.6852950516, 243630.21971372786, 235600.89714906542, 236727.46423232142, 246202.35156643653, 240155.30830833176, 248757.0817904424]","[Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
Germany,2022-04-02,"[0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0]","[222388.89280943098, 249233.32048890917, 231524.21130263392, 233279.45813381934, 239281.58174583176, 231801.7165560674, 241668.99337941996]","[Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
Germany,2022-04-03,"[311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0, 0.0]","[212089.54265687792, 248783.05602919642, 222644.05871975684, 226565.0597731755, 231909.8815951299, 222480.80392629496, 232210.57011946704]","[Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
