country,forecast_origin,true_values,predictions,forecast_dates
Germany,2022-03-25,"[0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0]","[252544.9807913929, 249790.4153014825, 249856.38781001788, 252588.65473035732, 256157.4903189244, 256737.95526249267, 269767.2951477475]","[Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
Germany,2022-03-26,"[0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0]","[236677.07057492, 240346.82689693195, 236249.68207410732, 244662.05062165877, 252848.19403202392, 257633.95579227872, 245643.01617640007]","[Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
Germany,2022-03-27,"[430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0]","[222916.58409908038, 233816.49945691982, 227262.8428579869, 238260.27655155517, 250939.4262512631, 263767.0879537438, 227955.87591882073]","[Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
Germany,2022-03-28,"[237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0]","[244095.49426893154, 245082.7804800572, 244461.72332889892, 248690.95737919278, 257012.56158655632, 264566.79681725823, 255248.06547337366]","[Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
Germany,2022-03-29,"[268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0]","[246634.23311677595, 247140.31958134033, 246043.03782352872, 251273.73248499382, 258980.61542077386, 263648.82035618613, 257948.19558027887]","[Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
Germany,2022-03-30,"[274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0]","[251407.37005741455, 249877.90171513028, 249267.14703577507, 254431.05182214105, 262820.81156712363, 263891.15432051325, 263347.74147515534]","[Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
Germany,2022-03-31,"[252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0]","[256183.35862430997, 252116.6796285485, 252734.5670809301, 256945.43272190882, 266308.71291426325, 264086.22096734284, 267647.41205841315]","[Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
Germany,2022-04-01,"[0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0]","[258171.36236780632, 253382.30780358636, 253899.22294407678, 258400.20681074762, 268694.47414117097, 264364.7449517847, 269209.14406408864]","[Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
Germany,2022-04-02,"[0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0]","[242310.37689538323, 243373.4741647799, 240002.95412520075, 249985.4209185147, 265003.2678933741, 263955.22609533864, 246831.22122811858]","[Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
Germany,2022-04-03,"[311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0, 0.0]","[228661.4604929049, 235853.57521895075, 231197.2158403897, 243155.79462677252, 261898.51540197927, 269032.3021429736, 228979.80654199072]","[Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
