country,forecast_origin,true_values,predictions,forecast_dates
Germany,2022-03-18,"[0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0]","[226593.40933066682, 217339.88581400324, 218145.7789174404, 214071.15323848597, 223289.47671714344, 228273.561101798, 235001.52591314306, 226163.5852835804, 230617.8938171075, 234795.99718501788, 242365.35852674404, 244228.31124177595, 245250.6879285083, 259176.87717899747]","[Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
Germany,2022-03-19,"[0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0]","[223482.26734476496, 213735.96788228414, 221734.37638301722, 217353.5787679247, 221638.99616039175, 224499.86813726416, 234673.4973929554, 229722.2883483575, 228124.77355220538, 231778.56683973232, 246259.67354646345, 236948.79510624267, 246498.28513798185, 253187.68335169303]","[Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
Germany,2022-03-20,"[484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0]","[216202.19737447164, 207915.38566036097, 222163.24820151844, 217039.51959789175, 219879.11227788916, 218583.4016898304, 231244.66578976376, 230075.53038814288, 222897.00238660732, 226538.3858267369, 248077.15981418945, 232129.18967899747, 242566.89752405632, 246598.80462975823]","[Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
Germany,2022-03-21,"[222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0]","[224087.63932247035, 217174.7809163622, 222396.25397289175, 215581.53122320166, 225273.5198538929, 227394.0793639825, 235551.68663814288, 227122.73871473232, 231181.3868032994, 234019.55584843017, 246223.04465946622, 243566.69342249382, 244582.21673913323, 257530.49616795374]","[Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
Germany,2022-03-22,"[283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0]","[229302.3851033739, 221309.90436351675, 225897.67575445166, 219905.1321585804, 228555.920184295, 231594.37706783038, 240546.85346082607, 232194.7803579869, 235180.88983280517, 238249.03440555997, 250582.43658655632, 246842.30609460198, 249270.7856882174, 260820.55996016169]","[Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
Germany,2022-03-23,"[318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0]","[233082.64264476675, 225370.97458257666, 228329.3557913929, 221716.7024108575, 230979.96105220538, 235716.49310926357, 243791.28694978377, 233956.11053593017, 238385.06174930997, 241213.83795374382, 252467.87445397698, 250562.5083444674, 252186.6821525445, 264861.80031304597]","[Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
Germany,2022-03-24,"[296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0]","[237772.26657476416, 230014.0569632679, 231202.15651242, 224850.31066158038, 234676.18207410732, 240637.52108064314, 247498.87893802978, 236821.02463993497, 242365.46490686882, 245341.01166100823, 255090.02421360803, 255284.2270744195, 256010.57082085844, 270098.60566192877]","[Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
Germany,2022-03-25,"[0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0]","[241880.0843070179, 233549.33961788876, 233881.31896236163, 228137.96234754482, 237763.66951814314, 244301.3939831958, 250978.24198612638, 240368.68463343132, 245649.46185632073, 248990.2505319674, 257995.39553145075, 259046.1572466397, 259838.45478302252, 274149.80739416677]","[Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
Germany,2022-03-26,"[0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0]","[238179.14973751767, 229328.45421626788, 237211.96918348232, 231001.8047720494, 235775.71014530517, 239538.38694462247, 249943.6521627282, 243570.98138757073, 242645.8140085299, 245374.48049238825, 261433.3984575772, 251118.56122833502, 260093.55934729177, 267281.6062378842]","[Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
Germany,2022-03-27,"[430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0, 0.0]","[230593.99425533038, 222901.90668348232, 236945.3682486119, 230442.91717655517, 234300.94358524747, 233028.32623499382, 246218.67181725823, 244315.9692819674, 236936.77248457575, 239636.1474810147, 263350.3713479639, 246573.81618322927, 255514.21243905608, 260245.82607324072]","[Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
