country,forecast_origin,true_values,predictions,forecast_dates
Germany,2022-03-18,"[0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0]","[221557.62734824495, 238373.617747597, 230143.0767690029, 226637.82499141566, 240374.0875569872, 248384.63971507925, 244846.09567632666, 247275.7815726429, 236117.2578307794, 250326.96495845538, 258242.80805066982, 255654.3077017369, 245998.33612186767, 257411.76633915372]","[Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
Germany,2022-03-19,"[0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0]","[216939.37311869074, 229792.34581197164, 220344.16837520472, 224409.06949058094, 234951.55084789175, 238566.41208257666, 243645.68538123666, 245912.99293820126, 233203.86583736163, 244223.41461805263, 249868.35994783064, 247259.8720715747, 240608.29612430997, 251192.91412561882]","[Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
Germany,2022-03-20,"[484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0]","[210736.37022603414, 219263.44034786097, 209205.7545491747, 219587.95612132925, 226816.0151099204, 227328.2854788929, 238287.2127563165, 240836.7386706136, 228005.79242566982, 235452.6377798619, 239900.94842655517, 237507.58030399747, 232517.29889124382, 243227.42572350823]","[Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
Germany,2022-03-21,"[222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0]","[220068.99357051722, 232932.1383382372, 224763.16412914175, 226199.81735601416, 236816.2567618519, 242509.23683468564, 242478.68505122882, 245604.22504285732, 235772.7412954869, 246312.65362675049, 254519.75706180997, 251744.93109339225, 242885.34076257073, 254291.84184056116]","[Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
Germany,2022-03-22,"[283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0]","[223801.8932210497, 237297.7866877355, 228295.0658911704, 229743.8831351429, 240393.83656613095, 246940.99132564288, 247047.23871473232, 250034.8184439244, 239326.45916874267, 249932.9138306088, 257564.90533655632, 255175.12086816155, 246370.0815866549, 257644.05996016169]","[Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
Germany,2022-03-23,"[318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0]","[228408.623601798, 242676.64743413916, 233670.3352835804, 233560.53493038876, 245150.85851314288, 252512.21625379482, 251239.47908845564, 254183.21014530517, 243401.73753055997, 254756.2966939782, 262357.94427819573, 260073.7847116549, 251052.62502363825, 262494.22026543855]","[Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
Germany,2022-03-24,"[296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0]","[233859.16656866064, 249480.1555960804, 240794.18605343564, 238656.01354243976, 251510.39496473232, 259557.8301626744, 256597.72869999267, 259400.32542118497, 248597.26104944694, 261197.65619225823, 269231.3071725924, 266836.06740645075, 257343.82179742094, 268761.8571267725]","[Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
Germany,2022-03-25,"[0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0]","[238542.69880897104, 254832.521746795, 246268.39220454913, 243337.41890577236, 256820.7237173619, 264875.66131718014, 261766.51585087247, 264306.8145162438, 253288.70880456292, 266539.4399850924, 274663.73830488825, 272049.2490435147, 262657.3264871241, 273991.48805822927]","[Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
Germany,2022-03-26,"[0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0]","[232801.39723507626, 245125.80382564288, 235340.36469129482, 240327.95955720564, 250523.67865116455, 253902.34983524747, 259705.22955530632, 262112.66156335198, 249399.13090306116, 259534.99918440485, 265316.0505571866, 262747.21564728033, 256315.70094885427, 266811.6335816342]","[Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
Germany,2022-03-27,"[430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0, 0.0]","[225619.72863033038, 233566.65668348232, 223155.9600454869, 234765.38983280517, 241432.51292118497, 241603.61334436882, 253504.94916100823, 256181.65336399866, 243308.71486738825, 249860.5244341397, 254378.65790802252, 252083.39723791677, 247263.73489999358, 257987.74697167822]","[Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
