country,forecast_origin,true_values,predictions,forecast_dates
Germany,2022-03-04,"[0.0, 0.0, 387527.0, 0.0, 372653.0, 262752.0, 252836.0, 0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0]","[183700.52426702154, 181881.27855512948, 187030.84538592945, 190029.6266000554, 192315.57819405608, 195365.48672972215, 197574.4640047836, 196496.55305136935, 200633.79604815415, 203062.61522039864, 204901.23719662058, 210183.69182774526, 208615.92184567687, 208611.1237226078, 212416.30142051057, 215061.0835679095, 215155.00596822164, 220029.58927364222, 223256.0377522997, 224565.326726798, 226686.3129614829, 228106.8069632679, 233499.23073117, 231991.91613033038, 236418.44476941982, 237154.0420767369, 240493.07196171142, 244092.64133915372]","[Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
Germany,2022-03-05,"[0.0, 387527.0, 0.0, 372653.0, 262752.0, 252836.0, 0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0]","[174584.26390669198, 181269.2667726482, 179453.1471078679, 175235.19879952483, 181082.65274534715, 179421.9054110336, 182000.25715293185, 189585.52944659165, 187162.6762555549, 190898.49696224558, 191802.3903140734, 192256.71579098937, 202829.5895429203, 205897.88931113557, 206034.945872597, 206961.04503072164, 211356.99405879847, 214159.6236897997, 211896.73541820425, 218369.22067632666, 219925.0384085804, 221709.1848327325, 222781.11339595538, 230214.33441785732, 222886.5869986119, 232447.16717655517, 233156.40842899747, 228391.94537561882]","[Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
Germany,2022-03-06,"[387527.0, 0.0, 372653.0, 262752.0, 252836.0, 0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0]","[163538.6456788982, 174762.2779672429, 170883.40778389983, 159644.14102659715, 169107.4620516586, 164383.73176230685, 166558.84389971665, 178286.0649274299, 172254.34461849558, 177545.1832828234, 178611.47165036437, 175184.4030194828, 195042.32876426057, 198577.699778847, 196662.79698384664, 196280.37394161097, 203294.6822835497, 203912.85455882925, 199412.26755132666, 209343.3938773304, 209260.2668639825, 212570.38488033038, 210714.97504285732, 224080.8037954869, 209217.75311405517, 224269.17405399747, 221737.81842249382, 212940.85443444573]","[Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
Germany,2022-03-07,"[0.0, 372653.0, 262752.0, 252836.0, 0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0]","[177975.2232797429, 176078.86481514983, 183764.50235472215, 182560.0304110336, 187063.67512168185, 189663.50405596665, 190892.2719586799, 188882.38368099558, 193564.1832828234, 196836.07321286437, 199416.6647382328, 203005.86196738557, 205054.713450722, 203053.33799947164, 207284.06925411097, 209367.8815022997, 209435.01862132925, 212763.14841070166, 217837.8958304554, 219811.5930358575, 220086.07433345538, 222964.97504285732, 228270.8428579869, 227737.68084843017, 230904.80296024747, 232557.20904749382, 233326.78021569573, 238118.6558054049]","[Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
Germany,2022-03-08,"[372653.0, 262752.0, 252836.0, 0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0]","[169957.20661202483, 176200.93985472215, 176122.8292391586, 169015.55207480685, 176673.79897784165, 174636.4223493049, 177193.14149349558, 183538.2985171984, 181675.35055661437, 185762.6940351078, 187055.86587363557, 187036.365794472, 199424.66221822164, 201273.31925411097, 202059.9322835497, 201942.74713695425, 206336.21091070166, 208333.8411429554, 207342.9641296075, 214398.48253658038, 214487.45551160732, 217206.6260611119, 218169.62811405517, 226150.12913212247, 217850.14654749382, 228677.35834069573, 227590.9800241549, 223769.05373457575]","[Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
Germany,2022-03-09,"[262752.0, 252836.0, 0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0]","[184964.47110472215, 180658.3214266586, 189275.37238730685, 191758.65639971665, 194343.0649274299, 198427.81825130808, 200115.2994937609, 195989.85641598937, 202727.9010663578, 205030.23110801057, 207434.453685097, 213067.55284322164, 210436.90519161097, 208172.1119710497, 213661.70026195425, 216159.97458257666, 215065.1595023304, 219425.0363952325, 225769.10851314288, 225741.81293348232, 227189.1182486119, 229090.38202030517, 235890.95042118497, 232434.99225061882, 239253.77337975823, 238519.7749460299, 240887.98537520075, 247554.2158403897]","[Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
Germany,2022-03-10,"[252836.0, 0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0]","[195117.7794344711, 189619.25519980685, 197262.20425127915, 204279.7787946174, 204571.24647396433, 209608.72869297964, 212193.99704098937, 207533.5338788578, 215232.86929160432, 216334.74616556574, 218195.95323384664, 225854.89115352504, 218482.1930257372, 217334.55182445425, 223328.95602788916, 226325.5491507679, 224587.64479367, 230312.59191158038, 236618.29291395107, 235037.6446157994, 238211.26287968017, 238553.67698368497, 246643.23639124382, 240853.83099694573, 250565.9077585299, 247908.19142988825, 252592.5312700772, 259592.87763458502]","[Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
Germany,2022-03-11,"[0.0, 0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0]","[204200.56940879123, 198869.5514192479, 205086.78611883614, 215030.29676693308, 213625.85493657095, 218893.64206052062, 221799.81171088904, 218068.98354941682, 225778.0503647845, 226213.02830708883, 227640.23517818324, 235822.2848226122, 226440.674383048, 226388.73141851416, 232140.8157523304, 235915.07277218564, 234102.64220454913, 240457.8634705917, 246232.67415681502, 243727.88543827392, 248457.9975403256, 247660.89508265007, 256435.87225671136, 249790.76957493616, 260731.27553633356, 256824.9004107022, 263159.74103790533, 269477.71632971364]","[Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
Germany,2022-03-12,"[0.0, 476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0]","[195450.95620440415, 201192.04002508614, 198292.39637630808, 199392.9020328234, 202289.21872067687, 201604.2545819828, 204875.75259238557, 212415.141185097, 211654.92198384664, 213692.98234004847, 213998.5260335497, 215883.21881664175, 221789.84274663916, 225844.0208304554, 226777.064715545, 228701.06066158038, 232151.32953504482, 235973.7823111119, 234729.90838749267, 238775.57249149747, 242832.34869593132, 242350.10834069573, 245886.0376413424, 250455.15725020075, 246754.8564653897, 253512.91181427252, 256767.56520666677, 252462.34818124358]","[Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
Germany,2022-03-13,"[476071.0, 198888.0, 262593.0, 294931.0, 297845.0, 0.0, 0.0, 484345.0, 222080.0, 283732.0, 318387.0, 296498.0, 0.0, 0.0, 430751.0, 237352.0, 268477.0, 274901.0, 252530.0, 0.0, 0.0, 311638.0, 180397.0, 214985.0, 201729.0, 175263.0, 0.0, 0.0]","[183798.3246930549, 195768.96571224558, 189921.4684390734, 182186.54196286437, 189592.1159101078, 184970.61977988557, 187593.580638222, 200813.66221822164, 195139.72941036097, 199294.6666585497, 199764.65338695425, 196549.58005132666, 214327.4485648304, 219138.5363952325, 217298.25597408038, 217774.73090223232, 224494.3252798619, 225676.80194218017, 221338.61155399747, 229831.02154749382, 231814.01263757073, 233243.3667429049, 233031.05959395075, 245181.6025591397, 231983.92353302252, 245433.30446447927, 244757.30130624358, 235243.73622949072]","[Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
