country,forecast_origin,true_values,predictions,forecast_dates
India,2022-03-04,"[5476.0, 4362.0, 3993.0, 4575.0, 4184.0, 4194.0, 3614.0, 3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0]","[32505.130931669322, 35383.87702541932, 37519.47468166932, 39138.43366604432, 38794.68171291932, 36113.07819729432, 40396.79694729432, 40667.14655666932, 27793.978587919322, 42511.45515041932, 41238.39265041932, 45088.36140041932, 42716.37311916932, 43653.94733791932, 41415.89850979432, 25887.169994169322, 37162.35749416932, 40545.35749416932, 34837.48249416932, 32972.95124416932, 34213.50202541932, 32499.494212919322, 38383.57624416932, 41568.70124416932, 32942.39655666932, 31241.310619169322, 38826.73249416932, 37737.51179104432]","[Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
India,2022-03-05,"[4362.0, 3993.0, 4575.0, 4184.0, 4194.0, 3614.0, 3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0]","[32190.537181669322, 35257.84577541932, 37381.69147854432, 38931.28718166932, 38586.72272854432, 35703.05280666932, 40142.08405666932, 40511.59382229432, 27648.716869169322, 42222.24225979432, 41023.54890041932, 44825.16804104432, 42676.33600979432, 43318.89069729432, 41298.65632229432, 25682.986400419322, 36922.77155666932, 40142.97858791932, 34744.68171291932, 32830.51765041932, 33893.89655666932, 32658.224681669322, 38250.91022854432, 41253.45710354432, 32888.26374416932, 31106.470775419322, 38627.65827541932, 37624.81257229432]","[Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
India,2022-03-06,"[3993.0, 4575.0, 4184.0, 4194.0, 3614.0, 3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0]","[31565.294994169322, 35269.93561916932, 37301.61335354432, 38779.76765041932, 38431.55475979432, 35030.76374416932, 40031.22468166932, 40410.57233791932, 27488.544994169322, 41935.89850979432, 40934.01374416932, 44371.27741604432, 42704.89460354432, 43100.23640041932, 41320.00202541932, 25524.084056669322, 36647.50593166932, 39743.32429104432, 34648.66218166932, 32572.880931669322, 33448.44733791932, 32674.158275419322, 38024.62507229432, 40865.97663479432, 32856.65827541932, 31067.470775419322, 38331.51960354432, 37426.68366604432]","[Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
India,2022-03-07,"[4575.0, 4184.0, 4194.0, 3614.0, 3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0, 795.0]","[31259.365306669322, 35194.49811916932, 37134.33991604432, 38609.94733791932, 38227.82429104432, 34621.13483791932, 39891.52741604432, 40266.74225979432, 27311.775462919322, 41641.40632229432, 40753.25397854432, 44137.42780666932, 42625.23444729432, 42847.08210354432, 41233.50007229432, 25348.779369169322, 36406.21882229432, 39478.16413479432, 34517.33796291932, 32417.224681669322, 33170.50593166932, 32809.35749416932, 37894.95124416932, 40613.90827541932, 32826.65827541932, 30961.720775419322, 38165.22077541932, 37331.23835354432]","[Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
India,2022-03-08,"[4184.0, 4194.0, 3614.0, 3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0, 795.0, 1086.0]","[31206.705150419322, 35075.46686916932, 36994.55280666932, 38456.54304104432, 38029.69147854432, 34437.29890041932, 39753.36335354432, 40174.35944729432, 27222.884837919322, 41391.97272854432, 40553.94538479432, 44057.21296291932, 42517.02155666932, 42583.17780666932, 41107.44343166932, 25211.099681669322, 36258.72272854432, 39316.97077541932, 34443.36140041932, 32394.521556669322, 33048.04108791932, 33013.47858791932, 37895.89850979432, 40479.12311916932, 32853.34968166932, 30854.322337919322, 38098.16999416932, 37342.93757229432]","[Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
India,2022-03-09,"[4194.0, 3614.0, 3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0, 795.0, 1086.0, 1033.0]","[31008.341869169322, 35039.82624416932, 36927.63093166932, 38352.39850979432, 37892.43561916932, 34147.46296291932, 39682.69147854432, 40134.70515041932, 27166.474681669322, 41189.17780666932, 40449.77350979432, 43895.24030666932, 42472.64655666932, 42400.03132229432, 41082.01569729432, 25118.021556669322, 36116.91804104432, 39145.82038479432, 34400.26374416932, 32333.564525419322, 32863.82233791932, 33136.44343166932, 37860.03327541932, 40316.46686916932, 32892.11140041932, 30807.326244169322, 37981.43366604432, 37318.14460354432]","[Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
India,2022-03-10,"[3614.0, 3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0, 795.0, 1086.0, 1033.0, 1109.0]","[31469.169994169322, 34796.58015041932, 36686.83210354432, 38215.95710354432, 37695.68561916932, 34431.49030666932, 39435.28913479432, 39951.39069729432, 27071.072337919322, 41010.76960354432, 40146.68171291932, 44216.12507229432, 42268.41413479432, 42126.18561916932, 40796.37311916932, 24966.400462919322, 36022.43561916932, 39106.76569729432, 34296.79108791932, 32479.791087919322, 32972.14655666932, 33526.19733791932, 37985.98249416932, 40366.33210354432, 32848.69733791932, 30587.810619169322, 38105.79694729432, 37456.15827541932]","[Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
India,2022-03-11,"[3116.0, 2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0, 795.0, 1086.0, 1033.0, 1109.0, 1150.0]","[31145.658275419322, 34848.74421291932, 36719.11530666932, 38189.35554104432, 37659.74225979432, 34096.25593166932, 39419.42975979432, 39962.75983791932, 27066.068431669322, 40905.69733791932, 40159.56257229432, 44007.78522854432, 42322.27546291932, 42057.92194729432, 40871.37116604432, 24932.052806669322, 35903.67390041932, 38912.20905666932, 34297.11140041932, 32391.048900419322, 32739.662181669322, 33546.46296291932, 37908.15827541932, 40181.01960354432, 32869.13483791932, 30605.037181669322, 37948.95515041932, 37386.99616604432]","[Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
India,2022-03-12,"[2503.0, 2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0, 795.0, 1086.0, 1033.0, 1109.0, 1150.0, 1054.0]","[30727.783275419322, 34939.33796291932, 36738.85749416932, 38167.20710354432, 37625.75202541932, 33667.54499416932, 39464.44147854432, 39980.92975979432, 27029.349681669322, 40774.27936916932, 40197.01960354432, 43732.09577541932, 42376.35358791932, 42023.63483791932, 40969.10944729432, 24904.029369169322, 35767.27350979432, 38742.89850979432, 34278.95515041932, 32257.373119169322, 32479.400462919322, 33523.78718166932, 37801.67780666932, 39976.89850979432, 32900.70515041932, 30652.193431669322, 37767.48249416932, 37288.00397854432]","[Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
India,2022-03-13,"[2568.0, 2876.0, 2539.0, 2528.0, 2075.0, 1761.0, 1549.0, 1581.0, 1778.0, 1938.0, 1685.0, 1660.0, 1421.0, 1270.0, 1259.0, 1233.0, 1225.0, 1335.0, 1260.0, 1096.0, 913.0, 795.0, 1086.0, 1033.0, 1109.0, 1150.0, 1054.0, 861.0]","[30321.330150419322, 35022.34186916932, 36723.66022854432, 38128.05866604432, 37567.67975979432, 33238.73640041932, 39521.59382229432, 39980.19147854432, 26958.166087919322, 40624.23640041932, 40218.47663479432, 43463.68952541932, 42388.25788479432, 41989.97272854432, 41065.45515041932, 24862.552806669322, 35617.06061916932, 38614.09186916932, 34225.53718166932, 32105.377025419322, 32228.544994169322, 33501.05280666932, 37682.11335354432, 39795.20905666932, 32927.40046291932, 30683.197337919322, 37597.64460354432, 37194.81257229432]","[Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
