country,forecast_origin,true_values,predictions,forecast_dates
US,2022-03-25,"[9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0]","[38378.263835877005, 32672.077470844844, 34264.54294850226, 42581.723587001616, 43725.04207944541, 41495.4523688858, 46352.47089832253]","[Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
US,2022-03-26,"[12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0]","[32179.139970844844, 34125.23044850226, 41153.161087001616, 49215.66707944541, 47200.4523688858, 33414.47089832253, 37165.92661070055]","[Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
US,2022-03-27,"[37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0]","[30374.71482350226, 35386.739212001616, 42094.94832944541, 48883.9836188858, 44007.70527332253, 26716.692235700553, 32992.99219891036]","[Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
US,2022-03-28,"[23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0]","[40105.020462001616, 35880.44832944541, 32775.1867438858, 38608.18964832253, 36165.33286070055, 33354.69532391036, 44415.434105784545]","[Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
US,2022-03-29,"[38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0]","[40095.90145444541, 34136.1554938858, 30291.09589832253, 37028.98911070055, 36576.52344891036, 34711.340355784545, 45299.76877409773]","[Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
US,2022-03-30,"[44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0]","[43071.3586188858, 32843.84589832253, 27196.410985700553, 34896.08594891036, 37292.699730784545, 40514.76877409773, 50559.637646563846]","[Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
US,2022-03-31,"[31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0]","[37493.86152332253, 31992.973485700553, 33242.08594891036, 41361.199730784545, 42440.19064909773, 39046.950146563846, 45707.01029083479]","[Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
US,2022-04-01,"[12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0]","[39316.77036070055, 32821.74219891036, 33386.309105784545, 41722.22189909773, 43230.418896563846, 40962.60404083479, 47641.27814950008]","[Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
US,2022-04-02,"[5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0, 13056.0]","[33595.39844891036, 33161.262230784545, 38388.00314909773, 46698.997021563846, 45971.44779083479, 34151.96564950008, 39693.03579008364]","[Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
US,2022-04-03,"[38118.0, 24970.0, 39930.0, 49672.0, 73178.0, 13056.0, 9807.0]","[30599.027855784545, 32838.26877409773, 37965.637646563846, 45510.10404083479, 42777.68439950008, 26873.33266508364, 34326.424655043054]","[Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
US,2022-04-04,"[24970.0, 39930.0, 49672.0, 73178.0, 13056.0, 9807.0, 38114.0]","[35243.67502409773, 32607.340771563846, 32477.02591583479, 38934.80939950008, 36642.67641508364, 29736.674655043054, 40301.804936768225]","[Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00')]"
US,2022-04-05,"[39930.0, 49672.0, 73178.0, 13056.0, 9807.0, 38114.0, 35223.0]","[35936.184521563846, 31415.16654083479, 29735.07502450008, 36524.81704008364, 35295.096530043054, 30944.195561768225, 41885.23995257946]","[Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00')]"
US,2022-04-06,"[49672.0, 73178.0, 13056.0, 9807.0, 38114.0, 35223.0, 56068.0]","[41529.18216583479, 30448.60627450008, 24463.06704008364, 32014.893405043054, 34196.523686768225, 38836.91182757946, 50185.29301972562]","[Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00')]"
US,2022-04-07,"[73178.0, 13056.0, 9807.0, 38114.0, 35223.0, 56068.0, 47853.0]","[40841.63752450008, 30053.61391508364, 27540.080905043054, 36055.586186768225, 39346.09932757946, 43182.41801972562, 51565.80870538359]","[Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00')]"
US,2022-04-08,"[13056.0, 9807.0, 38114.0, 35223.0, 56068.0, 47853.0, 34469.0]","[40900.47329008364, 33643.018405043054, 37234.195561768225, 45730.50557757946, 47310.82426972562, 48833.74620538359, 53828.89720165549]","[Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00')]"
US,2022-04-09,"[9807.0, 38114.0, 35223.0, 56068.0, 47853.0, 34469.0, 12819.0]","[38564.674655043054, 37401.617436768225, 44954.36495257946, 53837.87114472562, 53440.44933038359, 45284.86595165549, 48817.04370056797]","[Timestamp('2022-04-10 00:00:00'), Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00')]"
US,2022-04-10,"[38114.0, 35223.0, 56068.0, 47853.0, 34469.0, 12819.0, 7923.0]","[37686.648686768225, 40010.39620257946, 47700.58989472562, 55909.79308038359, 53465.64720165549, 39782.46557556797, 44988.749019070354]","[Timestamp('2022-04-11 00:00:00'), Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00')]"
US,2022-04-11,"[35223.0, 56068.0, 47853.0, 34469.0, 12819.0, 7923.0, 59551.0]","[41518.77120257946, 41602.40239472562, 45454.48058038359, 52383.20970165549, 49370.85620056797, 40273.764644070354, 48649.13897403251]","[Timestamp('2022-04-12 00:00:00'), Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00')]"
US,2022-04-12,"[56068.0, 47853.0, 34469.0, 12819.0, 7923.0, 59551.0, 38499.0]","[46540.12114472562, 42472.08995538359, 41855.89720165549, 48665.05932556797, 47362.545894070354, 44055.79522403251, 54387.24563224526]","[Timestamp('2022-04-13 00:00:00'), Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-19 00:00:00')]"
US,2022-04-13,"[47853.0, 34469.0, 12819.0, 7923.0, 59551.0, 38499.0, 67774.0]","[51826.83995538359, 42874.28782665549, 39534.27807556797, 46805.311519070354, 48087.35772403251, 51758.52688224526, 62196.71043541591]","[Timestamp('2022-04-14 00:00:00'), Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-20 00:00:00')]"
US,2022-04-14,"[34469.0, 12819.0, 7923.0, 59551.0, 38499.0, 67774.0, 60483.0]","[51928.56907665549, 43187.93432556797, 42070.858394070354, 50298.37334903251, 52939.60500724526, 54756.97606041591, 63093.940450169175]","[Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-20 00:00:00'), Timestamp('2022-04-21 00:00:00')]"
US,2022-04-15,"[12819.0, 7923.0, 59551.0, 38499.0, 67774.0, 60483.0, 88576.0]","[48544.79370056797, 43147.452144070354, 45843.48272403251, 54597.15188224526, 56736.30418541591, 52054.627950169175, 58569.32711804428]","[Timestamp('2022-04-16 00:00:00'), Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-20 00:00:00'), Timestamp('2022-04-21 00:00:00'), Timestamp('2022-04-22 00:00:00')]"
US,2022-04-16,"[7923.0, 59551.0, 38499.0, 67774.0, 60483.0, 88576.0, 20703.0]","[43108.670894070354, 42735.76397403251, 48577.76125724526, 57258.63231041591, 57426.815450169175, 43924.73336804428, 50199.90250549393]","[Timestamp('2022-04-17 00:00:00'), Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-20 00:00:00'), Timestamp('2022-04-21 00:00:00'), Timestamp('2022-04-22 00:00:00'), Timestamp('2022-04-23 00:00:00')]"
US,2022-04-17,"[59551.0, 38499.0, 67774.0, 60483.0, 88576.0, 20703.0, 13983.0]","[39758.87334903251, 41006.04250724526, 45747.72606041591, 53647.846700169175, 52273.26461804428, 35459.30875549393, 44124.52680388233]","[Timestamp('2022-04-18 00:00:00'), Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-20 00:00:00'), Timestamp('2022-04-21 00:00:00'), Timestamp('2022-04-22 00:00:00'), Timestamp('2022-04-23 00:00:00'), Timestamp('2022-04-24 00:00:00')]"
US,2022-04-18,"[38499.0, 67774.0, 60483.0, 88576.0, 20703.0, 13983.0, 67804.0]","[41144.62063224526, 40002.44481041591, 42404.018575169175, 48713.79586804428, 45991.55875549393, 36052.77680388233, 47072.82582948459]","[Timestamp('2022-04-19 00:00:00'), Timestamp('2022-04-20 00:00:00'), Timestamp('2022-04-21 00:00:00'), Timestamp('2022-04-22 00:00:00'), Timestamp('2022-04-23 00:00:00'), Timestamp('2022-04-24 00:00:00'), Timestamp('2022-04-25 00:00:00')]"
US,2022-04-19,"[67774.0, 60483.0, 88576.0, 20703.0, 13983.0, 67804.0, 44890.0]","[44211.44481041591, 39305.627950169175, 38107.85836804428, 44539.82438049393, 43064.19867888233, 39365.21645448459, 51447.48789848329]","[Timestamp('2022-04-20 00:00:00'), Timestamp('2022-04-21 00:00:00'), Timestamp('2022-04-22 00:00:00'), Timestamp('2022-04-23 00:00:00'), Timestamp('2022-04-24 00:00:00'), Timestamp('2022-04-25 00:00:00'), Timestamp('2022-04-26 00:00:00')]"
US,2022-04-20,"[60483.0, 88576.0, 20703.0, 13983.0, 67804.0, 44890.0, 89812.0]","[50390.346700169175, 40039.42086804428, 36126.37125549393, 43053.82367888233, 44009.95082948459, 49744.48789848329, 61317.02945196949]","[Timestamp('2022-04-21 00:00:00'), Timestamp('2022-04-22 00:00:00'), Timestamp('2022-04-23 00:00:00'), Timestamp('2022-04-24 00:00:00'), Timestamp('2022-04-25 00:00:00'), Timestamp('2022-04-26 00:00:00'), Timestamp('2022-04-27 00:00:00')]"
US,2022-04-21,"[88576.0, 20703.0, 13983.0, 67804.0, 44890.0, 89812.0, 76974.0]","[49242.56149304428, 41664.02750549393, 42702.35492888233, 50551.62270448459, 51397.70664848329, 53571.43570196949, 61655.98255593859]","[Timestamp('2022-04-22 00:00:00'), Timestamp('2022-04-23 00:00:00'), Timestamp('2022-04-24 00:00:00'), Timestamp('2022-04-25 00:00:00'), Timestamp('2022-04-26 00:00:00'), Timestamp('2022-04-27 00:00:00'), Timestamp('2022-04-28 00:00:00')]"
US,2022-04-22,"[20703.0, 13983.0, 67804.0, 44890.0, 89812.0, 76974.0, 61253.0]","[53874.26188049393, 47507.12055388233, 51769.84145448459, 59538.39414848329, 59338.43570196949, 63356.77943093859, 69048.34802629024]","[Timestamp('2022-04-23 00:00:00'), Timestamp('2022-04-24 00:00:00'), Timestamp('2022-04-25 00:00:00'), Timestamp('2022-04-26 00:00:00'), Timestamp('2022-04-27 00:00:00'), Timestamp('2022-04-28 00:00:00'), Timestamp('2022-04-29 00:00:00')]"
US,2022-04-23,"[13983.0, 67804.0, 44890.0, 89812.0, 76974.0, 61253.0, 25097.0]","[53607.38617888233, 52349.73207948459, 59490.45664848329, 68155.38882696949, 67094.4513059386, 61983.363651290245, 66162.20480382713]","[Timestamp('2022-04-24 00:00:00'), Timestamp('2022-04-25 00:00:00'), Timestamp('2022-04-26 00:00:00'), Timestamp('2022-04-27 00:00:00'), Timestamp('2022-04-28 00:00:00'), Timestamp('2022-04-29 00:00:00'), Timestamp('2022-04-30 00:00:00')]"
US,2022-04-24,"[67804.0, 44890.0, 89812.0, 76974.0, 61253.0, 25097.0, 17363.0]","[54206.73207948459, 55250.22227348329, 61615.04507696949, 70191.0606809386, 68598.01990129024, 58051.62667882713, 63707.334954252176]","[Timestamp('2022-04-25 00:00:00'), Timestamp('2022-04-26 00:00:00'), Timestamp('2022-04-27 00:00:00'), Timestamp('2022-04-28 00:00:00'), Timestamp('2022-04-29 00:00:00'), Timestamp('2022-04-30 00:00:00'), Timestamp('2022-05-01 00:00:00')]"
