country,forecast_origin,true_values,predictions,forecast_dates
US,2022-03-04,"[15267.0, 12624.0, 61334.0, 29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0]","[25862.52252308972, 59612.36777570195, 107534.5429936448, 36364.88493325017, 37224.667850833066, 96558.85350268989, 57455.58333259635, 65371.014409308, 67560.42880155562, 60673.8429530469, 44402.91393246234, 66077.73630845448, 36544.326524647855, 66902.37289963508, 39411.31375197647, 57310.63427519932, 55438.241537794675, 63775.30823321632, 50481.28830488096, 72395.44819616346, 83354.72622539857, 99452.779460877, 95685.32747084484, 59611.41794850226, 86273.23921200162, 96605.93270444541, 135024.9289313858, 96639.59589832253]","[Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
US,2022-03-05,"[12624.0, 61334.0, 29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0]","[19003.477150701947, 52845.363306144805, 97661.06462075017, 18174.777225833066, 25675.66600268989, 82883.59895759635, 45231.326909308, 61533.75692655562, 64417.4835780469, 55751.83580746234, 34839.15818345448, 56892.014024647855, 29122.044774635084, 67005.50125197647, 38697.44677519932, 53194.819662794675, 54884.83948321632, 68534.72580488096, 45506.27632116346, 59673.19497539857, 79151.420085877, 98176.06965834484, 95597.51951100226, 60117.895462001616, 94304.55770444541, 96378.8429938858, 137356.40839832253, 90877.09848570055]","[Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
US,2022-03-06,"[61334.0, 29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0]","[11824.050806144805, 45855.74430825017, 89959.51160083307, 6024.97850268989, 17396.708332596347, 72834.576909308, 35259.27255155562, 57858.1710780469, 59869.27330746234, 51705.87693345448, 28601.029649647855, 51123.747899635084, 23069.61062697647, 64992.89990019932, 37864.757162794675, 50512.60510821632, 54638.11642988096, 70158.72944616346, 42951.21060039857, 52160.170085877005, 76054.93684584484, 96206.06638600226, 94230.73139950162, 59084.57332944541, 97821.4367438858, 95013.06464832253, 137311.86411070055, 87709.63282391036]","[Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
US,2022-03-07,"[29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0]","[17381.33805825017, 51202.105350833066, 98712.95506518989, 22885.739582596347, 28974.858159308, 83486.36630155562, 46137.9054530469, 63817.25768246234, 63839.70505845448, 57168.529649647855, 39224.388524635084, 61751.12625197647, 31310.36865019932, 66997.00716279467, 42527.58948321632, 59443.42892988096, 60358.83882116346, 70842.30435039857, 51358.310710877005, 67563.99934584484, 84440.07419850226, 99777.98139950162, 97583.26864194541, 62227.1398688858, 95644.75214832253, 98758.49692320055, 138670.96876141036, 97529.25441828454]","[Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
US,2022-03-08,"[36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0]","[21157.136600833066, 55147.58787768989, 103402.59895759635, 30221.701909308, 34618.33505155562, 88070.2726405469, 52262.71080746234, 68156.67380845448, 68134.65464964785, 60524.716649635084, 44203.68875197647, 67076.71240019932, 37139.522787794675, 70128.60510821632, 45256.36642988096, 64884.79194616346, 63935.35122539857, 74088.716960877, 56109.389970844844, 75101.12107350226, 89502.06733700162, 103129.47176694541, 100671.8351813858, 66623.42402332253, 97671.96567320055, 102710.00782391036, 141818.72316828454, 102742.80783659773]","[Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
US,2022-03-09,"[45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0]","[28930.69725268989, 62799.13020759635, 113385.670659308, 44735.03817655562, 45763.4835780469, 98362.97643246234, 64342.73630845448, 75523.38902464785, 75853.65414963508, 66946.39187697647, 53777.85302519932, 76312.31966279467, 47036.10510821632, 74898.92892988096, 49353.08882116346, 73139.85122539857, 68888.607585877, 77846.49934584484, 63938.66794850226, 87741.66108700162, 97235.69051694541, 108096.9289313858, 105553.43183582253, 72817.30161070055, 99002.78126141036, 108250.35598078454, 146114.38596159773, 110118.39545906385]","[Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
US,2022-03-10,"[48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0]","[35177.52083259635, 68481.795659308, 119222.27255155562, 51842.7804530469, 52370.47643246234, 103658.00193345448, 71803.68589964785, 81096.29477463508, 82556.28250197647, 71423.24365019932, 59283.210287794675, 80997.68323321632, 53509.44455488096, 80288.43257116346, 53441.11685039857, 78845.888835877, 73217.03059584484, 83114.85544850226, 68634.87983700162, 93846.65145444541, 102683.9445563858, 112267.06464832253, 110475.57504820055, 78446.63282391036, 103539.25441828454, 113297.38596159773, 150966.66889656385, 114537.78372833479]","[Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
US,2022-03-11,"[10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0]","[40115.655034308, 72846.52255155562, 123340.2648280469, 56012.42955746234, 56932.04880845448, 106924.27183714785, 76986.57602463508, 85658.75125197647, 88136.46240019932, 74982.30403779467, 63326.93323321632, 84086.16330488096, 58192.88569616346, 85032.17935039857, 57254.201335877005, 83226.15559584484, 77025.05857350226, 88240.12983700162, 72394.74520444541, 97350.4133063858, 106704.64277332253, 115669.08286070055, 114807.35938641036, 83240.35598078454, 108349.41721159773, 117450.86420906385, 155330.2993533348, 117342.65314950008]","[Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
US,2022-03-12,"[11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0, 13056.0]","[34099.16317655562, 66717.2648280469, 113253.71861996234, 38213.67380845448, 45672.967149647855, 94124.30258713508, 65586.84500197647, 81445.47802519932, 84949.88216279467, 70186.58948321632, 53953.49142988096, 74903.76069616346, 50989.86685039857, 85149.060710877, 56060.608720844844, 77829.48044850226, 75444.12983700162, 91991.58895444541, 67268.7492438858, 83576.45527332253, 101197.34067320055, 113985.89844891036, 114005.27785578454, 83420.89377409773, 115213.84858406385, 116423.12747833479, 156434.53596200008, 110430.84047758364]","[Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
US,2022-03-13,"[34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0, 13056.0, 9807.0]","[27494.9367030469, 60245.47643246234, 105112.28318345448, 26142.826524647855, 37286.888524635084, 84601.06375197647, 55946.13427519932, 77251.22591279467, 80088.46448321632, 66025.02267988096, 47499.83882116346, 68900.63247539857, 44692.685710877005, 82954.51497084484, 54810.76169850226, 73757.20796200162, 74290.99520444541, 92667.2961188858, 64213.87714832253, 74780.42661070055, 96812.49219891036, 111636.82473078454, 111892.94064909773, 81755.38764656385, 117552.39310333479, 114189.62189950008, 155095.12172758364, 105985.68246754305]","[Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
