country,forecast_origin,true_values,predictions,forecast_dates
US,2022-03-04,"[15267.0, 12624.0, 61334.0, 29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0]","[53360.64752308972, 61374.22715070195, 61733.941431144805, 67213.11930825017, 59046.964725833066, 69403.08787768989, 71742.97395759635, 63421.405034308, 66473.22567655562, 70614.9679530469, 74080.58580746234, 71451.62693345448, 73821.31089964785, 75894.73227463508, 74763.78250197647, 80091.79052519932, 78508.21028779467, 78139.08948321632, 83449.14767988096, 79773.02632116346, 83470.06997539857, 90824.138835877, 82091.95247084484, 95985.94919850226, 102570.45014950162, 101504.26864194541, 103288.7648688858, 104473.31464832253]","[Timestamp('2022-03-05 00:00:00'), Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00')]"
US,2022-03-05,"[12624.0, 61334.0, 29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0]","[48512.38340070195, 57279.816431144805, 57870.04118325017, 62818.511600833066, 54572.71287768989, 66287.48958259635, 68268.576909308, 60359.42880155562, 62973.0304530469, 67414.89830746234, 70634.48630845448, 66959.85777464785, 69263.98227463508, 72703.00125197647, 70846.54052519932, 76143.16341279467, 75239.19885821632, 74167.21017988096, 79670.38569616346, 76350.27310039857, 79205.826335877, 88116.34309584484, 77885.23044850226, 92887.67671200162, 100065.62801694541, 99150.1242438858, 99853.72871082253, 101337.49692320055]","[Timestamp('2022-03-06 00:00:00'), Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00')]"
US,2022-03-06,"[61334.0, 29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0]","[43203.910181144805, 52841.05680825017, 53420.902225833066, 57801.97850268989, 49562.53645759635, 62432.451909308, 64009.41317655562, 56421.7492030469, 58852.39830746234, 63489.18943345448, 66642.09214964785, 62063.482274635084, 64417.87625197647, 68955.10302519932, 66349.99153779467, 71675.60510821632, 71337.97580488096, 69622.88569616346, 75214.47622539857, 72320.388835877, 74616.37434584484, 84832.90232350226, 73269.34858700162, 89235.22957944541, 96898.2961188858, 96123.38496082253, 95922.37192320055, 97650.38282391036]","[Timestamp('2022-03-07 00:00:00'), Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00')]"
US,2022-03-07,"[29336.0, 36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0]","[43928.75993325017, 53551.980350833066, 53264.69725268989, 58637.67708259635, 50248.873784308, 62342.67880155562, 63809.2492030469, 55606.82018246234, 59115.14255845448, 63664.154649647855, 67108.56039963508, 63353.56375197647, 65465.57177519932, 69122.72591279467, 66920.85510821632, 72454.72580488096, 71455.94819616346, 70137.99185039857, 76337.091960877, 72768.60872084484, 76697.88669850226, 85873.25483700162, 74799.15145444541, 90403.0617438858, 97576.99433582253, 97082.45786070055, 96915.83594891036, 98859.39504328454]","[Timestamp('2022-03-08 00:00:00'), Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00')]"
US,2022-03-08,"[36895.0, 45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0]","[41438.183475833066, 51303.21287768989, 50878.34895759635, 56433.061284308, 47856.58505155562, 60312.9367030469, 61708.30455746234, 53382.53318345448, 57020.482774647855, 61726.247899635084, 65140.82937697647, 61242.64990019932, 63185.960287794675, 67194.21448321632, 64906.42892988096, 70474.93257116346, 69487.83560039857, 68072.779460877, 74597.73372084484, 70847.43357350226, 74993.50483700162, 84464.74520444541, 72985.7023688858, 88922.97089832253, 96321.03598570055, 95938.60157391036, 95309.88723078454, 97420.06564909773]","[Timestamp('2022-03-09 00:00:00'), Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00')]"
US,2022-03-09,"[45668.0, 48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0]","[40020.49412768989, 49934.47395759635, 49181.061284308, 55298.61630155562, 46467.3585780469, 58887.67955746234, 60285.90818345448, 51639.576524647855, 55654.482274635084, 60470.07937697647, 63893.85302519932, 60218.725912794675, 61959.80823321632, 65901.44455488096, 63753.83882116346, 69408.52310039857, 68185.435710877, 66906.37434584484, 73839.69919850226, 69678.41108700162, 74480.05770444541, 83755.6398688858, 72247.83027332253, 88244.58286070055, 95654.89844891036, 95424.27785578454, 94564.05002409773, 96820.80170906385]","[Timestamp('2022-03-10 00:00:00'), Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00')]"
US,2022-03-10,"[48760.0, 10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0]","[39948.31770759635, 49634.280034308, 48444.21005155562, 55535.0304530469, 46340.89830746234, 58352.48630845448, 59874.201524647855, 50713.716649635084, 55275.29812697647, 60187.85302519932, 63608.819662794675, 60522.71448321632, 61985.85080488096, 65484.02632116346, 63761.99185039857, 69514.545085877, 67815.38997084484, 66910.35544850226, 74382.47358700162, 69531.02645444541, 75371.7023688858, 83991.56464832253, 72840.14536070055, 88618.13282391036, 95864.64504328454, 95810.89377409773, 94933.63764656385, 97321.58841583479]","[Timestamp('2022-03-11 00:00:00'), Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00')]"
US,2022-03-11,"[10518.0, 11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0]","[40754.795659308, 50040.78817655562, 48469.4992030469, 56738.41393246234, 47090.67380845448, 58610.935899647855, 60325.185399635084, 50617.56375197647, 55683.91552519932, 60728.491537794675, 64056.27698321632, 61657.38205488096, 62779.01069616346, 65772.10122539857, 64598.123210877005, 70422.96809584484, 68208.58982350226, 67751.47358700162, 75850.30770444541, 70172.7804938858, 77077.64277332253, 84953.03598570055, 74242.46094891036, 89748.79348078454, 96776.93283659773, 96921.41889656385, 96075.22904083479, 98609.77814950008]","[Timestamp('2022-03-12 00:00:00'), Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00')]"
US,2022-03-12,"[11308.0, 34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0, 13056.0]","[37572.27255155562, 47081.8273280469, 45787.03893246234, 54087.31443345448, 44107.967149647855, 56522.919774635084, 58213.37625197647, 48669.25927519932, 53298.460287794675, 58671.51135821632, 61641.13205488096, 58661.96382116346, 59665.64810039857, 63581.873210877005, 62113.686845844844, 67860.65232350226, 66052.19233700162, 65267.18270444541, 73612.9523688858, 67928.83027332253, 74254.37973570055, 83111.94532391036, 71495.51223078454, 87710.31564909773, 95189.37202156385, 95431.72904083479, 93971.16877450008, 96682.25454008364]","[Timestamp('2022-03-13 00:00:00'), Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00')]"
US,2022-03-13,"[34270.0, 23513.0, 51235.0, 52025.0, 31632.0, 11122.0, 11665.0, 41045.0, 21229.0, 39900.0, 42051.0, 44415.0, 9695.0, 12036.0, 37712.0, 23059.0, 38117.0, 44550.0, 31163.0, 12080.0, 5014.0, 38118.0, 24970.0, 39930.0, 49672.0, 73178.0, 13056.0, 9807.0]","[34367.8273280469, 44199.21080746234, 42927.70505845448, 51297.357774647855, 41056.966649635084, 54146.51687697647, 55737.32177519932, 46275.429037794675, 50744.44885821632, 56348.91330488096, 59104.32319616346, 55699.46060039857, 56686.748210877005, 61234.108720844844, 59461.83982350226, 65191.223587001616, 63679.74520444541, 62616.1554938858, 71174.70527332253, 65510.70786070055, 71571.13282391036, 81160.26223078454, 68767.09689909773, 85566.60639656385, 93328.29154083479, 93700.60627450008, 91772.64516508364, 94647.34653004305]","[Timestamp('2022-03-14 00:00:00'), Timestamp('2022-03-15 00:00:00'), Timestamp('2022-03-16 00:00:00'), Timestamp('2022-03-17 00:00:00'), Timestamp('2022-03-18 00:00:00'), Timestamp('2022-03-19 00:00:00'), Timestamp('2022-03-20 00:00:00'), Timestamp('2022-03-21 00:00:00'), Timestamp('2022-03-22 00:00:00'), Timestamp('2022-03-23 00:00:00'), Timestamp('2022-03-24 00:00:00'), Timestamp('2022-03-25 00:00:00'), Timestamp('2022-03-26 00:00:00'), Timestamp('2022-03-27 00:00:00'), Timestamp('2022-03-28 00:00:00'), Timestamp('2022-03-29 00:00:00'), Timestamp('2022-03-30 00:00:00'), Timestamp('2022-03-31 00:00:00'), Timestamp('2022-04-01 00:00:00'), Timestamp('2022-04-02 00:00:00'), Timestamp('2022-04-03 00:00:00'), Timestamp('2022-04-04 00:00:00'), Timestamp('2022-04-05 00:00:00'), Timestamp('2022-04-06 00:00:00'), Timestamp('2022-04-07 00:00:00'), Timestamp('2022-04-08 00:00:00'), Timestamp('2022-04-09 00:00:00'), Timestamp('2022-04-10 00:00:00')]"
