country,forecast_origin,true_values,predictions,forecast_dates
Australia,2022-07-24,"[46069.857142857145, 46149.57142857143, 45019.0, 43925.142857142855, 44458.28571428572, 43572.57142857143, 42818.42857142857, 41078.0, 40289.71428571428, 38881.0, 37220.42857142857, 34140.0, 32821.42857142857, 31464.285714285714]","[28389.98941098301, 28459.11544726563, 28678.78244393266, 28996.77011062, 29376.73627380483, 29767.737290000805, 30173.839539475866, 30596.224320591078, 31021.88270675196, 31435.82637662187, 31847.58594509076, 32262.652860556373, 32680.08988529006, 33092.60818845153]","[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00')]"
Australia,2022-07-25,"[46149.57142857143, 45019.0, 43925.142857142855, 44458.28571428572, 43572.57142857143, 42818.42857142857, 41078.0, 40289.71428571428, 38881.0, 37220.42857142857, 34140.0, 32821.42857142857, 31464.285714285714, 30201.571428571428]","[28509.44327357211, 28719.93411708297, 28996.766435561254, 29318.648906311933, 29672.991472716756, 30021.92128807721, 30363.53277419305, 30708.328313049806, 31053.696670651923, 31387.200602096065, 31701.91230135082, 32008.695800890386, 32313.53561193241, 32616.112869697346]","[Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00')]"
Australia,2022-07-26,"[45019.0, 43925.142857142855, 44458.28571428572, 43572.57142857143, 42818.42857142857, 41078.0, 40289.71428571428, 38881.0, 37220.42857142857, 34140.0, 32821.42857142857, 31464.285714285714, 30201.571428571428, 27499.0]","[28953.28742651078, 29253.91693399888, 29553.477561713215, 29844.091650464357, 30135.101865623295, 30427.986856795298, 30714.76636476859, 30978.138583180717, 31213.968594715425, 31437.810905898557, 31656.945924669923, 31872.477414006033, 32079.332491920093, 32266.261631462]","[Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00')]"
Australia,2022-07-27,"[43925.142857142855, 44458.28571428572, 43572.57142857143, 42818.42857142857, 41078.0, 40289.71428571428, 38881.0, 37220.42857142857, 34140.0, 32821.42857142857, 31464.285714285714, 30201.571428571428, 27499.0, 25028.0]","[29323.309528931044, 29617.66899104532, 29876.372793226554, 30106.88525649383, 30300.720066545502, 30460.886009403184, 30602.786845815357, 30739.68268646657, 30855.967430835022, 30945.812488372147, 31008.299238487012, 31047.117154682615, 31070.563804555866, 31086.493626701562]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00')]"
Australia,2022-07-30,"[42818.42857142857, 41078.0, 40289.71428571428, 38881.0, 37220.42857142857, 34140.0, 32821.42857142857, 31464.285714285714, 30201.571428571428, 27499.0, 25028.0, 24739.571428571428, 23339.571428571428, 22410.571428571428]","[31876.574271024612, 32224.973460465877, 32420.196238680102, 32503.474096016853, 32494.840992555597, 32436.962724619436, 32345.39503873098, 32210.43064757577, 32034.684982173127, 31829.48322063171, 31606.051424272584, 31356.77652127444, 31077.00122763156, 30766.546761892943]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00')]"
Australia,2022-07-31,"[41078.0, 40289.71428571428, 38881.0, 37220.42857142857, 34140.0, 32821.42857142857, 31464.285714285714, 30201.571428571428, 27499.0, 25028.0, 24739.571428571428, 23339.571428571428, 22410.571428571428, 22058.14285714286]","[31147.61800038191, 31199.012999538758, 31089.975048247026, 30865.378171978326, 30538.44862394198, 30134.12075060943, 29685.93422979295, 29194.00074179829, 28655.36616302229, 28074.520861598903, 27461.970269798403, 26831.345903145026, 26180.66950487367, 25504.25601867138]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00')]"
Australia,2022-08-01,"[40289.71428571428, 38881.0, 37220.42857142857, 34140.0, 32821.42857142857, 31464.285714285714, 30201.571428571428, 27499.0, 25028.0, 24739.571428571428, 23339.571428571428, 22410.571428571428, 22058.14285714286, 20578.85714285714]","[32689.601640108518, 33087.031840519405, 33327.03972121369, 33426.33833394676, 33400.58237192369, 33264.36816979925, 33031.23370367793, 32713.658591113875, 32323.341967966808, 31870.681523641095, 31363.261951863544, 30808.178291803382, 30212.19808433437, 29581.76137203482]","[Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00')]"
Australia,2022-08-08,"[27499.0, 25028.0, 24739.571428571428, 23339.571428571428, 22410.571428571428, 22058.14285714286, 20578.85714285714, 19979.571428571428, 20136.285714285714, 18216.14285714286, 17689.85714285714, 16695.14285714286, 15964.714285714286, 15020.42857142857]","[37053.672280581326, 36185.64716667041, 35073.83560454071, 33786.7353673173, 32379.67129346799, 30888.31208892308, 29345.304884331978, 27781.51469337525, 26226.024412764644, 24701.583322255534, 23215.14453384421, 21771.774948855113, 20377.147936106885, 19037.5360349038]","[Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00')]"
Australia,2022-08-09,"[25028.0, 24739.571428571428, 23339.571428571428, 22410.571428571428, 22058.14285714286, 20578.85714285714, 19979.571428571428, 20136.285714285714, 18216.14285714286, 17689.85714285714, 16695.14285714286, 15964.714285714286, 15020.42857142857, 14191.285714285714]","[36480.570223499926, 35106.01436288195, 33461.493614567036, 31645.951215379875, 29725.84093723312, 27772.20604915473, 25844.182267547934, 23954.397394157415, 22115.265852308232, 20345.703757820807, 18670.465120310757, 17097.718609299212, 15617.752780450453, 14226.176036769208]","[Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00')]"
Australia,2022-08-10,"[24739.571428571428, 23339.571428571428, 22410.571428571428, 22058.14285714286, 20578.85714285714, 19979.571428571428, 20136.285714285714, 18216.14285714286, 17689.85714285714, 16695.14285714286, 15964.714285714286, 15020.42857142857, 14191.285714285714, 12850.142857142857]","[37471.58242742033, 35830.277506283666, 33880.93780290523, 31742.556730628257, 29511.504556064123, 27285.145574954087, 25105.907836678893, 22988.6198168273, 20957.48634615098, 19044.99808379707, 17262.686517628095, 15598.283956642623, 14046.952169249678, 12612.021965100876]","[Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
