country,forecast_origin,true_values,predictions,forecast_dates
Brazil,2022-07-25,"[37437.857142857145, 35728.42857142857, 34751.142857142855, 33596.0, 36865.857142857145, 34649.142857142855, 33428.42857142857, 32935.57142857143, 31381.14285714286, 30787.0, 29110.285714285714, 28226.571428571428, 26353.0, 25688.0]","[54131.07189187175, 50535.174723729375, 47578.94036730985, 44912.402046315445, 42463.16775473356, 40164.56962551725, 37947.77309817445, 35826.66710894572, 33797.78655716703, 31841.002706566796, 29965.00078365886, 28164.20474940397, 26431.420219933338, 24771.363181618737]","[Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00')]"
Brazil,2022-07-26,"[35728.42857142857, 34751.142857142855, 33596.0, 36865.857142857145, 34649.142857142855, 33428.42857142857, 32935.57142857143, 31381.14285714286, 30787.0, 29110.285714285714, 28226.571428571428, 26353.0, 25688.0, 25081.714285714286]","[53746.76656077931, 49888.976453923235, 46635.049973493034, 43642.58242243575, 40854.545556316356, 38163.14554797042, 35577.90781913715, 33097.65827903667, 30708.944484939897, 28429.1236945544, 26225.41031301549, 24099.235772754353, 22095.129220774244, 20249.425297268266]","[Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00')]"
Brazil,2022-07-29,"[36865.857142857145, 34649.142857142855, 33428.42857142857, 32935.57142857143, 31381.14285714286, 30787.0, 29110.285714285714, 28226.571428571428, 26353.0, 25688.0, 25081.714285714286, 20277.0, 22869.285714285714, 21951.571428571428]","[53664.99115627353, 54674.37190581061, 53034.161491563515, 50465.63514353402, 47580.776154454, 44680.710144822646, 41786.73130467055, 38999.76177305631, 36299.145051260566, 33673.866692289055, 31218.700594759528, 28860.52897035092, 26546.05882508792, 24400.25539714791]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00')]"
Brazil,2022-08-02,"[31381.14285714286, 30787.0, 29110.285714285714, 28226.571428571428, 26353.0, 25688.0, 25081.714285714286, 20277.0, 22869.285714285714, 21951.571428571428, 19565.428571428572, 18537.14285714286, 20351.428571428572, 19325.714285714286]","[60898.464582905995, 57130.29183203553, 54222.64136378502, 51787.84933975393, 49549.89191219021, 47485.88189906225, 45528.21893593483, 43636.810202201814, 41851.4717302773, 40147.097237645714, 38470.56133978709, 36870.89206496725, 35381.23571482813, 33970.83885935211]","[Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00')]"
Brazil,2022-08-06,"[26353.0, 25688.0, 25081.714285714286, 20277.0, 22869.285714285714, 21951.571428571428, 19565.428571428572, 18537.14285714286, 20351.428571428572, 19325.714285714286, 22458.14285714286, 17256.428571428572, 16586.571428571428, 16586.571428571428]","[58607.871687449566, 59303.44839536787, 59558.11555807359, 59446.97618260255, 59036.08948217067, 58371.076020074805, 57493.64006439064, 56443.17579208695, 55256.767289025665, 53969.18854996181, 52611.17304601315, 51199.254968204856, 49745.09049080773, 48260.335321575745]","[Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00')]"
Brazil,2022-08-07,"[25688.0, 25081.714285714286, 20277.0, 22869.285714285714, 21951.571428571428, 19565.428571428572, 18537.14285714286, 20351.428571428572, 19325.714285714286, 22458.14285714286, 17256.428571428572, 16586.571428571428, 16586.571428571428, 16586.571428571428]","[58268.22627689065, 59132.13265950478, 59418.96765214629, 59255.04762300213, 58724.60673498852, 57898.354070796224, 56843.37408581078, 55623.12660811253, 54292.66622982119, 52877.5568381111, 51396.38309193401, 49868.42590354135, 48313.47452074112, 46751.82652689788]","[Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00')]"
Brazil,2022-08-08,"[25081.714285714286, 20277.0, 22869.285714285714, 21951.571428571428, 19565.428571428572, 18537.14285714286, 20351.428571428572, 19325.714285714286, 22458.14285714286, 17256.428571428572, 16586.571428571428, 16586.571428571428, 16586.571428571428, 15232.0]","[58842.79321518072, 59411.49775282631, 59403.86654764979, 58956.21094977698, 58157.42106131787, 57090.968798501526, 55837.11208650552, 54466.526351149936, 53008.995539787385, 51484.888137128546, 49916.46674525687, 48327.5078251502, 46743.301696680704, 45183.92864165629]","[Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00')]"
Brazil,2022-08-09,"[20277.0, 22869.285714285714, 21951.571428571428, 19565.428571428572, 18537.14285714286, 20351.428571428572, 19325.714285714286, 22458.14285714286, 17256.428571428572, 16586.571428571428, 16586.571428571428, 16586.571428571428, 15232.0, 11940.57142857143]","[59122.906404409965, 59430.73282993077, 59153.6428490746, 58434.501729033494, 57381.484307587045, 56101.27230113745, 54690.542790863896, 53186.984120301575, 51613.871930713525, 49998.801987303515, 48372.9528372495, 46768.315584874494, 45190.98105434357, 43638.66103875165]","[Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00')]"
Brazil,2022-08-10,"[22869.285714285714, 21951.571428571428, 19565.428571428572, 18537.14285714286, 20351.428571428572, 19325.714285714286, 22458.14285714286, 17256.428571428572, 16586.571428571428, 16586.571428571428, 16586.571428571428, 15232.0, 11940.57142857143, 15199.0]","[59018.3968451042, 59254.408030108185, 58815.99600318509, 57882.798559244446, 56616.386220348395, 55168.56947750185, 53600.16375594785, 51944.35241624704, 50243.431427474046, 48546.91450805166, 46878.527028271244, 45233.659120407836, 43614.246764391166, 42028.21202377771]","[Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
Brazil,2022-08-11,"[21951.571428571428, 19565.428571428572, 18537.14285714286, 20351.428571428572, 19325.714285714286, 22458.14285714286, 17256.428571428572, 16586.571428571428, 16586.571428571428, 16586.571428571428, 15232.0, 11940.57142857143, 15199.0, 15037.857142857143]","[58557.08009287767, 59053.13567001348, 58465.07334180307, 57269.24135007085, 55764.72984841291, 54055.01739286437, 52274.84803293971, 50494.12947653928, 48709.60111094006, 46944.90377027044, 45244.624555909475, 43603.66349416501, 42007.20787160125, 40454.1467456799]","[Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00')]"
