country,forecast_origin,true_values,predictions,forecast_dates
China,2022-07-24,"[4900.857142857143, 5085.142857142857, 5195.857142857143, 5163.285714285715, 5187.285714285715, 5203.571428571428, 5185.0, 5151.714285714285, 5067.142857142857, 4974.142857142857, 5037.428571428572, 4970.0, 4992.142857142857, 4998.857142857143]","[1653.00018440323, 1708.3604836308523, 1758.8096603685192, 1805.853337118285, 1852.5051064517845, 1898.7464539210098, 1944.0048049475313, 1989.8397323679492, 2036.1776609721524, 2081.354996166727, 2125.2976929302413, 2169.6195161177366, 2216.1562925666394, 2261.315135941173]","[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00')]"
China,2022-07-28,"[5187.285714285715, 5203.571428571428, 5185.0, 5151.714285714285, 5067.142857142857, 4974.142857142857, 5037.428571428572, 4970.0, 4992.142857142857, 4998.857142857143, 5006.0, 4950.0, 5189.714285714285, 5132.571428571428]","[1960.0223168900627, 2019.5998149209997, 2071.4099274328137, 2119.9567390363595, 2167.547697129402, 2213.330251679758, 2260.1598058646287, 2305.8585183301775, 2349.221775851895, 2393.089788049803, 2439.1944003057083, 2481.0649984670063, 2518.792092243711, 2560.760305966391]","[Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00')]"
China,2022-07-30,"[5185.0, 5151.714285714285, 5067.142857142857, 4974.142857142857, 5037.428571428572, 4970.0, 4992.142857142857, 4998.857142857143, 5006.0, 4950.0, 5189.714285714285, 5132.571428571428, 5282.285714285715, 5689.285714285715]","[2160.607582361573, 2238.2607887395116, 2304.084764198939, 2363.9512809722555, 2418.9707409072234, 2470.4866814794823, 2520.720742081442, 2569.815157070526, 2617.282936162514, 2663.2417684706847, 2708.348852311281, 2753.0964011428705, 2796.853694515453, 2839.3798397102237]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00')]"
China,2022-07-31,"[5151.714285714285, 5067.142857142857, 4974.142857142857, 5037.428571428572, 4970.0, 4992.142857142857, 4998.857142857143, 5006.0, 4950.0, 5189.714285714285, 5132.571428571428, 5282.285714285715, 5689.285714285715, 6203.714285714285]","[2187.36692972186, 2233.6819703236856, 2269.6951206726335, 2299.7575420214, 2324.5543045313466, 2344.4343507609105, 2360.6668850600504, 2374.23875573537, 2384.5412659596495, 2391.3661710261977, 2394.862202353274, 2395.535067484091, 2393.8586946198784, 2389.379553556106]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00')]"
China,2022-08-01,"[5067.142857142857, 4974.142857142857, 5037.428571428572, 4970.0, 4992.142857142857, 4998.857142857143, 5006.0, 4950.0, 5189.714285714285, 5132.571428571428, 5282.285714285715, 5689.285714285715, 6203.714285714285, 6409.571428571428]","[2285.2490405424205, 2315.7810912596024, 2338.0562145394347, 2354.4434170374466, 2365.8757405249457, 2372.2419064677797, 2373.9237434034953, 2371.8433699748443, 2366.6705507478277, 2357.898404417919, 2345.355226814757, 2329.0902288665156, 2309.372871589048, 2286.6928660858803]","[Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00')]"
China,2022-08-03,"[5037.428571428572, 4970.0, 4992.142857142857, 4998.857142857143, 5006.0, 4950.0, 5189.714285714285, 5132.571428571428, 5282.285714285715, 5689.285714285715, 6203.714285714285, 6409.571428571428, 7145.0, 7451.714285714285]","[2403.01169149884, 2441.5301687207875, 2458.7576907810103, 2461.969375415325, 2453.6643916025337, 2435.9134005668343, 2411.60515527087, 2382.067966641661, 2347.120938112149, 2307.1638320333277, 2263.159421459901, 2216.4252787556497, 2166.951752823368, 2114.346614057061]","[Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00')]"
China,2022-08-05,"[4992.142857142857, 4998.857142857143, 5006.0, 4950.0, 5189.714285714285, 5132.571428571428, 5282.285714285715, 5689.285714285715, 6203.714285714285, 6409.571428571428, 7145.0, 7451.714285714285, 8089.428571428572, 8548.285714285714]","[2702.6059822814645, 2723.6441583064943, 2693.841113542255, 2625.856027608707, 2529.472620944225, 2411.820341451082, 2279.565382760299, 2139.042050081973, 1995.1001404576346, 1850.1437993954319, 1706.4057684075112, 1566.2404712691546, 1432.1239932460685, 1305.728943566351]","[Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00')]"
China,2022-08-07,"[5006.0, 4950.0, 5189.714285714285, 5132.571428571428, 5282.285714285715, 5689.285714285715, 6203.714285714285, 6409.571428571428, 7145.0, 7451.714285714285, 8089.428571428572, 8548.285714285714, 8603.857142857143, 8339.42857142857]","[2971.1054920315746, 3030.081026731831, 3073.7724856594177, 3103.89586008135, 3122.051881885652, 3129.726023581359, 3128.2884982985156, 3119.000383213878, 3103.0033387014696, 3081.063137937785, 3053.8514276436413, 3022.0178642240667, 2986.190113768303, 2946.9738520498054]","[Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00')]"
China,2022-08-10,"[5132.571428571428, 5282.285714285715, 5689.285714285715, 6203.714285714285, 6409.571428571428, 7145.0, 7451.714285714285, 8089.428571428572, 8548.285714285714, 8603.857142857143, 8339.42857142857, 8900.285714285714, 8780.57142857143, 8869.857142857143]","[3274.203942113742, 3258.243515296409, 3243.338927957831, 3231.5467514352094, 3221.7334561799457, 3209.47246716239, 3195.887942454356, 3183.91156846549, 3173.8260878215638, 3163.7051967877765, 3150.369630618922, 3136.1722937035292, 3124.5366594257694, 3116.0753182252524]","[Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
China,2022-08-11,"[5282.285714285715, 5689.285714285715, 6203.714285714285, 6409.571428571428, 7145.0, 7451.714285714285, 8089.428571428572, 8548.285714285714, 8603.857142857143, 8339.42857142857, 8900.285714285714, 8780.57142857143, 8869.857142857143, 8946.57142857143]","[3368.3791025747887, 3373.510704613842, 3373.4934795241343, 3370.187863908564, 3363.391620532215, 3354.074262042783, 3344.486150570265, 3335.70235188277, 3326.4166064694728, 3316.3813029495295, 3305.718445978953, 3294.919656250611, 3284.756287630397, 3275.061795368714]","[Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00')]"
