country,forecast_origin,true_values,predictions,forecast_dates
Germany,2022-07-26,"[86243.71428571429, 81601.14285714286, 78312.42857142857, 78312.42857142857, 78312.42857142857, 74720.28571428571, 68609.71428571429, 63738.42857142857, 59526.857142857145, 55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428]","[81309.69947991995, 82300.07523983119, 82768.28356426772, 82922.34315628251, 82928.99887654856, 82785.26567948562, 82524.00969555581, 82209.21946560392, 81854.53983799795, 81440.40310090802, 80966.45349233513, 80449.65447197488, 79920.58165306361, 79373.90714089778, 78789.31458866729, 78157.88925720594, 77480.62017937942, 76768.4001600853, 76042.02577625304, 75333.8657113446, 74634.47862007204, 73896.22503888191, 73090.41006432274, 72208.62192813933, 71262.7319972727, 70284.89477386014, 69327.54789523517, 68451.25543263722]","[Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00')]"
Germany,2022-07-27,"[81601.14285714286, 78312.42857142857, 78312.42857142857, 78312.42857142857, 74720.28571428571, 68609.71428571429, 63738.42857142857, 59526.857142857145, 55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572]","[82221.85570969315, 83345.92226328806, 83769.55045824013, 83882.9587822355, 83770.31822517376, 83489.53756641841, 83149.22532770406, 82744.16268879538, 82260.11780597802, 81721.9271228033, 81177.12592523349, 80605.93111436449, 79984.08361055372, 79307.88253423563, 78592.61413930135, 77872.87580921873, 77181.69838212297, 76465.38244836126, 75675.90952210898, 74798.90885249137, 73853.65742358349, 72893.07995441028, 72003.17370382807, 71171.3069376377, 70287.15781706582, 69319.79475620347, 68292.8966041233, 67284.7526448796]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
Germany,2022-07-29,"[78312.42857142857, 78312.42857142857, 74720.28571428571, 68609.71428571429, 63738.42857142857, 59526.857142857145, 55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572]","[85577.60931894206, 85585.01510693946, 85083.28907654546, 84331.83292703597, 83431.52622688517, 82379.24952699224, 81232.30353191575, 80050.1109610953, 78807.52574391795, 77495.7472870075, 76131.41029510455, 74755.23282720818, 73377.38934282317, 71963.1835355771, 70495.66371001535, 68978.69957372945, 67436.98223735714, 65915.9152890516, 64434.59646849991, 62938.48623987456, 61393.797416358415, 59797.64320715239, 58178.03721747539, 56593.893448564326, 55073.94689962319, 53545.99052563301, 52010.07228868919, 50479.03819606889]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00')]"
Germany,2022-07-30,"[78312.42857142857, 74720.28571428571, 68609.71428571429, 63738.42857142857, 59526.857142857145, 55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572, 33748.28571428572]","[86494.73866266444, 85410.87430234528, 83687.57486123218, 81461.4583231078, 78849.56197979371, 75957.90146309116, 72881.47074478107, 69700.38433462322, 66461.42326333196, 63198.979028741946, 59945.970176018775, 56733.86325476139, 53592.67281900209, 50550.69777360282, 47621.869016050674, 44805.38323350707, 42101.31864969382, 39510.86891808354, 37036.34312189961, 34681.165774116205, 32449.876817458262, 30347.48935559751, 28365.967830159843, 26497.372918731715, 24737.2175310532, 23081.27117215, 21525.559942333442, 20066.366537200476]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00')]"
Germany,2022-07-31,"[74720.28571428571, 68609.71428571429, 63738.42857142857, 59526.857142857145, 55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572, 33748.28571428572, 33748.28571428572]","[86940.10255895188, 85744.26384964085, 84020.62360533926, 81879.73905961451, 79415.77474268121, 76715.03532135944, 73855.96559907473, 70907.54975533385, 67911.95170862673, 64895.34781066941, 61883.04911521602, 58899.78846394173, 55969.72048644275, 53116.42160023628, 50359.63392925863, 47700.86401808807, 45138.5650869271, 42672.45898286937, 40303.34332265018, 38033.09149264643, 35864.65264887667, 33802.05171700102, 31849.420575792687, 29998.267890219748, 28242.601907217846, 26579.18933940395, 25004.84276754868, 23516.42064057631]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00')]"
Germany,2022-08-01,"[68609.71428571429, 63738.42857142857, 59526.857142857145, 55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572, 33748.28571428572, 33748.28571428572, 33303.142857142855]","[86545.73421303656, 84597.82668091661, 81874.86163684723, 78574.56999572027, 74876.6690867076, 70944.89214945243, 66905.81307741818, 62825.42189023465, 58760.73459089832, 54768.03405067128, 50902.870009081234, 47213.59802799486, 43706.688869998135, 40378.847172187336, 37230.5665067387, 34265.746379836666, 31491.692231673886, 28918.512145474717, 26538.088865426103, 24332.20469444447, 22287.82597081353, 20394.43957758525, 18644.052942579856, 17031.19403838585, 15552.911382359971, 14201.471842571764, 12961.684587011227, 11825.345719147786]","[Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00')]"
Germany,2022-08-03,"[59526.857142857145, 55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572, 33748.28571428572, 33748.28571428572, 33303.142857142855, 32459.285714285714, 31939.85714285714]","[88397.97444378296, 87163.80289842536, 85454.00006274327, 83368.24872074017, 80992.89860219823, 78408.0433773578, 75687.52065691749, 72894.70845688455, 70061.97752718421, 67211.249093566, 64364.67018740313, 61544.60810939029, 58773.65042954371, 56074.604987201135, 53462.898861027585, 50936.15051556004, 48492.8122839354, 46132.62869863912, 43856.62441029213, 41667.10418765072, 39567.65291760666, 37563.13560518711, 35656.54196220313, 33837.7717565557, 32103.02881125855, 30449.71891128683, 28875.32080858152, 27377.38622204945]","[Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00')]"
Germany,2022-08-04,"[55913.71428571428, 55913.71428571428, 55913.71428571428, 53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572, 33748.28571428572, 33748.28571428572, 33303.142857142855, 32459.285714285714, 31939.85714285714, 30539.14285714286]","[84715.50198153057, 80235.77560472596, 76148.20748203859, 72220.8373941096, 68435.53539088673, 64798.836964284936, 61271.424640500976, 57852.864315338025, 54547.78537117508, 51352.00410203411, 48274.23539632994, 45337.084820965756, 42551.46910154239, 39875.98310596672, 37293.009025369, 34819.452981400245, 32506.35695122075, 30365.06522617637, 28331.1085018901, 26375.22738956155, 24504.274474040314, 22761.214313825963, 21179.388958029296, 19695.46710054839, 18278.902166548047, 16927.544715703585, 15666.9404782327, 14525.366736125312]","[Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00')]"
Germany,2022-08-07,"[53449.57142857143, 50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572, 33748.28571428572, 33748.28571428572, 33303.142857142855, 32459.285714285714, 31939.85714285714, 30539.14285714286, 30051.571428571428, 30051.571428571428, 30051.571428571428]","[89325.88760028347, 87712.5315424906, 85642.48049243324, 83215.15212907293, 80516.82196718603, 77626.88504431256, 74617.85592075624, 71552.77943722175, 68466.5693565771, 65381.21476136826, 62318.49136488326, 59300.05724855016, 56347.45286193701, 53482.10102275184, 50721.264532211026, 48063.87923801472, 45507.22396255157, 43049.94095578981, 40691.86242220823, 38434.01052079621, 36278.59736505369, 34229.025022991176, 32289.025338186948, 30449.90473016017, 28705.273449215667, 27051.728063356022, 25485.941197346405, 24004.66153271457]","[Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00')]"
Germany,2022-08-08,"[50021.0, 47886.142857142855, 45778.0, 44397.0, 44397.0, 44397.0, 43859.71428571428, 41723.57142857143, 40959.71428571428, 40787.857142857145, 40342.857142857145, 40342.857142857145, 40342.857142857145, 38984.0, 38507.71428571428, 36443.28571428572, 35088.42857142857, 33748.28571428572, 33748.28571428572, 33748.28571428572, 33303.142857142855, 32459.285714285714, 31939.85714285714, 30539.14285714286, 30051.571428571428, 30051.571428571428, 30051.571428571428, 29496.85714285714]","[87135.86984749783, 83142.38243810929, 78747.44822994292, 74326.94913076625, 69932.66385337632, 65636.92638973329, 61553.831836450285, 57657.25542409105, 53927.0673074889, 50394.583061207915, 47105.607066813514, 44011.93631741882, 41078.97454737588, 38303.13161199598, 35711.26635872589, 33327.83835281255, 31100.654249624473, 28992.20060494044, 26991.05728001151, 25111.719175238046, 23393.46513560248, 21828.977774395218, 20359.75665245897, 18956.82335641348, 17618.023037905594, 16368.024413609259, 15247.889209953999, 14210.560081813792]","[Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00')]"
