country,forecast_origin,true_values,predictions,forecast_dates
United Kingdom,2022-07-24,"[20000.85714285714, 20030.14285714286, 13411.857142857143, 13406.142857142857, 13305.142857142857, 13305.285714285714, 13305.285714285714]","[16568.45905645439, 15931.204363149478, 15362.327581131107, 14828.149135397853, 14285.452793898836, 13738.336270301514, 13186.22818234917]","[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
United Kingdom,2022-07-27,"[13406.142857142857, 13305.142857142857, 13305.285714285714, 13305.285714285714, 13310.42857142857, 13328.142857142857, 9410.0]","[18543.51468639322, 17943.734359682414, 17201.120500990237, 16364.86212015438, 15476.721496623233, 14564.769363230744, 13645.587299872352]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00')]"
United Kingdom,2022-07-28,"[13305.142857142857, 13305.285714285714, 13305.285714285714, 13310.42857142857, 13328.142857142857, 9410.0, 9464.142857142857]","[17781.427680466597, 16151.892220979087, 14714.727367048683, 13426.061004446867, 12258.327519434768, 11198.20131574429, 10232.241838343652]","[Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00')]"
United Kingdom,2022-07-29,"[13305.285714285714, 13305.285714285714, 13310.42857142857, 13328.142857142857, 9410.0, 9464.142857142857, 9445.0]","[19526.01379322576, 18405.189253377353, 17273.736767552367, 16153.49306089255, 15063.7201893764, 14016.482712921374, 13014.143646289198]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00')]"
United Kingdom,2022-07-30,"[13305.285714285714, 13310.42857142857, 13328.142857142857, 9410.0, 9464.142857142857, 9445.0, 9445.0]","[19794.337277953968, 18384.632314510123, 17051.307632584503, 15796.021764392066, 14620.397594824364, 13523.874362468721, 12500.406352648046]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00')]"
United Kingdom,2022-07-31,"[13310.42857142857, 13328.142857142857, 9410.0, 9464.142857142857, 9445.0, 9445.0, 9445.0]","[19651.68974223825, 17695.448159643027, 16102.84772109586, 14763.257159562267, 13621.905676629081, 12623.011945742657, 11723.759800006874]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00')]"
United Kingdom,2022-08-02,"[9410.0, 9464.142857142857, 9445.0, 9445.0, 9445.0, 9439.857142857143, 9392.857142857143]","[17941.688862823463, 16157.832072744692, 15063.920326608302, 14192.19215570112, 13423.611580100118, 12699.558733835269, 12027.063262379093]","[Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00')]"
United Kingdom,2022-08-03,"[9464.142857142857, 9445.0, 9445.0, 9445.0, 9439.857142857143, 9392.857142857143, 7610.571428571428]","[17620.26190945112, 18012.519093662744, 17599.836244030517, 16884.023074090845, 16050.902874489548, 15209.132952606784, 14375.96950981529]","[Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00')]"
United Kingdom,2022-08-04,"[9445.0, 9445.0, 9445.0, 9439.857142857143, 9392.857142857143, 7610.571428571428, 7557.428571428572]","[19255.38821493469, 19586.867604246287, 18771.337506345382, 17794.64273634677, 16829.351701787746, 15907.513684375788, 15044.389966518218]","[Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00')]"
United Kingdom,2022-08-05,"[9445.0, 9445.0, 9439.857142857143, 9392.857142857143, 7610.571428571428, 7557.428571428572, 7546.714285714285]","[21487.796931213485, 17686.05585675214, 15082.535840925804, 13249.424914503183, 11877.853538486037, 10824.366210497052, 9969.831212881774]","[Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00')]"
