country,forecast_origin,true_values,predictions,forecast_dates
China,2022-08-20,"[6885.0, 10064.0, 8505.0, 9418.0, 10040.0, 8218.0, 8764.0]","[8910.337115991731, 8668.344119789563, 9304.80423259862, 8010.813792069563, 9437.010005972117, 9962.481780833865, 9877.857981822695]","[Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00')]"
China,2022-08-21,"[10064.0, 8505.0, 9418.0, 10040.0, 8218.0, 8764.0, 13474.0]","[7821.884275597107, 7588.654366742563, 8127.8936966692745, 6969.3898800590705, 8030.930433654021, 8494.095794551255, 8363.510050484743]","[Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00')]"
China,2022-08-22,"[8505.0, 9418.0, 10040.0, 8218.0, 8764.0, 13474.0, 10262.0]","[9400.932625737072, 9124.75366080363, 9771.774481204862, 8382.325962741623, 9715.062782265184, 10085.683595161485, 10213.615405371034]","[Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00')]"
China,2022-08-23,"[9418.0, 10040.0, 8218.0, 8764.0, 13474.0, 10262.0, 10547.0]","[8778.086230799332, 8492.295143625426, 9071.58018437381, 7760.317306355181, 8942.809317331199, 9248.772813237241, 9163.495439990107]","[Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00')]"
China,2022-08-24,"[10040.0, 8218.0, 8764.0, 13474.0, 10262.0, 10547.0, 11225.0]","[9167.356828473647, 9044.608053868349, 9653.662610032983, 8263.56114096416, 9528.107733586012, 9867.58768944415, 9788.082277466892]","[Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00')]"
China,2022-08-25,"[8218.0, 8764.0, 13474.0, 10262.0, 10547.0, 11225.0, 12615.0]","[9712.829417647985, 9395.060721897233, 10252.9270701124, 8789.991523715546, 10153.11427289669, 10526.21178369675, 10446.146347098338]","[Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00')]"
China,2022-08-26,"[8764.0, 13474.0, 10262.0, 10547.0, 11225.0, 12615.0, 12018.0]","[8802.292751481049, 8500.787338506387, 9093.78607074453, 7900.114368612364, 9069.600144928241, 9346.54132754811, 9222.481616132234]","[Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00')]"
China,2022-08-27,"[13474.0, 10262.0, 10547.0, 11225.0, 12615.0, 12018.0, 10810.0]","[8942.787649454176, 8635.835518391403, 9232.454300859321, 7894.435700158071, 9192.29206445611, 9457.0989117206, 9316.805320049993]","[Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00')]"
China,2022-08-28,"[10262.0, 10547.0, 11225.0, 12615.0, 12018.0, 10810.0, 13766.0]","[11798.429733432411, 11438.068026355128, 12308.731938323885, 10662.463849535778, 12214.375914061555, 13063.876085003507, 12922.270286766385]","[Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00')]"
China,2022-08-29,"[10547.0, 11225.0, 12615.0, 12018.0, 10810.0, 13766.0, 11608.0]","[10712.091812893597, 10368.376545607352, 11119.650377809981, 9538.628952420011, 10780.996305450588, 11206.37656355831, 11310.375485132596]","[Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00')]"
China,2022-08-30,"[11225.0, 12615.0, 12018.0, 10810.0, 13766.0, 11608.0, 11005.0]","[10927.015293332652, 10573.553891398633, 11338.151075203974, 9706.732518915227, 10965.615115062541, 11390.946958674642, 11230.226127654325]","[Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00')]"
China,2022-08-31,"[12615.0, 12018.0, 10810.0, 13766.0, 11608.0, 11005.0, 11750.0]","[11083.534460241932, 10989.993862823416, 11773.799817453546, 10081.465447421882, 11395.274553413836, 11845.570606384026, 11685.248667103691]","[Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00')]"
China,2022-09-01,"[12018.0, 10810.0, 13766.0, 11608.0, 11005.0, 11750.0, 12530.0]","[12042.46436808684, 11619.837472449091, 12815.456053285745, 11007.304991242156, 12497.140354238487, 13031.739154145129, 12897.912796884848]","[Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00')]"
China,2022-09-02,"[10810.0, 13766.0, 11608.0, 11005.0, 11750.0, 12530.0, 11426.0]","[12038.625789509366, 11602.537497532443, 12425.156489543477, 10956.438180483525, 12429.832193273623, 12957.560700452212, 12821.289746413524]","[Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00')]"
China,2022-09-03,"[13766.0, 11608.0, 11005.0, 11750.0, 12530.0, 11426.0, 11058.0]","[11416.194870426587, 10984.43445009218, 11735.605841856674, 10119.108880456997, 11667.869320233645, 12111.995158546682, 11950.263923879693]","[Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00')]"
China,2022-09-04,"[11608.0, 11005.0, 11750.0, 12530.0, 11426.0, 11058.0, 10309.0]","[13097.313035851908, 12627.34700226444, 13550.035505693351, 11748.294862003322, 13220.524319973016, 14262.056984309951, 14155.168715428781]","[Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00')]"
China,2022-09-05,"[11005.0, 11750.0, 12530.0, 11426.0, 11058.0, 10309.0, 9007.0]","[12174.968185957683, 11723.64988806539, 12542.50365708839, 10826.711607751253, 12116.947742739749, 12663.388826842373, 12853.608269952154]","[Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00')]"
China,2022-09-06,"[11750.0, 12530.0, 11426.0, 11058.0, 10309.0, 9007.0, 8201.0]","[11714.915042051345, 11278.345656860707, 12049.034969943024, 10387.903624669689, 11598.57411869684, 12110.346377908605, 11990.30037869107]","[Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00')]"
China,2022-09-07,"[12530.0, 11426.0, 11058.0, 10309.0, 9007.0, 8201.0, 8523.0]","[11696.14506107734, 11541.0541925088, 12327.362498796676, 10624.824530216118, 11868.296717570734, 12397.206547477796, 12271.178901788931]","[Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00')]"
China,2022-09-08,"[11426.0, 11058.0, 10309.0, 9007.0, 8201.0, 8523.0, 9226.0]","[12193.835238144859, 11727.355361226704, 12859.176903928874, 11088.753034382815, 12392.169866926755, 12946.840588783822, 12815.527531041955]","[Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00')]"
China,2022-09-09,"[11058.0, 10309.0, 9007.0, 8201.0, 8523.0, 9226.0, 9941.0]","[11724.057618545126, 11277.73013367416, 12057.427852091556, 10652.841662838831, 11891.858187109692, 12405.978795791514, 12257.933853131794]","[Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00')]"
China,2022-09-10,"[10309.0, 9007.0, 8201.0, 8523.0, 9226.0, 9941.0, 8935.0]","[11459.535009201882, 11020.222489349797, 11776.386554811326, 10194.724139394204, 11589.846881494917, 12073.660137056215, 11913.849462602691]","[Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00')]"
China,2022-09-11,"[9007.0, 8201.0, 8523.0, 9226.0, 9941.0, 8935.0, 8475.0]","[10903.722118050462, 10484.80928282566, 11194.794156560534, 9680.665328809106, 10770.67270531793, 11441.419708545933, 11278.572910078748]","[Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00')]"
