country,forecast_origin,true_values,predictions,forecast_dates
US,2022-08-20,"[9875.0, 128949.0, 99286.0, 151689.0, 139661.0, 120720.0, 11873.0, 8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0]","[42692.65948211199, 44857.42864407593, 41086.79015715404, 77088.77848466467, 87290.64285931634, 41213.13326774648, 47631.30107691988, 41045.0076281962, 43177.54612802255, 39613.140175264045, 74447.51263392079, 84341.42461843957, 39846.53996601831, 46079.24599827414, 39762.771086280765, 41832.67873012368, 38372.50115448182, 72167.07892996976, 81893.40198427219, 38689.63012929415, 44802.894119254095, 38753.82377972507, 40825.91191926418, 37530.36581377848, 70595.38692664885, 80144.95124719909, 37928.2061047276, 43938.80974213809]","[Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00')]"
US,2022-08-21,"[128949.0, 99286.0, 151689.0, 139661.0, 120720.0, 11873.0, 8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0]","[26589.16119124386, 27937.388190627917, 25589.019273374553, 48011.203378502694, 54699.42873048253, 25667.70627422427, 29664.96717342093, 25562.996945159015, 26891.150557659403, 24671.22409773401, 46366.212311975614, 52851.343441003395, 24816.58643246905, 28698.34098605279, 24764.414834982024, 26053.561696778892, 23898.549092150275, 44945.94896750758, 51317.325186331385, 24096.05830174243, 27903.423867754493, 24136.038367155717, 25426.543250501167, 23374.063792090994, 43967.092823940366, 50221.68362214416, 23621.840336179328, 27365.26861894411]","[Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00')]"
US,2022-08-22,"[99286.0, 151689.0, 139661.0, 120720.0, 11873.0, 8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0]","[76239.39242859177, 80105.17843626442, 73371.67457873975, 137663.0480749425, 156840.26971021408, 73553.48509729569, 85058.68453121858, 73297.06047269629, 77105.28983881162, 70740.07044269916, 132946.3472147519, 151541.23456530302, 71114.51256396022, 82287.06670166546, 71007.27726192371, 74703.66214551246, 68524.57095601875, 128874.0106076648, 147142.72726116597, 69049.7641770425, 80007.79216215473, 69205.5265493334, 72905.80530294777, 67020.70852400585, 126067.32569106296, 144001.1822318834, 67690.84321658476, 78464.73373671359]","[Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00')]"
US,2022-08-23,"[151689.0, 139661.0, 120720.0, 11873.0, 8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0, 69262.0]","[73706.77809261394, 77444.14564427617, 70934.32363753358, 133089.98685313962, 151630.1558455376, 71110.09454964644, 82253.26834372466, 70862.1881550548, 74543.91105279358, 68390.13937918674, 128529.97118988613, 146507.15059734197, 68752.14281941834, 79573.06436059333, 68648.46979214043, 72222.0635955637, 66248.23709183573, 124592.9144918263, 142254.75834345006, 66755.98379553616, 77368.96513944223, 66906.57186089068, 70483.93018295392, 64794.33182020053, 121879.46550260959, 139217.57303851514, 65442.205150570255, 75876.80006026948]","[Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-20 00:00:00')]"
US,2022-08-24,"[139661.0, 120720.0, 11873.0, 8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0, 69262.0, 98364.0]","[105510.95037544885, 111090.63019116991, 101752.5424229458, 190912.43616479292, 217507.59116433043, 102004.67899483838, 117989.13061239419, 101438.93155293056, 106930.35589555124, 98103.00855268491, 184371.2701476832, 210158.8383727527, 98622.28847981356, 114144.48171027347, 98270.00280066316, 103599.75556307154, 95030.53260333835, 178723.71466047046, 204058.94623274799, 95758.87560231284, 110982.78666612858, 95776.48306015495, 101106.47044052568, 92944.9617506866, 174831.3770835505, 199702.22143805047, 93874.31097335627, 108842.33360004445]","[Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-20 00:00:00'), Timestamp('2022-09-21 00:00:00')]"
US,2022-08-25,"[120720.0, 11873.0, 8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0, 69262.0, 98364.0, 81070.0]","[110033.84845175593, 115642.44007603789, 106114.33024446071, 199096.20749089934, 226831.40695936137, 106377.27505959172, 123046.92613004424, 105787.2759356777, 111311.70336041159, 102308.35318358798, 192274.64377961366, 219167.63795623396, 102849.89288730966, 119037.47011490255, 102482.50591094916, 107844.63553747084, 99104.17056766937, 186384.99666344622, 212806.26404274948, 99863.73517101034, 115740.2438829317, 99882.09740110044, 105249.19094524632, 96929.19833664036, 182325.80772108652, 208262.78117106733, 97898.38562158198, 113508.0368233467]","[Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-20 00:00:00'), Timestamp('2022-09-21 00:00:00'), Timestamp('2022-09-22 00:00:00')]"
US,2022-08-26,"[11873.0, 8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0, 69262.0, 98364.0, 81070.0, 83284.0]","[104982.80878498865, 110333.94128039748, 101247.98308109476, 189956.81215310583, 216418.84345875174, 101494.08826271987, 117398.52871868643, 100931.17270463746, 106202.00450901329, 97616.54611891886, 183448.38834722104, 209106.875303967, 98128.62851269916, 113573.12444452805, 97778.10622131296, 102894.0904132888, 94559.3056261608, 177829.1020484349, 203037.51655149215, 95279.54862552679, 110427.2554605525, 95297.06794814924, 100417.78819200453, 92484.07647339921, 173956.24780808965, 198702.5996123213, 93404.4173014255, 108297.51656472844]","[Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-20 00:00:00'), Timestamp('2022-09-21 00:00:00'), Timestamp('2022-09-22 00:00:00'), Timestamp('2022-09-23 00:00:00')]"
US,2022-08-27,"[8523.0, 106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0, 69262.0, 98364.0, 81070.0, 83284.0, 9758.0]","[49310.15394283913, 51823.56704514574, 47555.91596292511, 89760.51770172057, 101651.37140632665, 47671.51093063948, 55141.78550544747, 47407.110947946, 49882.807023223315, 45850.239407772635, 86685.08448289213, 98216.95886287862, 46090.76318457918, 53345.0030051938, 45926.12377029136, 48329.08832225076, 44414.26145021072, 84029.79646465201, 95366.1967439892, 44752.557725439234, 51867.39647438036, 44760.78650599373, 47165.9755692799, 43439.53168089278, 82199.75205794496, 93330.09746188943, 43871.81338906085, 50867.063619634406]","[Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-20 00:00:00'), Timestamp('2022-09-21 00:00:00'), Timestamp('2022-09-22 00:00:00'), Timestamp('2022-09-23 00:00:00'), Timestamp('2022-09-24 00:00:00')]"
US,2022-08-28,"[106117.0, 75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0, 69262.0, 98364.0, 81070.0, 83284.0, 9758.0, 6745.0]","[30195.67020612665, 31734.789171704913, 29121.441324871284, 54965.94054835538, 62638.216722621844, 29192.227303893724, 33766.74044923085, 29030.3187710351, 30546.34125813447, 28076.949620436324, 53082.66175501881, 60521.91003403348, 28224.237269337224, 32666.45891547833, 28123.418329235603, 29594.90278681995, 27197.61111988995, 51456.663965719636, 58765.25242128118, 27404.770942805993, 31761.62865373179, 27409.809936278012, 28882.656600325357, 26600.72353587354, 50336.01410055089, 57510.59519101971, 26865.43647737268, 31149.062710147908]","[Timestamp('2022-08-29 00:00:00'), Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-20 00:00:00'), Timestamp('2022-09-21 00:00:00'), Timestamp('2022-09-22 00:00:00'), Timestamp('2022-09-23 00:00:00'), Timestamp('2022-09-24 00:00:00'), Timestamp('2022-09-25 00:00:00')]"
US,2022-08-29,"[75514.0, 154220.0, 130817.0, 64639.0, 11488.0, 7482.0, 33675.0, 112447.0, 123971.0, 107224.0, 100760.0, 10160.0, 9044.0, 69388.0, 79673.0, 103201.0, 83637.0, 56236.0, 8571.0, 5491.0, 55691.0, 69262.0, 98364.0, 81070.0, 83284.0, 9758.0, 6745.0, 45552.0]","[66702.74969143135, 70102.68969625601, 64329.759799551284, 121420.6986936539, 138368.88741482337, 64539.002077961515, 74591.30467068027, 64128.46852638903, 67477.38801694078, 62022.45983766584, 117260.50376856752, 133693.92990086263, 62398.94232159771, 72160.76402577989, 62125.11000672529, 65375.644231634295, 60079.98611558622, 113668.64696267231, 129813.4433199359, 60587.2429812132, 70161.9785691065, 60548.73691454941, 63802.280276732396, 58761.45127801566, 111193.11232681843, 127041.88413256292, 59394.86708529538, 68808.8099682625]","[Timestamp('2022-08-30 00:00:00'), Timestamp('2022-08-31 00:00:00'), Timestamp('2022-09-01 00:00:00'), Timestamp('2022-09-02 00:00:00'), Timestamp('2022-09-03 00:00:00'), Timestamp('2022-09-04 00:00:00'), Timestamp('2022-09-05 00:00:00'), Timestamp('2022-09-06 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-08 00:00:00'), Timestamp('2022-09-09 00:00:00'), Timestamp('2022-09-10 00:00:00'), Timestamp('2022-09-11 00:00:00'), Timestamp('2022-09-12 00:00:00'), Timestamp('2022-09-13 00:00:00'), Timestamp('2022-09-14 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-16 00:00:00'), Timestamp('2022-09-17 00:00:00'), Timestamp('2022-09-18 00:00:00'), Timestamp('2022-09-19 00:00:00'), Timestamp('2022-09-20 00:00:00'), Timestamp('2022-09-21 00:00:00'), Timestamp('2022-09-22 00:00:00'), Timestamp('2022-09-23 00:00:00'), Timestamp('2022-09-24 00:00:00'), Timestamp('2022-09-25 00:00:00'), Timestamp('2022-09-26 00:00:00')]"
