model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
arima,Australia,NA,14,new_cases,7412.141356963732,13035.050232423386,105.2656956261746,7412.141356963732,5437.5355503063,3691.320118109854,10373.188941414921,5106.913572835793,1670.7375620128762,29332.225248988467,11270.086910227352,8498.897090743836,6507.168730269287,15898.763278372859,6549.631714663276,2725.0248417343482,29447.91672095209,105.2656956261746,99.80583841909987,74.21170170534762,135.70775458996283,42.11545300065984,25.2569701211568,181.75399243937406,death_all
arima,Australia,NA,14,new_cases,7385.278019920896,13038.03457138853,104.95228667706225,7385.278019920899,5413.456994946532,3683.1219822206062,10299.785594174897,5095.303559770307,1668.3473210979405,29319.627528831817,11261.051864871475,8517.123813771077,6493.438966866268,15894.698147332429,6571.077261864845,2698.026415447732,29437.443660728248,104.95228667706225,99.65962185544953,73.88616426022793,135.72833049149708,42.280742517730225,24.869627936571483,181.74642796070972,death_mobility
arima,Australia,NA,14,new_cases,7382.028727482196,13069.251069458835,101.51934100045284,7382.028727482195,5461.252193230827,3627.6097425177386,10233.816130930027,5103.824013093367,1823.016097926697,29565.264611351788,11322.949292938867,8734.283588782077,6451.2423765092935,16188.087149243907,6526.572057832965,2376.7426841951465,29674.232040081635,101.51934100045284,98.07880293284441,67.49255913300055,134.21138796185235,43.548147748454426,18.333500780162293,182.15825861337768,death_recovered
arima,Australia,NA,14,new_cases,7409.338721584507,13069.051785209038,101.73795364558913,7409.338721584506,5398.891483565619,3644.843473738377,10290.523097101866,5113.48580019636,1827.4713420089206,29589.857334023418,11334.276491983335,8736.292854620748,6450.897823498451,16224.741662947492,6506.480689877551,2377.976854453978,29697.55149126362,101.73795364558913,98.53902150455366,68.29586368010935,134.3213067896085,43.34408571879097,18.323291925339642,182.1744453988736,death_stringency
arima,Australia,NA,14,new_cases,9163.54991830516,15269.560405237267,114.58661478760376,9163.549918305158,7129.148757523508,5126.102938409118,11904.909210681883,5745.393636369717,2808.519265450152,31868.1828722271,13222.675756506474,9845.059545380063,7286.303504387619,18512.4385621604,7636.774240966248,3466.7170355297053,32459.26612181182,114.58661478760378,114.0063714486165,85.27772574996018,143.27438575518445,40.07041073561647,26.57448832902884,191.29929854587843,no_exog
arima,Australia,NA,28,new_cases,7729.0818229114975,13564.766530702473,112.87753316577405,7729.081822911498,5640.925749398049,4153.892109745859,10056.969404891533,5026.354629932845,1440.5220836188694,28069.303784587344,12059.382322148453,10934.617184626888,6935.036352029979,17683.768161855856,6210.812268996657,3082.3522194493585,28732.801787936514,112.87753316577405,106.3665257273808,80.04300922283431,147.85944895797613,40.571770946656024,44.311655467197106,188.38078153723797,death_all
arima,Australia,NA,28,new_cases,7682.074627643078,13572.278807135759,112.26293199924191,7682.074627643078,5622.320238504037,4098.749860830867,10031.549736205538,5014.497876342413,1437.0335713166878,28056.86549447481,12051.48662600689,10932.373299064548,6933.561663622387,17690.640621139486,6242.46923274785,3077.6957196493704,28720.552370831425,112.26293199924189,105.07772245829136,79.12590051068176,147.8489241520508,40.88902850435954,44.85123487226674,188.4514646128684,death_mobility
arima,Australia,NA,28,new_cases,7709.759013303663,13610.489747854712,108.15553290829656,7709.759013303663,5729.993112995402,4108.538134135658,10130.727415059117,4999.617209880898,1501.785718419172,28280.2252845107,12139.27696312303,10859.370687909719,6873.766863800741,17757.55924144537,6154.948089874423,3305.3770851073605,28943.981171339048,108.15553290829658,99.55882753195765,70.10992259864537,143.73978320068608,41.85707639110626,44.60702493642687,188.68271866444857,death_recovered
arima,Australia,NA,28,new_cases,7754.8585716245,13607.965470828669,108.53412787795395,7754.8585716245,5742.399103295811,4161.991261680763,10161.477968485135,5010.607862029255,1505.4798123993444,28307.347688144637,12152.4847615316,10868.892500116526,6885.507683736962,17701.282334794596,6123.221241798111,3314.1415462524155,28969.071466779806,108.53412787795396,100.14392619900377,72.14657728600108,143.84520301178253,41.56528900351383,45.04860467683158,188.6618021787858,death_stringency
arima,Australia,NA,28,new_cases,9523.898721502947,15636.515958759072,120.1086505654884,9523.898721502947,7946.663628050404,5901.499114862189,12128.669250823583,5322.955797610665,2925.023961445176,30266.951110399572,13907.341370750928,10561.146664664182,8555.495073383961,19988.81172834478,7147.481187518214,5499.782446622278,31272.4318085013,120.10865056548839,115.7477511858554,91.54629881515862,147.89608695580614,36.28171727608727,52.076606627078135,183.4397413284213,no_exog
arima,Australia,NA,7,new_cases,7293.391107726784,12717.128394603538,102.72034618444879,7293.391107726786,5083.906460037031,3693.767174088099,9842.239228312468,5237.885246911588,1416.7932334231853,29940.599787915045,10698.180626413092,8385.981063255753,5050.534524641184,16626.098787029998,6875.6298540185535,1713.6044642721943,30133.409039393326,102.72034618444877,98.20956699683998,74.5944109925816,133.04568733097605,43.49327055580537,19.276279184026798,187.18037471080714,death_all
arima,Australia,NA,7,new_cases,7279.9047480916915,12719.97396505091,102.58315304136974,7279.904748091693,5124.1325906057245,3642.570811658377,9835.499858846415,5230.776586957309,1395.7441164269464,29928.05844011383,10694.35335109896,8388.241436487016,5051.569004143669,16667.74838273934,6886.838467207676,1682.2362130192528,30125.409137363553,102.58315304136971,97.49616703809185,75.021456770709,133.16852230082065,43.57951193161221,18.760580332438877,187.17363098934092,death_mobility
arima,Australia,NA,7,new_cases,7247.440782820236,12749.456447308257,99.39463647086416,7247.440782820236,5179.381711326491,3313.8582152344516,9864.46981104869,5287.43307009208,995.8206091868666,30282.154169224097,10714.952958023918,8647.54473349073,4985.502090948048,16582.594064900833,6909.299733630357,1322.7270247918875,30441.74134884661,99.39463647086413,95.82328546380202,65.09509868544467,132.02695732571192,45.937715096742174,9.620208888301091,187.52912096198338,death_recovered
arima,Australia,NA,7,new_cases,7260.210526386619,12748.752610010295,99.4005598990477,7260.210526386619,5123.9297891826745,3357.8642951366082,9865.95957128361,5295.58596208503,995.8790208950123,30308.518303199828,10719.25528485718,8648.226781693262,5162.436700049235,16530.88821939007,6901.323007170849,1322.14522646765,30464.248581843523,99.40055989904769,95.59088884842126,66.09274466288326,132.01941049844277,45.8504869287979,9.624073511536203,187.54362462554147,death_stringency
arima,Australia,NA,7,new_cases,8918.615474308875,15008.551611372366,110.74284063156806,8918.615474308874,6657.824432544023,4647.109203732355,12101.55962530844,6005.100731812425,2212.7811903132565,32612.713882756496,12718.422900457337,9544.707108043745,6734.330769893248,18501.05472308833,7968.584591779804,2730.9112530277334,33390.12277957375,110.74284063156806,108.70864576160362,85.3677516698048,140.6644495489058,43.495763437984344,18.533743339202992,194.5120707783546,no_exog
arima,Brazil,NA,14,new_cases,11549.69913699422,18072.66576196648,118.6840346448552,11549.699136994219,6430.641583931074,5191.062312266755,18188.041119459092,8903.56577117411,2682.7028893527417,37316.515836181716,14397.54670298706,8108.985208821023,6536.256170234922,22864.717599162177,10923.913981676253,2813.918174637532,45721.9868658077,118.68403464485522,122.11044162238657,99.80708155910558,134.63349827808474,24.26473726011394,61.23610729831211,175.9033338193934,death_all
arima,Brazil,NA,14,new_cases,11517.391312147342,18075.30546931861,118.23408844933667,11517.391312147342,6260.320968960486,4903.986301393767,18753.85537345012,9112.903356054883,2853.9188057161523,37278.60386701727,14306.432746587247,7827.814399273815,6154.689593221232,22558.670086904076,11047.291517677775,3001.782919057929,45666.70260907559,118.23408844933667,119.77651845010419,98.58018802739807,134.27841411076508,24.094839453407957,61.30931487769457,175.32130148873412,death_mobility
arima,Brazil,NA,14,new_cases,11642.91758422796,17914.785502095343,118.24272076817064,11642.91758422796,7379.719815955801,5348.840670135298,18585.292037447456,8850.26622491412,2501.7582096482483,36839.738258284764,14253.400682600373,8736.206735829252,6441.692069659295,22552.112451549016,10852.65444798335,2988.1070882537915,44422.18917774531,118.24272076817063,120.63561112793444,99.49035603080843,133.8939508162737,23.972773800697208,60.824437747956615,175.06156850457663,death_recovered
arima,Brazil,NA,14,new_cases,11757.295792131436,18094.5350826736,118.34706093636183,11757.295792131436,7620.968181846776,5375.8227525720995,18623.847599677487,8956.666052867817,2530.6139190226017,37011.15738304336,14388.030028506113,8916.994548895116,6459.540430696715,23027.02029359838,10972.547186360704,2982.0311904907994,45287.91497113217,118.34706093636181,120.87323116657222,99.91041571432714,134.5076150055982,23.912495544559718,61.087877287421065,175.0880506620076,death_stringency
arima,Brazil,NA,14,new_cases,14113.439590669841,20793.536788124708,125.82883259282234,14113.439590669843,10744.467325265901,7067.7293402087735,20572.628577293784,9292.30489830446,3787.0651779718637,42476.599401772844,17280.433567276585,12935.764756128636,8276.857388583856,26276.404435156328,11565.370200993839,4496.331256166027,50939.81074760462,125.82883259282234,131.05259688467362,105.17604718516715,144.76931934335124,25.72412212057932,64.24840145772892,187.28151905366758,no_exog
arima,Brazil,NA,28,new_cases,12396.356838137202,19362.709395465456,123.53761332340005,12396.356838137202,7280.3330095635,5639.266549133281,19768.825692738814,8623.420003585003,3159.580557981203,31642.678884197732,15934.65229249887,9712.005982250657,6883.900922409466,26459.42284240085,11000.062338478208,4230.723007856533,40102.936343683024,123.53761332340005,122.06826726708337,104.33307739225155,137.38343570483332,22.833901647868533,78.2543497156308,177.72093036593319,death_all
arima,Brazil,NA,28,new_cases,12362.055045824009,19389.941288089984,123.05368816223341,12362.05504582401,7015.398059944346,5440.884949785915,20049.763020931256,8822.061213677476,3013.8056874492563,31624.965909535465,15859.378725626166,9601.470413566958,6694.388883374557,26279.318345630956,11155.712867976334,4289.6882977624,40069.282884833796,123.0536881622334,121.052920722001,104.5840040887105,137.45867216792703,22.33592685894581,77.68429824180345,175.55950613528333,death_mobility
arima,Brazil,NA,28,new_cases,12499.771681196036,19275.963762354633,121.56994706816684,12499.771681196038,7941.277093562531,5908.720813137531,19969.949497695987,8583.7281668578,2938.9031826903883,31507.414756926457,15778.459553117178,9835.881752580495,6806.372906287312,26182.410258761734,11072.623586948768,3780.779247582317,39928.78961322336,121.56994706816684,122.00105438823508,104.35802016746918,132.7374292496474,21.109368671265962,77.19155111014823,174.98205029598236,death_recovered
arima,Brazil,NA,28,new_cases,12594.890846421216,19388.99831466038,121.63844152946734,12594.890846421215,8324.850379278867,5919.127168140344,19978.871520504286,8630.595796470756,2959.177092343158,31523.15455358692,15890.35010948077,10067.929097333734,6818.142939044165,26230.81004146741,11109.906797270058,3796.476969354027,39952.975133595624,121.63844152946736,122.16279299311714,104.46823297776623,132.7120918583426,21.082848931296372,77.09531725939833,175.13659569422296,death_stringency
arima,Brazil,NA,28,new_cases,14989.710088582462,22194.77711144349,127.88952011899266,14989.710088582464,11122.925712800852,7170.125477185998,22359.63142586484,9120.957561199062,5046.945528834053,35734.04711710993,18772.550143275952,13517.342601789745,8697.386227510058,29126.38344482267,11840.586646988655,6202.180711312681,44793.77345010686,127.88952011899265,128.9340330840579,108.36464908109545,144.36658350102863,23.435404858343464,80.4938119725251,189.64575213595407,no_exog
arima,Brazil,NA,7,new_cases,11066.187211896127,17502.117470875957,116.06912498876352,11066.18721189613,6852.999388445056,5000.190996081292,16683.36075502946,9014.553312858667,2310.8666967660874,44558.61915058547,13594.693945334508,8663.587629839454,6126.058992631775,20035.553933377363,11023.0854345336,2568.221160925052,55200.35854502675,116.0691249887635,113.08317092676964,96.40542962592197,139.61316483677447,29.41783019606356,44.423360740738104,178.59412926624043,death_all
arima,Brazil,NA,7,new_cases,10973.821709240245,17484.274793220717,115.43847143610104,10973.821709240243,6277.004578681352,4884.583966552087,16512.68450794413,9234.397543805277,2486.1423767718684,44500.0592207212,13473.830357059378,7891.162632080223,6053.492510382856,20382.986626553284,11142.520386072378,2913.5323868115884,55139.72763335379,115.43847143610104,114.46203305204978,94.63636559650203,139.6255696522556,29.829453779422778,44.29407708389556,180.04872479592336,death_mobility
arima,Brazil,NA,7,new_cases,11065.773101333778,17229.07242905376,116.06248460538124,11065.773101333778,7264.541491877373,4889.366111729935,16084.62098194274,8932.100338260121,2541.52811489157,42912.447328501126,13400.446656109545,8896.249248961201,5941.785263519514,20027.91487400174,10829.079655369742,2872.673782773198,53110.503873239715,116.06248460538123,114.44151928661259,95.53152813448375,139.55481223989582,29.984965457870583,42.8253422176384,180.0355994745962,death_recovered
arima,Brazil,NA,7,new_cases,11227.007941061793,17522.612858153894,116.37525359987164,11227.007941061791,7462.764665290047,4926.728888103269,16240.592757523269,9091.81877570761,2495.807796923542,44264.425422031214,13592.27871506597,9088.811231360041,5935.959284433453,20117.065222952628,11058.56775123726,2884.481110802181,54607.95470210931,116.37525359987164,114.23140667278483,95.82037119260202,140.48169725230267,29.83607268987077,43.61909368799189,179.99506130367476,death_stringency
arima,Brazil,NA,7,new_cases,13571.483997457424,20202.935599555247,124.76559593465639,13571.483997457422,10428.172494663064,7439.686371229088,17252.553053044652,9528.779044776904,3054.670059228261,49844.01957256451,16515.84052378933,12602.891554102052,8889.2234476815,22496.017418617335,11635.532589122638,3812.194728250966,61477.14988249736,124.76559593465639,126.88124165938527,100.81577870843924,150.00599716962003,31.608279484879066,46.867203051032185,188.88771659344263,no_exog
