model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
cnn_lstm,Australia,14,7,new_cases,31415.738218711514,33885.89718500439,151.61845721871063,31415.73821871151,30943.693080357145,24206.716203962053,39249.660435267855,8921.347218155284,14369.7802734375,47519.16016,32698.615464828887,31687.27794647767,25529.983496637025,40210.15501455733,8891.263954913344,15168.475666442357,48204.53634976071,151.61845721871063,152.78811364937707,141.82133338381044,163.9641748951575,18.92842524467887,108.10362696565889,186.38623675748275,death_all
cnn_lstm,Australia,14,7,new_cases,14631.106119891889,18238.618343691905,128.92315623816,14631.10611989189,13963.369349888391,9211.300013950893,18932.570591517855,6198.359452394178,4705.662370954241,36485.755580357145,16750.175900646835,16265.914587340181,10218.115567755034,21839.378184694375,7216.564721821926,5817.068448492655,37167.315331784266,128.92315623815998,130.89084068782648,110.22733561751988,154.72316978989403,31.623710235831727,54.56434266914675,182.09570656850676,death_mobility
cnn_lstm,Australia,14,7,new_cases,16594.434104080075,18810.535970028777,138.637869956908,16594.434104080072,16093.584751674109,12273.921665736607,19940.550711495536,5611.621743850882,7241.947614397322,31880.42159598214,17719.4029131415,17352.444887700593,12495.860121614074,21115.474178954806,6313.400342248147,7497.885044178838,32846.410516676195,138.637869956908,143.58412964175182,122.37533914319233,154.75138297485285,22.59461709130932,87.55872701159923,178.51314782641992,death_recovered
cnn_lstm,Australia,14,7,new_cases,13320.000818612736,16304.890415960244,132.0569070912135,13320.000818612736,12639.913713727678,10723.574462890625,15153.22963169643,3684.7154099054997,7688.444754464285,22879.37862723214,15193.827863148526,12983.353539956479,11015.748459378545,18606.175644633797,5915.83014812661,8197.355513056273,28774.220752852172,132.0569070912135,136.30433338225401,115.34158096432962,154.19190919409712,28.692834733844585,59.40521562233734,181.42459296967056,death_stringency
cnn_lstm,Australia,14,7,new_cases,15403.788056672696,17875.241524939844,136.31861076111153,15403.788056672698,13646.146484375,10850.624965122768,18978.112932477678,6180.796317819381,6299.392926897322,31766.54659598214,16478.67494307887,13984.619733377338,11240.411195059722,20884.9031199303,6926.581530255625,6437.144800097352,32524.27710131325,136.3186107611115,142.60272221899362,122.35516104391448,154.1046408690891,26.774022951081125,69.26555776820624,182.25204975210843,no_exog
cnn_lstm,Australia,21,7,new_cases,20558.35476158405,23074.45148058255,138.82978267693554,20558.35476158405,22199.061244419645,14182.304931640625,26962.743024553572,7785.592296267755,6254.144252232143,35081.353236607145,21660.751343516975,23169.9216842174,14872.767225392608,28366.511515792678,7952.494097079595,6831.850176189697,36154.65131193923,138.8297826769355,146.80639430668685,130.06188972968278,158.71013892997613,32.11914353438821,42.918877148401535,183.06426552098426,death_all
cnn_lstm,Australia,21,7,new_cases,10921.980623611676,15679.082240723876,118.14648953211093,10921.980623611675,9300.363656180245,6211.600337437221,14805.665579659599,5940.971510888383,1929.722726004464,26643.54073660714,13715.45489593097,11171.422792739886,8869.589553759859,19022.82614369241,7597.362496884434,2376.319984771079,31273.167828366666,118.14648953211092,120.1528616595791,105.56258871394242,143.3056536610582,38.01447363521218,17.074306964759593,189.73336068885678,death_mobility
cnn_lstm,Australia,21,7,new_cases,14858.36186411189,17735.608905078923,133.68122760827654,14858.36186411189,13571.920968191964,10724.509521484375,18159.764927455355,5616.3881064859215,6209.147879464285,30450.567243303572,16477.591056570804,14542.347367879,11548.98093791011,20189.546726451896,6560.549992670796,6481.396823215656,31609.09442104816,133.68122760827657,141.48102419281858,118.39872429647768,153.9006697371619,28.745090001279017,59.290947161121764,178.83404658176022,death_recovered
cnn_lstm,Australia,21,7,new_cases,12357.697280357625,15997.731673762592,129.66697871772544,12357.697280357625,11563.639578683036,9274.599016462054,15091.409005301339,3917.8496594927674,5351.819248744419,22268.778180803572,14709.558310800954,12223.691614764175,10173.172400933274,18157.22014828262,6289.380971673879,5986.403124434816,28636.322168261864,129.6669787177254,135.26360630146002,113.09260251907047,151.4583035359347,30.587878762285456,55.239372615635865,192.72041886520043,death_stringency
cnn_lstm,Australia,21,7,new_cases,13907.696068774694,16840.761552709482,133.6576677482104,13907.696068774694,11841.250418526786,9198.463065011161,16814.76681082589,5860.233653142237,6346.15949358259,29285.58175223214,15311.925164877217,12344.558450731303,9892.934023753776,19890.92844204157,7011.148081478357,6722.383015259049,31193.898139608667,133.6576677482104,142.57956803119583,121.43619567392108,153.5659387321478,30.081322724489333,52.35390091747429,188.03323916586479,no_exog
