model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars,curve_func
curvefit_lstm,Australia,14,7,new_cases,35393.443970984394,36554.3687611275,156.3102175152469,35393.443970984394,35438.6473181773,34107.894470411884,37118.56339983135,2647.5129547135184,27860.64698557511,40242.19376284004,36468.68627271878,36791.62456783801,35355.531753693154,38103.28852125566,2501.3590439012587,28301.960639684585,40340.21130301415,156.3102175152469,157.72038487870913,148.67198809859246,167.4247543560921,16.674134931119536,105.47145552680446,184.60435960166924,death_all,gompertz
curvefit_lstm,Australia,14,7,new_cases,36253.134346407955,37169.76361032514,157.16480848929223,36253.13434640795,36296.48330798695,34904.89160974824,37894.67473167557,2171.9492289328173,29887.180556173338,40137.09424591941,37113.34102734416,37519.8434850478,36305.502482051095,38393.37653404059,2047.2529485884306,29988.967359674374,40173.49845530256,157.16480848929223,157.7973867781741,149.4962538456831,168.43177265369874,16.055385335433066,110.67211984555108,185.24602003961695,death_all,logistic
curvefit_lstm,Australia,14,7,new_cases,31198.003531916413,32806.40501233732,153.03587451135246,31198.00353191642,31144.830043087662,29767.615670180294,32610.119747227283,2869.5216320486525,23456.17923393587,38664.194111612356,32701.67018766878,32901.68895477434,31423.069843198162,34070.16187351759,2619.3466304494254,24416.648087242556,39237.47313791574,153.03587451135246,155.8958256066923,145.9306951144636,164.44331166857253,18.332058432790774,93.74327964791279,185.77179811521515,death_mobility,gompertz
curvefit_lstm,Australia,14,7,new_cases,35060.323046933925,36168.92705077435,156.11695174237997,35060.323046933925,35254.70815823108,33826.23282406536,36770.10335977964,2701.8224822229513,26738.388485512056,40747.32767923414,36074.90355571632,36671.58370156094,35159.50167976612,37746.11535037246,2606.265038326445,27171.732302735054,40879.139423560475,156.11695174237997,157.72273272031984,149.11641832919588,166.93755834055702,16.676424073980318,104.5642895529679,185.92371196050834,death_mobility,logistic
curvefit_lstm,Australia,14,7,new_cases,22561.63885981532,23918.421909790104,145.9013288541543,22561.638859815324,21812.022794648074,20070.894633264666,24369.417131536324,3501.616264897468,15829.181695317715,31802.497264514146,23641.611548033263,23081.937443198436,20930.932645694826,25289.403207193754,3628.3756788165424,17192.232099730612,32670.289397424818,145.9013288541543,148.90940733813474,136.90477216325547,158.53401765274063,19.93678451025892,89.0568331150198,179.84417923101162,death_recovered,gompertz
curvefit_lstm,Australia,14,7,new_cases,21484.90013555775,22812.750103901704,144.8386101605555,21484.90013555775,20607.6384004953,18719.579716828313,23574.393100749916,3731.781955746098,15102.13936616217,30319.229290562267,22462.282639237226,21701.616749788016,19360.85044447042,24250.334083103146,3983.3937714076665,16373.913556322113,31300.079574991298,144.83861016055553,148.0038768663069,135.71138358920146,158.90191945250422,20.485212803600195,84.56453659645334,180.79587555131755,death_recovered,logistic
curvefit_lstm,Australia,14,7,new_cases,22336.952176252336,23884.1544577504,145.35233296372095,22336.952176252333,21861.807138733937,20387.81434587627,23864.87383398959,3309.7918945582164,14907.371845987358,30207.304602683787,23642.73191889524,22995.27043481022,21759.101932661084,24563.797213670907,3387.3384201952376,16834.85787227995,32179.5221963456,145.35233296372095,148.77437152199283,137.24356583134335,159.49963565515026,21.260716752858286,76.31304493120778,179.3730413355796,death_stringency,gompertz
curvefit_lstm,Australia,14,7,new_cases,23915.81299475612,25325.449679413287,147.00957548366432,23915.81299475612,23486.18128859521,21916.594987608172,25525.274630964053,3349.2991434739643,16207.510878438956,31347.796952392622,25106.747058721623,24742.13174709079,23286.98138085856,26337.623793346964,3321.0922290517265,16972.40993043578,32667.975843796456,147.00957548366432,150.3017020629572,140.7844321615434,159.80382053446004,20.82620459473298,77.40403573709233,180.52613510746184,death_stringency,logistic
curvefit_lstm,Australia,14,7,new_cases,21329.29212664031,22653.11325442283,144.538594721535,21329.29212664031,20136.2749819259,18968.834925900155,23240.6235200945,3638.0412173004365,15202.207364960572,30229.521818085574,22315.2700936409,21129.624201542923,19845.893802153005,23823.913091394286,3897.7250756772746,16340.886680668613,31664.447423081278,144.53859472153496,148.06684351195895,135.1322138711814,158.6599739789717,20.809035452532914,83.08811035466927,176.5446770984798,no_exog,gompertz
curvefit_lstm,Australia,14,7,new_cases,22054.373903594653,23339.648756484024,145.33163624818457,22054.37390359465,21096.924882080122,19813.194053662166,23734.483659483172,3529.310180576735,16063.010540562263,31110.86182404441,23041.905123467055,22151.97636051639,20730.030521489527,24348.005192989145,3716.155588398953,17211.32742024344,31961.751529808746,145.33163624818457,147.9109248155317,137.1325836459224,159.15113949651388,20.36062890047957,85.3162671394885,177.56365475006146,no_exog,logistic
