model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
lstm,Australia,14,7,new_cases,14951.30479333436,17734.218345875935,132.749902670164,14951.304793334362,14199.4462890625,11136.835518973214,18959.202043805803,5405.144268728531,4104.677036830357,26719.272600446428,16537.931242084152,15011.728705135758,12176.363552412518,20090.25848572969,6403.071963620239,4486.468949834791,29361.45743611664,132.74990267016398,139.91065416391146,121.69354586546356,156.01148163245486,33.67659451074823,31.01811351437708,184.63469266165097,death_all
lstm,Australia,14,7,new_cases,9406.912973049239,14636.665624333888,119.64932347999877,9406.912973049237,6980.034458705357,4962.834010532924,13417.809605189732,6141.060522356286,1506.0269252232142,24688.166015625,12431.96108455888,9511.395714455663,6634.210296700749,18321.6525241668,7725.174702915843,1802.431101591948,27884.950363590982,119.64932347999877,123.50791054857524,101.6712533762949,141.27432864191482,42.952402360018745,14.179998573704221,200,death_mobility
lstm,Australia,14,7,new_cases,16049.43465834259,19654.976272229513,136.5097008314532,16049.434658342587,11951.417096819197,8803.840872628349,22478.485770089286,9403.114976663224,4317.576450892857,39460.27232142857,17384.17334783645,12630.655721575602,10415.922812811381,23610.31922777075,9171.074597574594,5555.292190251758,39498.40502330366,136.5097008314532,142.1988186720027,120.01007923565791,151.25179525565432,36.570352133248356,29.784783231156265,200,death_recovered
lstm,Australia,14,7,new_cases,21854.872593621316,24914.795751532478,148.25055068238956,21854.872593621316,18234.206891741072,15091.645193917411,29510.3388671875,10052.752299233416,3627.914119175502,43101.80747767857,22863.27719175822,19650.38295854212,15900.295053166195,29985.882521932144,9900.38400232078,4331.4927126641505,43662.300419780186,148.25055068238956,150.7106285216206,137.40678576780212,157.27436615794295,22.261500938362783,97.47314284741798,200,death_stringency
lstm,Australia,14,7,new_cases,13038.718528584306,18120.52248425123,145.2052106545327,13038.718528584306,11590.563685825891,7311.884207589286,17659.360458374023,7421.853570904731,1432.2356480189733,40297.409877232145,15997.042250644692,13037.326228020745,9649.218877991112,21753.432049140745,8511.637582354108,1958.3841482486596,42142.58163465117,145.2052106545327,146.3346118585083,117.56728977485227,175.34315790116705,39.13612886747794,25.536075980844096,200,no_exog
lstm,Australia,21,7,new_cases,15539.278464231194,18184.331523175228,133.69790453908755,15539.278464231193,14983.117815290178,11620.744942801339,19430.76266043527,5639.478814222757,4337.336216517857,27213.47628348214,17015.522522697273,15911.966957608332,12590.82109730031,20891.594679490125,6414.195680233514,4803.244319882348,29855.782675391467,133.69790453908755,141.6557708877856,122.47953259931948,155.6474580759418,32.731045995779,32.229011301136865,182.95807115316654,death_all
lstm,Australia,21,7,new_cases,9444.245814603733,14819.009066168946,121.75684402871299,9444.245814603733,6619.4741123744425,4855.110148838588,13406.262032645089,6047.4955099032195,2407.4005998883927,24465.108258928572,12744.204067561122,9684.319620699716,7212.995687675558,18272.50249907845,7562.2941219947215,2784.1919800028463,29259.66496701437,121.75684402871299,123.61147604959706,99.3630744097616,141.80319084115666,42.075024086265444,23.781809321059384,200,death_mobility
lstm,Australia,21,7,new_cases,14261.491757222193,18380.813499770655,147.37434853794736,14261.491757222191,11241.079136439732,8137.366402762277,20462.471261160714,7287.702234575488,4504.836417061942,31842.794921875,16741.94327622133,14676.12555568987,10290.161897877148,23555.570044993496,7586.938793027042,5212.708312640261,32421.492958483817,147.37434853794736,142.77355200156876,120.22254693130981,176.908556412138,33.98199690515892,81.41668682531163,200,death_recovered
lstm,Australia,21,7,new_cases,12621.98338864893,18024.70176239935,150.01334196952754,12621.983388648927,10816.608154296875,6985.7852783203125,17975.992553710938,6348.167864556291,3271.888611657279,29081.12039620536,16247.241424148959,14162.157825654045,9524.959548132434,22813.74881053735,7804.935600558172,3741.089875356103,34023.60188243554,150.01334196952754,140.91629938114806,114.2959993040552,200,42.602698428481496,67.09871732824382,200,death_stringency
lstm,Australia,21,7,new_cases,17728.361536581135,24895.90153098184,163.37537948972528,17728.361536581135,15884.770839146206,7925.939147949219,22621.953805106026,11821.165974008825,3728.3330372401647,50844.88002232143,21843.152117658654,20706.20547275534,10594.64106540809,29404.094635447564,11944.982988902419,4724.758527655677,52156.47871200861,163.37537948972528,197.51540342323256,121.71274982295165,200,43.971879255849764,55.351626312967284,200,no_exog
