model,country,W,F,target_var,MAE_global,RMSE_global,sMAPE_global,MAE_mean,MAE_median,MAE_p25,MAE_p75,MAE_std,MAE_min,MAE_max,RMSE_mean,RMSE_median,RMSE_p25,RMSE_p75,RMSE_std,RMSE_min,RMSE_max,sMAPE_mean,sMAPE_median,sMAPE_p25,sMAPE_p75,sMAPE_std,sMAPE_min,sMAPE_max,exog_vars
prophet,Australia,NA,14,new_cases,12350.9053307857,18696.89749385035,145.6521791214549,12350.9053307857,11622.249103946608,7577.719845742495,14306.420527277114,6888.1402693068485,3277.2228577110604,34619.83264353872,16806.67590628598,13955.963565883594,9652.86326870676,22797.061054985206,8192.046195952136,5220.590183300844,37275.79108119076,145.65217912145494,155.01039966754087,120.29206337519535,174.71268709357233,34.08391395017759,65.85872144095032,196.4428017523974,death_all
prophet,Australia,NA,14,new_cases,11880.4347080165,18396.603668112664,129.87593275114148,11880.434708016499,10629.926928621411,7299.828565266552,13123.512459785718,7255.154233038113,2945.1852184567974,35518.003822950915,16415.644029186507,14210.755022389963,9302.502893926172,21205.93511992885,8304.315602664059,4658.951948730827,38501.28334445054,129.87593275114148,129.61849343994282,100.42594225853657,172.8064962899088,39.367279443318104,50.75927164505494,191.33437984820995,death_mobility
prophet,Australia,NA,14,new_cases,13639.925536545614,19678.247890734066,145.376423180324,13639.925536545617,11845.232291763106,9235.856731729662,16843.533242559308,7495.975041156711,4072.0537076389382,37459.87241441151,17680.546958973297,17891.833685844467,10747.915104893087,21803.466776692556,8638.964016635313,5872.392179589721,40345.030146234734,145.37642318032397,145.01841979670579,119.18121332363648,175.47550312279142,31.767863628111417,74.22249416521663,194.3886551917624,death_recovered
prophet,Australia,NA,14,new_cases,12947.020361666659,19018.636453907304,152.15584442288113,12947.020361666659,12335.465881844502,8183.569516776132,15821.431613637238,6914.410614446973,2806.4391711133553,34068.62342677563,17066.629852136666,16250.857550638648,9693.660366321204,23415.341372225797,8392.775348837198,4836.647292839639,36812.2757510606,152.15584442288113,167.61742462735822,121.72209124928861,183.80804701537832,35.55717220575868,81.22562885302813,196.67645207545777,death_stringency
prophet,Australia,NA,14,new_cases,14559.529933268814,20422.16899525199,145.78257615071644,14559.52993326881,13117.86570178173,8763.868594555992,19437.846081827665,7186.745581393001,4303.208490843396,34161.68850747412,18688.260086787697,19827.57595129089,10648.08804361528,25968.08475622262,8234.920849601986,6052.4795756949125,35062.36567587876,145.7825761507164,149.9714302930825,128.27886102583614,161.8476523038191,27.87768937530798,80.35505784285962,200,no_exog
prophet,Australia,NA,28,new_cases,13932.538840293888,20444.846393977823,156.65960319685934,13932.53884029389,13497.719458482772,9614.226143978802,16095.49126052894,6664.43208488431,3773.745313897285,33137.52499522118,18669.509184928844,17628.904413835495,11848.41668137975,26124.396126715215,8333.136916384221,7042.350470808789,38420.268919647315,156.65960319685934,169.02572098509637,126.44958953105666,180.99643635736993,29.65944242900388,99.27602281025985,194.47890859549292,death_all
prophet,Australia,NA,28,new_cases,13268.553732579085,20000.34124362317,144.88967959110352,13268.553732579085,12171.506817414665,9175.455891439968,14857.38069620392,6985.887782570502,3555.3833585879656,33689.895812959185,18137.30362517541,16560.611621514145,11587.066710734684,23084.924179564787,8429.226955633187,6266.145355374087,39126.53170126963,144.8896795911035,146.4324988241803,116.14558381358728,176.59834329992313,32.49070082628364,72.27377841067198,191.21939030934726,death_mobility
prophet,Australia,NA,28,new_cases,15148.530261278542,21433.360750466505,155.8256160704214,15148.53026127854,13931.671361040646,11068.513039718364,18273.853786253774,7159.4794766959585,4763.239779991198,35929.60933026688,19548.898209689276,19137.089567786945,12960.653740635638,24316.964825877094,8788.033445933488,6410.469197545225,41469.95029503049,155.82561607042143,157.47554152046294,131.33919312891416,180.39900875921572,27.24589663796435,104.72625853714473,196.11502941245064,death_recovered
prophet,Australia,NA,28,new_cases,14372.422054494133,20636.851275618366,159.86257207279323,14372.42205449413,14020.641058483348,10805.474782099825,17888.273165220617,6583.624056907603,3501.917531623099,32120.08875035542,18821.621630855527,18493.696745820547,12048.422920981144,26868.264286318128,8463.22572999815,5855.540674810752,37647.747473010044,159.8625720727932,169.50830284615813,132.47905379422394,185.3421252469219,30.587542319354636,87.59339540504378,197.6169363545955,death_stringency
prophet,Australia,NA,28,new_cases,15765.587325039982,21731.147619857413,157.24616229797488,15765.587325039984,14781.079603281953,9485.737622911662,20895.808194748217,6958.023017812349,6006.784592561031,32013.974382440967,20145.750105765568,21808.31953635743,11215.478872883192,27428.954764223912,8148.099750989855,7798.346271564556,33522.51402210274,157.24616229797488,154.71044879120782,140.2581546189561,174.1319297914304,23.396127476119087,105.59082629859124,200,no_exog
prophet,Australia,NA,7,new_cases,11167.887726613946,17338.232427218667,134.4105556684725,11167.887726613948,10464.126400131328,6378.8979751779625,13270.770324455216,6467.614060389017,1887.5420315133872,35457.17876827064,15439.250070368435,12121.485657132085,8970.186584175633,21352.450062171534,7889.477863894747,2030.3573880511287,37138.508972018084,134.41055566847254,138.40409977624597,108.69281451431432,171.5124210714299,37.53220852288246,55.30978678858752,195.76686923775114,death_all
prophet,Australia,NA,7,new_cases,10902.151583482122,17102.676062439765,120.0453428893771,10902.15158348212,9779.337085587926,6264.015640832811,12381.204422923744,6801.111948328033,1917.0347904148546,36105.77263761316,15144.958890681586,13029.358658488614,8865.262490165107,19555.385294264084,7945.548986464993,2217.8385438984255,37841.68979564147,120.0453428893771,120.35886412969589,83.60794991745118,164.03802378027828,42.94265238429526,30.988414784831015,193.9987635847345,death_mobility
prophet,Australia,NA,7,new_cases,12442.022407313032,18229.47886163131,136.1630431125912,12442.022407313032,10769.478989312867,7731.201622563434,14849.169492141024,7038.149132916588,2962.1298386672966,37749.856805889576,16281.164313439695,15942.834693186023,8617.496774679134,20211.9219596413,8199.852935598334,4360.4065115525245,39629.16830975569,136.16304311259117,138.2950509651608,104.79686026736778,173.82491795803358,36.85685255353671,57.73795366082338,195.31916275186296,death_recovered
prophet,Australia,NA,7,new_cases,11810.147899688429,17686.82767660429,146.51051707806766,11810.14789968843,11145.471412856874,7357.644241255222,14596.154585635744,6504.427375728474,1968.5904754775336,34660.937423316944,15734.582307120094,13224.391373196295,8768.024410399528,21374.969497301172,8077.548692664053,2486.4234714049935,36433.100896009535,146.5105170780677,154.41264557327122,120.35829931877986,177.3686645704758,38.5729266827005,46.59392471296229,196.04671428480736,death_stringency
prophet,Australia,NA,7,new_cases,13509.740747446409,19276.901686484733,134.02361062042644,13509.740747446405,12468.890765834785,8592.92904505258,17297.31274372477,6810.891290382129,2174.8132559368664,32618.75415630062,17512.887480611364,17366.44531776912,10056.863752320507,24305.606609896713,8055.911538854158,2950.683378812591,33306.220351330674,134.02361062042644,145.84562869354852,107.87328260979504,152.19031903410533,34.929394031788,38.221266743280694,200,no_exog
prophet,Brazil,NA,14,new_cases,24840.88486535094,33723.11758161691,146.4317447656509,24840.884865350934,19456.713375792235,12597.1181309621,30780.18375249768,18109.564198163764,4189.16685440841,73891.48382292759,28362.878049687093,22481.870769448225,14788.931335270156,38646.00141140622,18242.691911067785,5098.854072521138,74362.24639674295,146.4317447656509,143.7243091708816,126.99673515855179,161.58237260781564,27.253949280501992,89.2126509166222,200,death_all
prophet,Brazil,NA,14,new_cases,23348.286069458718,32752.26265018397,143.05234104392252,23348.28606945872,17485.271443020432,9558.49446036376,29165.026777217467,18304.43638115941,4167.1496342350665,76707.32177921003,27045.375628667767,19973.99894277072,12317.657279408108,36704.16954485688,18473.179634564796,6184.529254928112,77284.82108418061,143.05234104392252,140.81602316513167,125.17715879287013,159.17791759176194,23.05543652686828,92.97771380031827,189.0543632471569,death_mobility
prophet,Brazil,NA,14,new_cases,20902.850356620198,29934.30786822125,135.3183193218744,20902.85035662019,13961.536879343415,6847.105443487919,29557.921631611673,16815.942365932424,4631.255557038066,66396.51657308807,24242.561655558762,17565.300957219886,8853.152041771707,36988.731009835654,17560.21047498818,5296.152879469901,66739.14311456066,135.31831932187444,132.6418107261107,125.03126812915889,148.90470702309398,15.585659768588881,101.25226806951227,168.4390957982972,death_recovered
prophet,Brazil,NA,14,new_cases,23615.417840774877,33346.18666780805,136.08758581376455,23615.417840774877,18934.975616785938,7454.633918330979,31986.89401931877,19226.371832413195,3823.158896814669,73009.68444656787,26845.34277145033,22251.64844348393,9118.404751581289,38275.062801129054,19781.196545397317,4529.447799107016,73363.3399977519,136.08758581376455,136.16583430355803,128.18773299306798,147.98152072756852,15.375404433104746,93.42249978492718,171.89448269686366,death_stringency
