country,model,global_smape_mean,global_mae_mean,global_rmse_mean,tp_smape_mean,tp_mae_mean,tp_rmse_mean
Australia,arima,110.74284063156806,8918.615474308874,12718.422900457335,127.02983206944988,9647.003777394748,14289.078307246167
Brazil,arima,124.7655959346564,13571.483997457422,16515.84052378933,127.42798088436544,14764.509037622816,17660.643434039135
China,arima,43.98743980525656,5238.80308780263,6204.008338965401,46.90019397136692,4754.463161118504,5698.387344517351
Germany,arima,78.06066151949965,12009.64462665034,14951.793950169507,72.59176551312085,11191.21335348808,14354.87322413617
India,arima,78.00053104125112,1163.010776462485,1354.225980741281,79.14604866088743,1270.9766030091,1575.1535423457435
United Kingdom,arima,178.65415576608612,8221.830297851293,11458.716550047458,180.4607851607253,7419.942715488564,9363.167627514618
US,arima,66.19093092963122,25904.13121311289,30532.197607080023,65.42710545308643,25545.45700035094,30192.49476412428
Australia,cnn_lstm,136.3186107611115,15403.788056672698,16478.67494307887,145.15326921150762,15992.448765345982,17484.941472470404
Brazil,cnn_lstm,117.62816859791089,14831.934585546229,17356.032231470283,122.86436548843432,16050.511229411864,18180.49271148015
China,cnn_lstm,95.12566990201502,9607.594137620848,10651.006482557368,98.02093555970283,9567.89626839912,10599.52403265338
Germany,cnn_lstm,85.50985151008952,21852.37066159303,25458.17739773189,83.77325404731748,21882.24925387636,25138.396841069614
India,cnn_lstm,172.31817836017805,4154.950103520955,4545.697416173133,175.5981048781472,4451.598809851975,4919.224515454941
United Kingdom,cnn_lstm,184.4073589314776,10174.361720118031,13068.678859680836,186.3824582781352,9042.989052819788,10748.680549912664
US,cnn_lstm,78.6091089085127,34241.16178831404,40392.65037630253,77.44208714817447,33440.7197996386,40083.36640319886
Australia,curvefit_lstm,144.53859472153496,21329.29212664031,22315.2700936409,152.312468322567,22258.85531289578,23328.78581908932
Brazil,curvefit_lstm,117.23842683600569,14551.643251186526,17025.04029889005,122.34634368389686,15805.347919500777,18184.720667681733
China,curvefit_lstm,59.80579173454193,6368.355813227163,7309.143512440121,63.32546204294565,6396.713821504393,7322.16856436913
Germany,curvefit_lstm,159.43280356454318,243846.8882140641,246275.95418878927,159.54733798026135,241346.8453744433,243910.1261852264
India,curvefit_lstm,167.94524759908225,2786.1429309053638,2992.3132195728667,173.7071492781061,3069.94910689829,3400.397507695596
United Kingdom,curvefit_lstm,186.003475012482,104169.82879493012,105942.34130650964,188.68198624590931,101475.2792903672,102972.19211242972
US,curvefit_lstm,77.30444079161308,33559.82248737089,39314.65866211364,76.38186099589315,32632.05393028193,38774.68842785094
Australia,delphi,71.46736545371967,7789.463387727736,7925.553699073048,81.3354515162293,7390.981401919811,7542.043431565294
Brazil,delphi,77.4402057042248,12651.273996561282,12968.20667660426,83.7655929848689,14506.305090058842,14840.378210953511
China,delphi,77.3257101773393,10922.112368405154,11219.583822067596,82.52665013038188,11355.341260345736,11646.337864233516
Germany,delphi,55.965171163950615,25332.07046068245,26010.421828786057,57.29935666711468,25132.913684472267,25825.165905672697
India,delphi,72.88197138061773,1970.517031957132,1989.4660835291943,75.07701917314992,1458.3139087177285,1479.5670549634676
United Kingdom,delphi,73.70201325238519,3471.719364194444,3642.349055749902,81.54407769526314,3839.527989382409,3901.5451893797726
US,delphi,35.56381933536547,21407.35453401321,21877.573802516126,33.02990037785341,18941.370717369617,19588.733529724475
Australia,epilearn_fullcurve,106.72677836302256,9289.585838323395,13891.012754940091,126.31878759897528,10087.35402289937,15567.795467814249
Brazil,epilearn_fullcurve,134.72901268702142,16926.509697578378,21060.027440897728,135.26549008918764,17338.86984223724,21609.559533876018
China,epilearn_fullcurve,43.1890486711281,5329.829824655718,6289.204024853796,41.51258258871764,4644.299056557226,5510.408382125597
Germany,epilearn_fullcurve,117.41814375847083,95977.97549253568,154702.57610035012,115.29261388361252,92717.93553075414,148183.93128201977
India,epilearn_fullcurve,42.47585967082191,828.5474479507436,1056.1083192537433,47.0981551685356,1022.6787965876408,1361.8104454107256
United Kingdom,epilearn_fullcurve,173.36868223232975,8729.525298869621,14124.887273012617,175.75726677808473,8008.75983155411,11752.090424770591
US,epilearn_fullcurve,86.81694610705999,43656.11088658728,52675.896767276456,87.31690650110478,43370.66489884556,52285.06618796192
Australia,lstm,145.2052106545327,13038.718528584306,15997.042250644692,153.932710060434,14444.757709587258,17937.873193074287
Brazil,lstm,121.02299551748094,13494.370034380692,16397.22990336899,122.69054468011755,14121.073611238817,17300.632232979086
China,lstm,70.70481984064271,7162.209733283774,8095.9054742304625,77.37403444969412,7112.837714119564,8101.762868676204
Germany,lstm,79.5253945745595,14644.659504525567,17785.286804468586,73.90298946412402,12837.377569081831,16037.053506667537
India,lstm,115.8956473281776,2093.178557206453,2413.87257405946,124.83011232162156,2245.300530748568,2602.488547611981
United Kingdom,lstm,183.7490684681186,9750.91136824752,13076.991518072691,185.7654691579864,8898.611566875836,10784.298362174066
US,lstm,64.16364042680364,24651.65326348667,29060.6316736105,61.478680515264784,22628.6302302008,27165.39705281345
