country,forecast_origin,true_values,predictions,forecast_dates
Australia,2022-07-11,"[44724.00000000001, 44415.0, 47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0]","[85712.3984375, 86377.6171875, 101558.453125, 116005.96875, 118595.6953125, 119698.84375, 132538.796875, 137004.359375, 129877.9765625, 125566.015625, 125576.796875, 132231.484375, 115007.984375, 113590.7578125]","[Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
Australia,2022-07-12,"[44415.0, 47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0]","[86444.2578125, 86675.09375, 101735.7265625, 117118.84375, 118765.3125, 119521.40625, 131834.234375, 135994.09375, 128695.7109375, 124038.3515625, 124071.5390625, 130044.3203125, 113507.1796875, 111408.1640625]","[Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
Australia,2022-07-13,"[47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0]","[86297.6484375, 86985.015625, 102066.2109375, 118069.015625, 119932.65625, 120176.0, 132819.65625, 137249.828125, 130076.171875, 125686.765625, 126557.015625, 132537.40625, 116307.3125, 113666.5078125]","[Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
Australia,2022-07-14,"[38769.0, 42723.0, 38914.0, 37787.0, 51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0]","[86727.921875, 87483.0703125, 102437.9453125, 119011.34375, 120788.0390625, 120763.46875, 133440.65625, 138320.953125, 131154.171875, 127158.65625, 128985.171875, 134908.359375, 119441.703125, 115948.84375]","[Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
Australia,2022-07-15,"[42723.0, 38914.0, 37787.0, 51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44169.99999999999]","[86791.921875, 87272.4296875, 102111.1796875, 118062.6953125, 119886.1015625, 120311.578125, 132834.171875, 138104.640625, 130974.015625, 127355.875, 129529.5859375, 135743.0, 120815.984375, 117102.8984375]","[Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
Australia,2022-07-16,"[38914.0, 37787.0, 51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44169.99999999999, 50041.99999999999]","[89301.296875, 87567.3671875, 101618.875, 116770.25, 116481.5859375, 118160.3828125, 128674.7734375, 133607.59375, 125771.984375, 121441.5546875, 122445.5, 128161.1328125, 114500.0703125, 110661.25]","[Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
Australia,2022-07-17,"[37787.0, 51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44169.99999999999, 50041.99999999999, 31846.0]","[89485.3515625, 87537.4609375, 101038.28125, 114351.609375, 114208.515625, 115937.4921875, 125719.6640625, 129875.015625, 122143.9140625, 117298.75, 116857.5859375, 122693.0546875, 108425.6015625, 106043.109375]","[Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
Australia,2022-07-18,"[51972.99999999999, 48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44169.99999999999, 50041.99999999999, 31846.0, 27510.0]","[88083.3515625, 87123.5703125, 100855.8046875, 113561.8828125, 114693.1640625, 115807.5703125, 126212.8671875, 130195.9921875, 122979.4375, 118349.421875, 117699.953125, 123731.0703125, 108702.2109375, 106997.625]","[Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
Australia,2022-07-19,"[48902.00000000001, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44169.99999999999, 50041.99999999999, 31846.0, 27510.0, 37443.0]","[88600.1015625, 87888.7890625, 101856.0859375, 116195.8203125, 117068.5703125, 117519.078125, 128185.4296875, 132512.46875, 125204.90625, 120768.5546875, 121027.609375, 126654.03125, 112120.2734375, 109351.7421875]","[Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
Australia,2022-07-20,"[54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44169.99999999999, 50041.99999999999, 31846.0, 27510.0, 37443.0, 43941.99999999999]","[88909.234375, 88679.578125, 103076.5, 118798.1015625, 119915.71875, 120068.4609375, 131611.421875, 136936.3125, 129480.3828125, 125771.6171875, 127580.984375, 133514.53125, 119331.5703125, 115380.8046875]","[Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
