country,forecast_origin,true_values,predictions,forecast_dates
Australia,2022-07-24,"[32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0]","[32509.88802211243, 46523.91049313816, 42554.784180800256, 48235.56601403607, 51407.28695946414, 45949.67753574661, 33463.48223508733, 30672.004878003405, 42893.796468561915, 40080.3821744297, 41849.921744278334, 42699.71200808833, 41052.11990594924, 33271.275399767525, 33529.97084218073, 47323.74879292119, 49750.22029729766, 39611.93194752026, 49835.66848531428, 41380.67110585897, 37756.53347387319, 38319.63223626, 44869.42945722703, 43985.48911938363, 50849.388664162136, 42956.06485990779, 43130.13699713852, 34851.20840411282]","[Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00')]"
Australia,2022-07-25,"[49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0]","[46651.434891332494, 42657.789013428635, 48369.39917582953, 51561.48539814255, 46078.13196608758, 33549.32861680426, 30764.65865890363, 43010.28920272591, 40182.542944721834, 41960.5183723018, 42809.62958731529, 41146.78466811556, 33343.87433012807, 33612.8755703591, 47435.01331150478, 49866.57156057206, 39786.88610207321, 50040.00186210519, 41558.843378943224, 37912.771389107984, 38499.24597491997, 45091.80432557785, 44205.15987396162, 51099.738157379536, 43181.69739259893, 43365.99506282981, 35060.12327427794, 33281.40154562742]","[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00')]"
Australia,2022-07-26,"[49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0]","[42562.30842521007, 48220.99599853382, 51365.74905901574, 45833.601830889595, 33312.55560444288, 30625.79397319138, 42876.17972219239, 39987.162978528315, 41715.168997242276, 42553.754275367486, 40835.7071414518, 32997.09295100499, 33316.58484264409, 47128.91472001759, 49504.81555002631, 39553.95145000471, 49810.7014925032, 41307.02429406577, 37669.016308000624, 38317.26253647373, 44953.529764549785, 44012.3537975329, 50872.98067100193, 42973.67031188328, 43126.34694743222, 34771.00328548693, 33057.94650451166, 44741.59390968487]","[Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00')]"
Australia,2022-07-27,"[47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0, 15025.0]","[48995.30492805676, 52190.33647426028, 46624.40880103057, 33970.97990935518, 31159.780202050562, 43527.806640615054, 40698.701322352696, 42427.13966492524, 43268.64709412415, 41579.57066848705, 33714.80566342136, 33953.86208948611, 47894.12031755547, 50354.400578449364, 40059.38741581876, 50385.74838929504, 41848.74597445486, 38132.65698889274, 38683.75537907997, 45373.64817598588, 44509.910976203, 51432.34563665541, 43465.00703413643, 43664.55561411694, 35263.90616569093, 33429.37989102593, 45183.96140494361, 40297.712333303556]","[Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00')]"
Australia,2022-07-28,"[44170.0, 50042.0, 31846.0, 27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0, 15025.0, 11626.0]","[51154.52507296648, 45529.55338296046, 32978.91454533274, 30451.6384415604, 42721.51012713941, 39825.95304324188, 41415.93511757979, 42222.67528194235, 40431.96286338517, 32506.692212719514, 32958.21572285685, 46749.858119750475, 49127.69085651882, 39286.41832529589, 49586.72400171911, 40986.3294688502, 37389.57476208428, 38180.06552725506, 44749.92244701202, 43800.88316687063, 50562.58169237647, 42669.42096091097, 42776.035979595035, 34359.80920659963, 32777.565385386515, 44508.61175033495, 39617.14340128664, 32534.47387380321]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
Australia,2022-07-29,"[50042.0, 31846.0, 27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0, 15025.0, 11626.0, 16197.0]","[45728.229366032465, 33437.64243919522, 30863.074410746263, 42940.59714713702, 40148.048954212216, 41751.34728494289, 42516.79504464407, 40861.57129629065, 33195.57998256544, 33533.4601449857, 47127.09244913721, 49500.7298121568, 39477.991345416, 49505.310382066775, 41253.538504946504, 37649.09650478876, 38303.25432607476, 44963.8091662255, 44094.0949907749, 50773.151266799105, 43005.860692770046, 43201.17217570952, 34932.14522630787, 33219.67817633829, 44790.35566043689, 40075.04005748136, 33145.51296242078, 44198.87518500286]","[Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00')]"
Australia,2022-07-30,"[31846.0, 27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0, 15025.0, 11626.0, 16197.0, 11177.0]","[33259.12185201925, 30711.16605754162, 42838.687281230756, 39986.16170693483, 41577.00994658104, 42347.481794651554, 40690.6724169594, 32883.58874562737, 33262.51117274487, 46927.88511043046, 49303.00201885325, 39296.2710769159, 49412.468284496295, 41071.72935604242, 37442.478078679764, 38141.52621881006, 44759.83260524467, 43859.114172479276, 50563.963968465934, 42719.76555721384, 42925.399286954926, 34552.767753226326, 32904.410836133306, 44545.07417772375, 39762.547856975376, 32753.81134490157, 43838.74524496906, 37067.06490069272]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00')]"
Australia,2022-07-31,"[27510.0, 37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0, 15025.0, 11626.0, 16197.0, 11177.0, 9255.0]","[30306.650503932862, 42402.60547342922, 39536.50340961864, 41090.51522279092, 41854.56569022189, 40185.5110519882, 32345.940117538936, 32775.92874816091, 46403.70566669165, 48752.33484512441, 38783.350212542806, 48883.953635703074, 40525.43740989123, 36948.18165595183, 37687.3590878646, 44194.20918520928, 43271.05369356237, 49914.105249181885, 42094.89480019498, 42256.95382018721, 33887.004404647756, 32316.354130572676, 43921.60948540018, 39129.06155150954, 32151.138061405833, 43103.81604170798, 36341.164360220595, 24949.989114921424]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00')]"
Australia,2022-08-01,"[37443.0, 43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0, 15025.0, 11626.0, 16197.0, 11177.0, 9255.0, 8688.0]","[42476.98686322057, 39613.47378298947, 41246.55775500993, 42032.783216737145, 40395.85645121789, 32486.801468798498, 32857.843228510916, 46678.76106739229, 49100.77964490085, 38953.890280700725, 49213.345370553834, 40735.42821626211, 37148.285214783646, 37817.242909601664, 44332.37967284538, 43434.04794568785, 50243.32609531819, 42291.76115857707, 42503.02748427214, 34099.22089044866, 32451.022841420425, 44124.563419093654, 39242.319479420075, 32185.120203924696, 43398.82396596023, 36594.5563263972, 25089.980542006786, 26862.680711657704]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00')]"
Australia,2022-08-02,"[43942.0, 37214.0, 32546.0, 28479.0, 22616.0, 18010.0, 28604.0, 25024.0, 19917.0, 30527.0, 18679.0, 16113.0, 15543.0, 18249.0, 20829.0, 21014.0, 17086.0, 14995.0, 9150.0, 10430.0, 11639.0, 15025.0, 11626.0, 16197.0, 11177.0, 9255.0, 8688.0, 12181.0]","[39616.72525304799, 41316.458612562645, 42134.836283958444, 40536.84424854223, 32725.503890341344, 32943.39494428445, 46705.49398318588, 49182.26605718295, 39055.177983806345, 49199.301854990204, 40915.68587800854, 37202.13154340748, 37746.5310279038, 44448.98168404368, 43650.38346566635, 50441.49123145503, 42550.48595152933, 42821.49217927331, 34436.00171028909, 32636.693399120348, 44322.24463214139, 39583.41776184194, 32572.720168039483, 43816.92150318689, 37113.47419323466, 25752.700299966935, 27317.869071353394, 38185.80112617917]","[Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00')]"
