country,forecast_origin,true_values,predictions,forecast_dates
Brazil,2022-07-24,"[35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0]","[8207.45963682896, 11615.071490091597, 30599.953402436622, 32652.157387577427, 33403.766938784385, 31830.535047436777, 21524.125137694715, 2934.66944082579, 5212.69854117338, 22470.0235953436, 23713.56639310919, 25299.370430418487, 25646.847640551347, 17118.328275492804, -659.6180313522018, 1616.347001029102, 18811.380489623734, 20419.965163600635, 22526.179875935664, 22836.950299452907, 13330.215686329295, -5972.316629976471, -4873.46433325396, 12177.949903924262, 14701.94761915837, 18314.70347483138, 20270.05671492264, 12373.189322635637]","[Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00')]"
Brazil,2022-07-25,"[30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0]","[12884.989822732983, 31727.441648963257, 33632.17425972347, 34339.02829499415, 32803.42335141461, 22550.56967050394, 4178.520821935712, 6206.436159131401, 23399.509904523336, 24592.92577459309, 26179.352501428322, 26526.904691130883, 17964.93980283662, 335.96598504791837, 2355.948334849112, 19528.68135994632, 21123.162987803353, 23221.486717062875, 23492.53484696293, 13931.323288863761, -5188.9370217089745, -4274.446267262316, 12810.889115560494, 15322.674913138593, 18892.16215617174, 20797.930224299045, 12916.742812600056, -4602.315264520952]","[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00')]"
Brazil,2022-07-26,"[37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0]","[33050.02429230166, 34886.55019792513, 35519.10682467956, 33953.538639045546, 23718.01001070129, 5374.463389106666, 7540.846702238581, 24579.73603258652, 25731.30950284853, 27289.56769765915, 27627.319623279473, 19053.237066515525, 1390.4473346266786, 3494.9589165530015, 20497.487934898123, 22065.872664470153, 24151.22728605564, 24401.642604276858, 14797.448022197907, -4376.9703928077615, -3363.888675996608, 13592.06313654509, 16112.271055605104, 19670.428049191964, 21531.750824266313, 13596.363575795584, -3938.9349072423356, -1817.1777780670782]","[Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00')]"
Brazil,2022-07-27,"[44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0, 0.0]","[34622.228071481506, 35207.58663851887, 33598.23849432137, 23337.61697827503, 4984.952726712851, 7143.279571912481, 24199.027207126222, 25287.40679803388, 26813.263783172522, 27127.992607386816, 18540.97595393741, 865.7106080940539, 2949.428959329256, 19960.151681567117, 21469.580197359777, 23536.583166340843, 23776.710380341192, 14162.967631267657, -5027.163939070975, -4034.3103459902377, 12941.648249559574, 15422.610866185058, 18978.710684917143, 20834.35617381989, 12885.85885762384, -4663.686203652305, -2544.1641173745847, 14220.671025562973]","[Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00')]"
Brazil,2022-07-28,"[44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0, 0.0, 44736.0]","[36091.96370868005, 34465.851098792205, 24185.087436730882, 5834.3666009756125, 8021.220277027391, 25114.883487517305, 26294.979661603982, 27758.478410420794, 28070.52133623148, 19488.17055417802, 1828.0249258854055, 3928.203216419697, 20945.879067297825, 22517.671954964477, 24511.23846900231, 24754.761145592318, 15152.753798004314, -4029.013123441033, -3039.3583827642287, 13926.401127317451, 16469.578702742467, 19968.144507981382, 21843.255758262752, 13907.21054080972, -3648.178387873235, -1543.667056119426, 15220.844622248402, 15770.607849954022]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
Brazil,2022-07-29,"[41713.0, 22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0, 0.0, 44736.0, 21039.0]","[34168.70906029168, 23809.745612075112, 5392.019329383784, 7538.094764412459, 24611.47756667306, 25791.039720094403, 27286.999254103546, 27485.994840545336, 18856.904999239552, 1163.0393666430355, 3237.027399737799, 20225.57905267105, 21778.420433447693, 23796.527353260193, 23938.934782327626, 14314.043635236765, -4881.689789198499, -3910.8808527465444, 13027.516777528932, 15562.201570798938, 19111.290967413905, 20918.85016506979, 12986.044497261704, -4571.179066419911, -2477.1252905226866, 14284.202191805522, 14876.986838074608, 15241.221850420721]","[Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00')]"
Brazil,2022-07-30,"[22889.0, 20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0, 0.0, 44736.0, 21039.0, 18270.0]","[24400.462908865255, 5956.812699351687, 8077.106592191491, 25146.483707547377, 26332.42326035318, 27851.40804038743, 28118.426791210863, 19429.124390727404, 1720.486008743217, 3789.95920828449, 20784.847074709818, 22331.57833581078, 24344.20653678516, 24529.010746463122, 14835.15480355102, -4369.908122466917, -3399.2275963899156, 13536.709921376942, 16046.4234501172, 19576.376786115394, 21430.014596048022, 13445.5883043254, -4107.074047093749, -2017.6543543868029, 14719.957163626383, 15267.754856589565, 15613.59920377544, 14522.297729621214]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00')]"
Brazil,2022-07-31,"[20313.0, 22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0, 0.0, 44736.0, 21039.0, 18270.0, 0.0]","[6039.734481126741, 8164.480770113867, 25237.734263959996, 26420.034309410825, 27933.65040772402, 28193.100410725514, 19486.107247927153, 1786.0577403563875, 3852.830913136935, 20843.05295559383, 22379.489176968706, 24383.963760596205, 24561.381074973306, 14849.96013761056, -4349.006792404136, -3386.13235381139, 13539.72934505087, 16035.698355883113, 19556.021884209735, 21400.532198107765, 13394.208250858745, -4159.484637558409, -2085.7311554766748, 14635.476124736744, 15164.970112881942, 15496.405392563925, 14388.864721378277, 5122.286873867279]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00')]"
Brazil,2022-08-01,"[22064.0, 34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0, 0.0, 44736.0, 21039.0, 18270.0, 0.0, 0.0]","[8934.71444909024, 25949.28313284301, 27069.78528730579, 28564.15964046144, 28845.137450249844, 20169.544012394792, 2587.3028524442234, 4531.801565097874, 21495.18114434609, 23014.947549878743, 25023.46890922931, 25206.607018522773, 15485.575561546319, -3629.706375252783, -2794.0938392870376, 14123.586232807153, 16620.08724117567, 20141.165544415915, 21973.167473406796, 13948.020473434934, -3504.395758720657, -1520.7185096597823, 15222.508035765253, 15755.190409134932, 16069.230400595756, 14940.929084335385, 5686.130314435559, -10909.574827807824]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00')]"
Brazil,2022-08-02,"[34464.0, 33633.0, 40433.0, 29976.0, 16703.0, 7198.0, 17409.0, 30220.0, 0.0, 58579.0, 23552.0, 0.0, 0.0, 30109.0, 23040.0, 21927.0, 22167.0, 18863.0, 0.0, 0.0, 20627.0, 0.0, 44736.0, 21039.0, 18270.0, 0.0, 0.0, 28296.0]","[25900.213824185434, 26938.024621382465, 28344.586349737467, 28577.142791205646, 19894.01749035513, 2312.97953141572, 4336.562234246536, 21152.961288643113, 22625.412397497934, 24595.166227181675, 24757.40525148576, 15017.477920458838, -4132.453391767645, -3245.1137189960755, 13529.323163356847, 16006.98756490837, 19515.7192214742, 21330.88653724338, 13274.35798521718, -4216.052183288484, -2154.9849470842564, 14493.498306902287, 15051.450264309224, 15370.268048132786, 14219.377716931667, 4932.644705547338, -11669.672335285646, -7691.154013507883]","[Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00')]"
