country,forecast_origin,true_values,predictions,forecast_dates
Germany,2022-07-24,"[0.0, 92011.0, 145472.0, 121780.0, 104126.0, 84798.0, 0.0, 0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0]","[65553.75673812802, 124465.23554397357, 103675.98515227846, 110849.52153445159, 113448.67202042782, 109951.40711373858, 61166.87294157519, 63908.595798796356, 123060.43522635776, 99092.71297734023, 111157.10956855443, 114252.71664424105, 108352.75892959048, 59069.23386924821, 62982.51785256862, 124894.75800594913, 98868.48006543354, 110995.81594327308, 109143.48719874799, 108691.66432950637, 60198.15517235296, 64442.03126570153, 124845.19105477964, 93815.03665203787, 105469.28419635714, 109950.61937262613, 108439.79511908532, 62857.24575450835]","[Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00')]"
Germany,2022-07-25,"[92011.0, 145472.0, 121780.0, 104126.0, 84798.0, 0.0, 0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0]","[117744.98784767627, 97149.73576821465, 104609.46863470161, 107236.73469829427, 103552.98054359792, 54668.97794840214, 56742.79117440609, 116300.00686363157, 92412.65050116503, 104518.06633743827, 107550.18214766006, 101597.25261237484, 52462.9665128943, 55916.87111411766, 118288.49201678904, 92320.74391276712, 104445.84026028724, 102629.15548664771, 102201.77284612383, 53939.966243663526, 57680.93296196167, 118413.56464412813, 87367.05883111643, 99030.01337896535, 103600.97248633564, 102202.88046359444, 56725.4534826223, 62459.641278682284]","[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00')]"
Germany,2022-07-26,"[145472.0, 121780.0, 104126.0, 84798.0, 0.0, 0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0]","[98549.26579138215, 106148.81356743907, 108982.27739887973, 105452.75388869618, 56511.96037031448, 58704.141793835406, 118211.43786000728, 94645.02696347848, 106878.6345810379, 110030.51806578696, 104151.20208665432, 54962.548917612134, 58590.352536235296, 120962.94361915499, 95264.31051766484, 107448.82102227281, 105644.11191727416, 105329.20297815422, 57035.19933132339, 60952.00720405813, 121622.20437006811, 90712.7931076524, 102358.30557329138, 106972.21117821387, 105667.7391488277, 60150.67727419141, 65979.38915240613, 124797.98854236171]","[Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00')]"
Germany,2022-07-27,"[121780.0, 104126.0, 84798.0, 0.0, 0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0, 60411.0]","[106811.00286215123, 109377.98508643702, 105563.16910925633, 56551.20773153176, 58658.23981050656, 118130.14766830421, 94821.44638932096, 106589.38849909621, 109569.37753571663, 103568.90507698382, 54403.83870535049, 57913.86741818644, 120131.01813695773, 94614.91139102764, 106337.93339329628, 104465.0297248815, 104072.64198691292, 55801.72796122156, 59550.91752140751, 120051.1382402826, 89414.37376706536, 100733.60467319576, 105365.49406213085, 104026.73147365874, 58491.22293587707, 64143.717327119884, 122923.65820655017, 93766.12465203328]","[Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00')]"
Germany,2022-07-28,"[104126.0, 84798.0, 0.0, 0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0, 60411.0, 52939.0]","[112103.45138513847, 108294.45626462257, 59285.32172557366, 61507.59119529558, 121113.99442229711, 98053.51497939436, 109944.95233327473, 112859.61931068845, 106891.96792482912, 57751.88801904878, 61362.66376736283, 123654.8523188317, 98317.76007502728, 110107.34345943507, 108154.7833341619, 107779.90091746113, 59515.040839573536, 63316.6770397308, 123828.67686947345, 93326.36883245944, 104693.00801706278, 109241.98037436673, 107934.91661298722, 62395.20019831777, 68076.24934790342, 126856.54406665867, 97839.14263195374, 102315.99857402849]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00')]"
Germany,2022-07-29,"[84798.0, 0.0, 0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0, 60411.0, 52939.0, 49201.0]","[107760.36262035044, 58728.829409614606, 60991.45296979827, 120632.69999180846, 97472.25304779767, 109380.81242745741, 112250.49387217533, 106352.77027123653, 57162.08620315014, 60798.177676221494, 123138.87260449602, 97701.87757782434, 109531.27914709476, 107513.19096136426, 107245.77584762665, 58928.8190972622, 62758.176449562576, 123320.61784107814, 92698.79776646852, 104103.00464467252, 108607.2968887045, 107358.46921982271, 61744.44358219282, 67441.71897917261, 126252.54008741798, 97122.3520728552, 101574.75273577418, 103178.55054861381]","[Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00')]"
Germany,2022-07-30,"[0.0, 0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0, 60411.0, 52939.0, 49201.0, 37343.0]","[55664.239456238305, 57954.921385399204, 117608.18083074175, 94376.38470946427, 106215.67710345566, 108990.19211984468, 102854.0646636255, 53802.53509018408, 57450.22445742252, 119758.82599559578, 94228.89196344107, 106033.65386048374, 104006.60252077965, 103595.78923240908, 55461.66204503947, 59303.117831582815, 119829.08298443166, 89138.32642229412, 100575.39040001079, 105124.56996854323, 103730.18432991393, 58261.32394543508, 63936.977626491775, 122720.21413922752, 93579.06190225626, 98108.47592340247, 99746.70798886583, 97380.65952159457]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00')]"
Germany,2022-07-31,"[0.0, 66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0, 60411.0, 52939.0, 49201.0, 37343.0, 0.0]","[53800.36666314313, 113686.23884026575, 90509.11956448296, 102490.15017753579, 105205.62226916164, 98941.68087175147, 49326.72122675285, 53438.883506489285, 115933.60328407631, 90294.93822407183, 102167.5582153968, 100097.10079522744, 99794.81310704377, 51274.4665932622, 55652.24208402362, 116322.9641152455, 85437.23043288694, 96970.28898884814, 101625.13726265439, 100363.23252259538, 54460.42144811854, 60532.19604163216, 119307.20239196582, 89973.12673893939, 94612.68837674674, 96397.31739359551, 94079.55676821856, 57339.37979931459]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00')]"
Germany,2022-08-01,"[66866.0, 102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0, 60411.0, 52939.0, 49201.0, 37343.0, 0.0, 0.0]","[110830.37226189337, 88014.3237661269, 100192.95664751921, 102977.14748521689, 96650.11998544142, 46984.26192408331, 50681.448104708805, 113637.80147493366, 88262.92021013955, 100179.31311483153, 98140.80481184761, 97818.68142353, 49403.7366098066, 53487.25219495358, 114633.63949546733, 83957.75360966419, 95465.78247209548, 100131.75339140103, 98944.69723695607, 53194.3389083048, 58924.6262996391, 118068.68014859337, 88827.76575004653, 93460.89811258463, 95312.73053014802, 93071.7009884643, 56284.693257960855, 60840.15295024873]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00')]"
Germany,2022-08-02,"[102698.0, 87681.0, 74645.0, 59506.0, 0.0, 0.0, 49617.0, 78698.0, 72737.0, 59888.0, 49839.0, 0.0, 0.0, 45856.0, 63745.0, 67390.0, 58685.0, 46724.0, 0.0, 0.0, 36344.0, 60411.0, 52939.0, 49201.0, 37343.0, 0.0, 0.0, 33228.0]","[83338.3709550912, 95705.02642470205, 98643.33898667959, 92329.09801945189, 42490.217373190804, 46049.63622366947, 108637.59153560617, 83384.79848935513, 95432.92080318846, 93390.68505387532, 93087.61266791091, 44594.79233464462, 48725.363680391725, 109656.96196699454, 79126.09481653379, 90739.3395997337, 95422.64358321515, 94254.29450085679, 48504.14912331829, 54330.46281854573, 113204.47848236575, 84040.36712419867, 88670.33260649489, 90566.36356067867, 88451.85397884433, 51819.878464034926, 56382.37103966119, 110916.69935475569]","[Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00'), Timestamp('2022-08-09 00:00:00'), Timestamp('2022-08-10 00:00:00'), Timestamp('2022-08-11 00:00:00'), Timestamp('2022-08-12 00:00:00'), Timestamp('2022-08-13 00:00:00'), Timestamp('2022-08-14 00:00:00'), Timestamp('2022-08-15 00:00:00'), Timestamp('2022-08-16 00:00:00'), Timestamp('2022-08-17 00:00:00'), Timestamp('2022-08-18 00:00:00'), Timestamp('2022-08-19 00:00:00'), Timestamp('2022-08-20 00:00:00'), Timestamp('2022-08-21 00:00:00'), Timestamp('2022-08-22 00:00:00'), Timestamp('2022-08-23 00:00:00'), Timestamp('2022-08-24 00:00:00'), Timestamp('2022-08-25 00:00:00'), Timestamp('2022-08-26 00:00:00'), Timestamp('2022-08-27 00:00:00'), Timestamp('2022-08-28 00:00:00'), Timestamp('2022-08-29 00:00:00')]"
