country,forecast_origin,true_values,predictions,forecast_dates
United Kingdom,2022-07-24,"[0.0, 0.0, 205.0, 92461.0, 0.0, 462.0, 9.0]","[6326.519423135142, 23394.234138791442, 13895.034102457212, 17405.296159200054, 13378.773685193686, 11183.827412459983, 6127.882173347167]","[Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
United Kingdom,2022-07-25,"[0.0, 205.0, 92461.0, 0.0, 462.0, 9.0, 0.0]","[23048.12984549983, 13572.88457536582, 17110.445581147433, 13094.29662326899, 10892.287672803734, 5819.56733770995, 7588.972737801678]","[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
United Kingdom,2022-07-26,"[205.0, 92461.0, 0.0, 462.0, 9.0, 0.0, 36.0]","[12545.720353944054, 16216.065175017973, 12310.693236042982, 10162.964973042734, 5110.26655490552, 6838.350128046568, 26674.418391099367]","[Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
United Kingdom,2022-07-27,"[92461.0, 0.0, 462.0, 9.0, 0.0, 36.0, 329.0]","[14875.513530954933, 10995.560905745826, 8883.007278420955, 3828.3321766776207, 5533.743819166677, 25322.95516797364, 16167.804419758748]","[Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
United Kingdom,2022-07-28,"[0.0, 462.0, 9.0, 0.0, 36.0, 329.0, 65034.0]","[15844.263662245048, 13401.65295957839, 8005.772261749895, 9566.99427093183, 29472.1503833964, 20501.046093289508, 23306.25570327375]","[Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00')]"
United Kingdom,2022-07-29,"[462.0, 9.0, 0.0, 36.0, 329.0, 65034.0, 379.0]","[11503.784820900364, 6120.897829251724, 7732.339302339007, 27622.521078207625, 18592.2005781977, 21343.59008256633, 14077.64046956975]","[Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00')]"
United Kingdom,2022-07-30,"[9.0, 0.0, 36.0, 329.0, 65034.0, 379.0, 328.0]","[5312.550903838728, 6962.972979504821, 26892.8032293466, 17874.34741659064, 20606.523444553062, 13308.867526153943, 8549.228341284692]","[Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00')]"
United Kingdom,2022-07-31,"[0.0, 36.0, 329.0, 65034.0, 379.0, 328.0, 9.0]","[7247.732229598769, 27236.68595476965, 18271.399921777593, 21026.544998208657, 13756.066761511795, 9002.772885860024, 1021.7051441180683]","[Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00')]"
United Kingdom,2022-08-01,"[36.0, 329.0, 65034.0, 379.0, 328.0, 9.0, 0.0]","[26646.71332118502, 17698.186309007855, 20489.218767435155, 13196.322073469575, 8447.095741511714, 446.3725483978815, -1436.8429375154465]","[Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00')]"
United Kingdom,2022-08-02,"[329.0, 65034.0, 379.0, 328.0, 9.0, 0.0, 0.0]","[15513.701693465251, 18390.460359624703, 11203.250525798572, 6469.638836757732, -1576.1037713509795, -3545.7210703311575, 12359.616573302428]","[Timestamp('2022-08-02 00:00:00'), Timestamp('2022-08-03 00:00:00'), Timestamp('2022-08-04 00:00:00'), Timestamp('2022-08-05 00:00:00'), Timestamp('2022-08-06 00:00:00'), Timestamp('2022-08-07 00:00:00'), Timestamp('2022-08-08 00:00:00')]"
