country,forecast_origin,true_values,predictions,forecast_dates
United Kingdom,2020-01-22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0]","[-10027.176644755027, -10023.913106720345, -10019.912818752548, -10023.06933555733, -10020.526239356277, -9959.240258644742, 5916.628685409965, -9467.504561818088, -9456.108146108327, -9459.848872315095, -9462.901327365375, -9453.215378494187, -9405.682691517835, 4225.709031351224]","[Timestamp('2020-01-22 00:00:00'), Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00')]"
United Kingdom,2020-01-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0]","[-6755.901306626804, -6752.451792978713, -6755.306008642817, -6752.789805449367, -6691.195165585475, 9192.739526207484, -4681.038013264232, -5972.738683566933, -5977.01984239343, -5979.780528462324, -5970.112029099115, -5922.281891343042, 7718.099987386873, -4649.961771925675]","[Timestamp('2020-01-23 00:00:00'), Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00')]"
United Kingdom,2020-01-24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0]","[-5011.183105610992, -5013.882257810973, -5011.377664955014, -4949.770785551237, 10931.970666319288, -3144.1193965612947, -3132.8920635179848, -4104.3368699956745, -4106.947434503276, -4097.270942001572, -4049.4504430719453, 9588.425439508332, -2907.4649694950685, -2904.0339917813653]","[Timestamp('2020-01-24 00:00:00'), Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00')]"
United Kingdom,2020-01-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0, 0.0]","[-3905.897815080844, -3903.4017162164428, -3841.6407943280024, 12043.919115384806, -2157.1680749031693, -2145.8869143752704, -2151.189264157758, -2906.3128649687515, -2896.6476852790815, -2848.670570466956, 10793.872957145943, -1784.0280198802807, -1780.5415680276942, -1778.2868118077076]","[Timestamp('2020-01-25 00:00:00'), Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00')]"
United Kingdom,2020-01-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0, 0.0, 4.0]","[-3126.0767516708265, -3064.2858015975644, 12814.061261202549, -1458.8490748781712, -1447.6196976576568, -1452.9923999663574, -1454.9818361278276, -2048.3967430704865, -2000.3803186582686, 11633.906524763814, -986.7095126268074, -983.2604983465384, -981.0864738577603, -983.0106772241611]","[Timestamp('2020-01-26 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00')]"
United Kingdom,2020-01-27,"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0, 0.0, 4.0, 1.0]","[-2505.9305224406457, 13382.798205813335, -947.4085444979946, -936.0683439107304, -941.505393525929, -943.4747717240022, -934.2947675345242, -1381.376259212947, 12264.590470881787, -397.1161591077759, -393.57409124321305, -391.4477615889779, -393.35268850337013, -391.83337978302]","[Timestamp('2020-01-27 00:00:00'), Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00'), Timestamp('2020-02-09 00:00:00')]"
United Kingdom,2020-01-28,"[0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0, 0.0, 4.0, 1.0, 0.0]","[13803.380812847197, -557.6023472136608, -546.2000828034356, -551.6860993844273, -553.6203717151695, -544.4338444675394, -508.31844228350803, 12735.5086466921, 54.27051541189871, 57.86231701818945, 59.95136616122541, 58.0804803920269, 59.59582819293534, 102.19425413701981]","[Timestamp('2020-01-28 00:00:00'), Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00'), Timestamp('2020-02-09 00:00:00'), Timestamp('2020-02-10 00:00:00')]"
United Kingdom,2020-01-29,"[0.0, 0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0, 0.0, 4.0, 1.0, 0.0, 1.0]","[-2626.1440272594646, -2614.8006227190726, -2620.2166088694476, -2622.1714465947807, -2612.9611118865287, -2577.6896885311107, 7947.5177990958155, -2346.1179693158183, -2342.5602367589713, -2340.43189971824, -2342.3207923129585, -2340.757704077779, -2299.0440839506246, 7983.96450591129]","[Timestamp('2020-01-29 00:00:00'), Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00'), Timestamp('2020-02-09 00:00:00'), Timestamp('2020-02-10 00:00:00'), Timestamp('2020-02-11 00:00:00')]"
United Kingdom,2020-01-30,"[0.0, 2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0, 0.0, 4.0, 1.0, 0.0, 1.0, 1.0]","[-2233.8519081387813, -2239.2918348407748, -2241.234381691023, -2232.0174585869586, -2196.768659186047, 8327.473463065671, -1464.6332953322537, -1893.6035206358124, -1891.4929795551745, -1893.3699274744708, -1891.8059556192532, -1850.1104211770028, 8431.540169173048, -1108.3569362008714]","[Timestamp('2020-01-30 00:00:00'), Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00'), Timestamp('2020-02-09 00:00:00'), Timestamp('2020-02-10 00:00:00'), Timestamp('2020-02-11 00:00:00'), Timestamp('2020-02-12 00:00:00')]"
United Kingdom,2020-01-31,"[2.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.0, 0.0, 4.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[-1917.9197289472656, -1919.8303669316424, -1910.6050000421787, -1875.476644034974, 8642.941056879432, -1145.9900716064865, -1144.5727567970082, -1511.0265142309065, -1512.8724803257821, -1511.305849010487, -1469.7245404582623, 8805.52524212606, -730.7067768269728, -726.5729047706163]","[Timestamp('2020-01-31 00:00:00'), Timestamp('2020-02-01 00:00:00'), Timestamp('2020-02-02 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-04 00:00:00'), Timestamp('2020-02-05 00:00:00'), Timestamp('2020-02-06 00:00:00'), Timestamp('2020-02-07 00:00:00'), Timestamp('2020-02-08 00:00:00'), Timestamp('2020-02-09 00:00:00'), Timestamp('2020-02-10 00:00:00'), Timestamp('2020-02-11 00:00:00'), Timestamp('2020-02-12 00:00:00'), Timestamp('2020-02-13 00:00:00')]"
