country,forecast_origin,true_values,predictions,forecast_dates
Australia,2022-07-11,"[44724.0, 44415.0, 47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0]","[25137.096362362794, 25323.02359395804, 25365.133258632923, 25264.58652917775, 25373.805658611127, 25234.63072259729, 25485.010020431473, 25537.08367427135, 25567.535759767183, 25757.1383265653, 25874.22498737503, 25908.995424801225, 25821.622439978295, 25849.783608619702]","[Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
Australia,2022-07-12,"[44415.0, 47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0]","[25383.929346190565, 25489.590790735423, 25427.160697035135, 25264.957801318746, 25255.323604318946, 25475.2512460862, 25797.86861300869, 25764.547338370267, 25772.007828781472, 25806.960733736054, 25895.159310355124, 25811.65725947513, 25975.083094854715, 26143.00851008638]","[Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
Australia,2022-07-13,"[47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0]","[25497.171263013843, 25468.59468319111, 25375.586412549106, 25082.422368126223, 25440.745595184686, 25706.06492662022, 25905.32958379101, 25890.671400106097, 25730.738899956144, 25747.443447780424, 25730.017728969437, 25896.688045479856, 26156.902787319596, 26265.35766481098]","[Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
Australia,2022-07-14,"[38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0]","[25479.778528599745, 25403.006157521733, 25177.71738274326, 25258.6493410462, 25653.149226614158, 25799.58759773394, 25992.003714219714, 25823.553759871833, 25646.19195488833, 25538.3123255463, 25779.296455818345, 26053.62281881939, 26228.53763971958, 26329.60290952766]","[Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
Australia,2022-07-15,"[42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0]","[25362.197934347252, 25163.51051103759, 25302.885495284372, 25438.889058613247, 25716.163652771585, 25862.39919097238, 25910.090311285785, 25704.072975490064, 25409.36367325135, 25580.03080700705, 25921.62336723136, 26110.309838316047, 26283.748292105887, 26275.846227848757]","[Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
Australia,2022-07-16,"[38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0]","[25090.444640724392, 25244.984490608167, 25457.15924249637, 25460.807300879154, 25729.823054959874, 25741.405502030346, 25740.050562345215, 25418.345556276287, 25416.97112021598, 25654.87061662981, 25900.207850913223, 26104.632545793294, 26169.4635628849, 26117.222937706672]","[Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
Australia,2022-07-17,"[37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0]","[25296.292607307652, 25545.316027206816, 25624.6785299516, 25619.610943621337, 25745.912576978386, 25691.56345445544, 25591.535626689343, 25589.02414620644, 25649.25916121787, 25815.451674829223, 26075.08160038603, 26135.550642352428, 26162.49776191996, 25892.09223654413]","[Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
Australia,2022-07-18,"[51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0]","[25595.27358947162, 25726.014595148597, 25781.515542570938, 25643.81760621975, 25708.306997436262, 25568.057652863572, 25816.515109994507, 25843.479140017633, 25849.363282148126, 26028.40802948553, 26133.840872103046, 26154.178599205952, 26003.33095356956, 26063.24864351306]","[Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
Australia,2022-07-19,"[48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0]","[25570.09806595424, 25639.206840047966, 25563.741129222624, 25354.394614723347, 25350.43362973796, 25559.388823833277, 25810.94864459382, 25782.465375624663, 25761.243619296085, 25767.02086573073, 25846.623388723543, 25717.327095763656, 25884.675417503448, 26064.075532952254]","[Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
Australia,2022-07-20,"[54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0, 43942.0]","[25386.787728585958, 25327.855134374135, 25180.574966914417, 24910.055804358963, 25244.757494422636, 25460.41676346711, 25628.578962929252, 25583.70997310922, 25410.790434337185, 25377.52538702569, 25316.291381998042, 25507.422574230794, 25779.14085449819, 25874.665582476962]","[Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
