country,forecast_origin,true_values,predictions,forecast_dates
Australia,2022-07-11,"[44724.0, 44415.0, 47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0]","[328.529469601587, 328.911333362396, 329.0917280842747, 329.3216584228099, 329.6176243550626, 329.81774167423, 329.9326167942679, 330.0198009779893, 329.88816978818573, 330.0246406794583, 330.1079034292717, 330.2190724092591, 330.3772728045668, 330.6339044902082]","[Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
Australia,2022-07-12,"[44415.0, 47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0]","[328.5140896744067, 328.89595343521574, 329.07634815709446, 329.30627849562967, 329.6022444278824, 329.80236174704976, 329.9172368670877, 330.00442105080907, 329.8727898610055, 330.009260752278, 330.09252350209147, 330.2036924820789, 330.3618928773866, 330.61852456302796]","[Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
Australia,2022-07-13,"[47095.0, 38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0]","[328.5132273819946, 328.89509114280366, 329.0754858646823, 329.30541620321753, 329.60138213547026, 329.8014994546376, 329.91637457467556, 330.00355875839693, 329.8719275685934, 330.00839845986593, 330.09166120967933, 330.20283018966677, 330.36103058497446, 330.6176622706158]","[Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
Australia,2022-07-14,"[38769.0, 42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0]","[328.51566748608525, 328.8975312468943, 329.077925968773, 329.30785630730816, 329.6038222395609, 329.8039395587283, 329.9188146787662, 330.0059988624876, 329.874367672684, 330.01083856395655, 330.09410131376995, 330.2052702937574, 330.36347068906514, 330.6201023747065]","[Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
Australia,2022-07-15,"[42723.0, 38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0]","[328.5195464152346, 328.9014101760436, 329.0818048979223, 329.3117352364575, 329.6077011687102, 329.8078184878776, 329.9226936079155, 330.00987779163694, 329.8782466018333, 330.0147174931059, 330.0979802429193, 330.2091492229067, 330.36734961821446, 330.6239813038558]","[Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
Australia,2022-07-16,"[38914.0, 37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0]","[328.5278935235353, 328.9097572843443, 329.09015200622304, 329.3200823447582, 329.616048277011, 329.81616559617834, 329.9310407162163, 330.01822489993765, 329.8865937101341, 330.0230646014066, 330.10632735122, 330.2174963312074, 330.3756967265152, 330.63232841215654]","[Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
Australia,2022-07-17,"[37787.0, 51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0]","[328.55267007882856, 328.9345338396376, 329.1149285615163, 329.34485890005146, 329.64082483230425, 329.8409421514716, 329.95581727150955, 330.0430014552309, 329.91137026542737, 330.04784115669986, 330.1311039065133, 330.2422728865007, 330.40047328180844, 330.6571049674498]","[Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
Australia,2022-07-18,"[51973.0, 48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0]","[328.5115589971451, 328.8934227579541, 329.0738174798328, 329.303747818368, 329.59971375062077, 329.7998310697881, 329.91470618982606, 330.00189037354744, 329.8702591837439, 330.0067300750164, 330.08999282482984, 330.2011618048172, 330.35936220012496, 330.61599388576633]","[Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
Australia,2022-07-19,"[48902.0, 54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0]","[328.51145587936645, 328.8933196401755, 329.0737143620542, 329.30364470058936, 329.5996106328421, 329.7997279520095, 329.9146030720474, 330.0017872557688, 329.8701560659652, 330.00662695723776, 330.08988970705116, 330.2010586870386, 330.3592590823463, 330.6158907679877]","[Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
Australia,2022-07-20,"[54989.0, 51827.0, 46310.0, 38046.0, 32789.0, 49626.0, 49460.0, 47075.0, 44170.0, 50042.0, 31846.0, 27510.0, 37443.0, 43942.0]","[328.5114408965373, 328.89330465734633, 329.073699379225, 329.3036297177602, 329.59959565001293, 329.7997129691803, 329.9145880892182, 330.0017722729396, 329.87014108313605, 330.0066119744086, 330.089874724222, 330.20104370420944, 330.3592440995171, 330.61587578515855]","[Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
