country,forecast_origin,true_values,predictions,forecast_dates
Brazil,2022-06-27,"[107150.0, 76638.0, 0.0, 151064.0, 76045.0, 37784.0, 18575.0, 45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0]","[32658.770841876907, 32753.50404350249, 32848.51662747272, 32848.516558154464, 32943.32471350976, 33038.128726884104, 33092.804965164796, 33116.621587966045, 33183.41748611586, 33277.20429206087, 33371.38224675851, 33466.13472199455, 33561.06047209506, 33624.72636402052, 33653.45018921212, 33717.61762984536, 33812.54455916528, 33907.23752826072, 34002.207473136805, 34097.43071607482, 34154.59294849994, 34164.01340699609, 34218.367508380805, 34304.26820761581, 34387.63533373879, 34462.435776861945, 34534.2589223962, 34534.258763750535]","[Timestamp('2022-06-27 00:00:00'), Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
Brazil,2022-06-28,"[76638.0, 0.0, 151064.0, 76045.0, 37784.0, 18575.0, 45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0]","[32658.770842004815, 32753.504043343513, 32848.51662730875, 32848.51655827949, 32943.32471322237, 33038.12872675784, 33092.804965298026, 33116.62158802042, 33183.41748590397, 33277.20429206557, 33371.382246598565, 33466.134721773094, 33561.06047190739, 33624.726364046284, 33653.45018930139, 33717.617629774904, 33812.54455901077, 33907.23752809991, 34002.20747292921, 34097.43071587567, 34154.592948530364, 34164.01340715092, 34218.36750834252, 34304.26820748145, 34387.635333612336, 34462.435776705395, 34534.25892224938, 34534.258763971935]","[Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
Brazil,2022-06-29,"[0.0, 151064.0, 76045.0, 37784.0, 18575.0, 45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0]","[32658.770842003312, 32753.504043338373, 32848.51662730347, 32848.51655815097, 32943.32471322465, 33038.12872689296, 33092.804965295814, 33116.621587888054, 33183.41748603572, 33277.204292063194, 33371.38224653787, 33466.134721730814, 33561.06047197105, 33624.72636408396, 33653.45018929638, 33717.6176297757, 33812.544559008384, 33907.237528052676, 34002.20747287977, 34097.430715926566, 34154.59294857374, 34164.01340714857, 34218.367508340154, 34304.268207479035, 34387.635333556354, 34462.435776638835, 34534.258922313944, 34534.2587640163]","[Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
Brazil,2022-06-30,"[151064.0, 76045.0, 37784.0, 18575.0, 45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0]","[32658.770841963575, 32753.50404330007, 32848.516627214776, 32848.51655818973, 32943.324713319416, 33038.12872685502, 33092.804965202755, 33116.62158797993, 33183.41748599691, 33277.20429200008, 33371.38224651593, 33466.13472177732, 33561.060471970864, 33624.726364045084, 33653.450189261086, 33717.61762973735, 33812.54455895093, 33907.23752801983, 34002.20747291698, 34097.43071593257, 34154.59294853572, 34164.01340711056, 34218.367508301824, 34304.26820741792, 34387.63533352115, 34462.43577669654, 34534.25892232784, 34534.25876398407]","[Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
Brazil,2022-07-01,"[76045.0, 37784.0, 18575.0, 45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0]","[32658.77084194738, 32753.504043263656, 32848.51662723209, 32848.516558228446, 32943.32471330216, 33038.128726815696, 33092.804965240466, 33116.62158796267, 33183.41748597094, 33277.20429199133, 33371.38224653454, 33466.134721776296, 33561.06047195426, 33624.72636402873, 33653.45018924379, 33717.61762971297, 33812.54455893748, 33907.2375280349, 34002.20747291817, 34097.430715915274, 34154.59294851843, 34164.01340709323, 34218.36750827588, 34304.26820740369, 34387.63533354509, 34462.43577670122, 34534.258922313136, 34534.25876396887]","[Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
Brazil,2022-07-02,"[37784.0, 18575.0, 45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0]","[32658.770841926696, 32753.504043264504, 32848.51662725342, 32848.51655822762, 32943.32471328101, 33038.128726836825, 33092.80496523958, 33116.62158795304, 33183.417485964215, 33277.20429200124, 33371.38224654015, 33466.13472177534, 33561.06047195358, 33624.72636402789, 33653.45018923612, 33717.61762970516, 33812.54455894552, 33907.237528041354, 34002.207472917304, 34097.43071591444, 34154.59294851759, 34164.013407084174, 34218.36750826548, 34304.2682074141, 34387.63533355188, 34462.43577670001, 34534.25892231072, 34534.2587639678]","[Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
Brazil,2022-07-03,"[18575.0, 45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0]","[32658.77084192477, 32753.5040432869, 32848.51662725536, 32848.51655820563, 32943.32471330312, 33038.12872683866, 33092.80496523098, 33116.62158794545, 33183.41748597461, 33277.20429200909, 33371.3822465418, 33466.13472177744, 33561.06047195551, 33624.72636402164, 33653.45018922781, 33717.61762971358, 33812.54455895415, 33907.23752804318, 34002.20747291929, 34097.430715916365, 34154.59294850976, 34164.01340707244, 34218.36750827552, 34304.2682074226, 34387.635333552855, 34462.435776699414, 34534.2589223112, 34534.25876395046]","[Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
Brazil,2022-07-04,"[45501.0, 74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0]","[32658.770841937203, 32753.504043275072, 32848.51662724356, 32848.516558217474, 32943.324713291186, 33038.128726826246, 33092.804965229, 33116.62158795195, 33183.41748596973, 33277.204291996786, 33371.38224653029, 33466.134721765615, 33561.06047194323, 33624.726364017384, 33653.4501892329, 33717.61762970964, 33812.54455894209, 33907.23752803147, 34002.20747290745, 34097.430715904266, 34154.59294850715, 34164.013407082246, 34218.36750827407, 34304.26820741299, 34387.6353335439, 34462.43577669259, 34534.258922304805, 34534.25876396212]","[Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
Brazil,2022-07-05,"[74591.0, 77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0]","[32658.77084193704, 32753.50404327492, 32848.516627243116, 32848.516558217285, 32943.324713290865, 33038.12872682643, 33092.804965229545, 33116.621587951755, 33183.417485969425, 33277.20429199708, 33371.382246530084, 33466.1347217651, 33561.06047194316, 33624.726364017755, 33653.45018923286, 33717.617629709195, 33812.54455894212, 33907.237528031255, 34002.207472907096, 34097.43071590407, 34154.59294850738, 34164.01340708231, 34218.36750827387, 34304.26820741279, 34387.63533354369, 34462.43577669224, 34534.25892230462, 34534.25876396246]","[Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
Brazil,2022-07-06,"[77166.0, 72050.0, 71114.0, 43657.0, 21963.0, 44043.0, 64048.0, 72224.0, 65379.00000000001, 107959.0, 40149.0, 10852.0, 38697.0, 57999.0, 56480.0, 51433.0, 49798.99999999999, 0.0, 35830.0, 30609.0, 37914.0, 44514.0, 44592.0, 41713.0, 22889.0, 20313.0, 22064.0, 34464.0]","[32658.770841937087, 32753.504043274705, 32848.51662724312, 32848.5165582172, 32943.32471329089, 33038.128726826755, 33092.804965229516, 33116.62158795164, 33183.41748596951, 33277.20429199706, 33371.3822465298, 33466.1347217651, 33561.06047194342, 33624.72636401776, 33653.450189232644, 33717.61762970942, 33812.54455894209, 33907.23752803111, 34002.20747290699, 34097.430715904215, 34154.59294850747, 34164.01340708228, 34218.36750827385, 34304.26820741276, 34387.63533354354, 34462.43577669212, 34534.258922304776, 34534.258763962556]","[Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
