country,forecast_origin,true_values,predictions,forecast_dates
China,2022-06-27,"[1991.9999999999998, 1808.0, 2157.0, 2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0]","[955.3905332196169, 958.35246198793, 956.5028953343381, 961.1173179837555, 961.1965660980479, 961.9343695194264, 964.6449569126463, 963.0915715054786, 964.273411608362, 965.1116762257973, 965.8972729857679, 968.2009147553421, 970.0431941852959, 972.6153132067293, 960.3023630113265, 962.5960613780437, 964.5559837300708, 965.9639343768683, 967.168504144396, 968.8242982405372, 456.5061928857501, 461.74690834807683, 467.8354786628605, 474.8510031590083, 481.17022881039674, 484.6855253696416, 491.1880171729197, 497.8545662586342]","[Timestamp('2022-06-27 00:00:00'), Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
China,2022-06-28,"[1808.0, 2157.0, 2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0]","[912.481457661017, 915.4754726158801, 913.464842666234, 918.3130909648212, 918.0391966850204, 918.9415864073949, 921.4985690293507, 920.0381541584843, 921.4061805581382, 921.9797249355381, 922.6419472146348, 924.973374594913, 926.8725036835996, 929.4016371129841, 918.4318176364388, 920.786010438358, 922.8397125955706, 924.480322467062, 925.8579891495883, 927.835242049232, 429.5841607970118, 434.27284265968456, 439.76794915163765, 446.14200283037934, 452.0414070563714, 455.2358148805084, 461.2064209953591, 467.4577634040466]","[Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
China,2022-06-29,"[2157.0, 2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0]","[874.1454063300681, 877.151619942207, 875.1787225068675, 880.0184489213692, 879.5798063309368, 880.5717597368978, 883.0600294619562, 881.7607917044126, 883.0573758985719, 883.6017326002603, 884.0555732007656, 886.6591541390395, 888.3634517046111, 891.1249206393546, 881.2139186609538, 883.6527837530405, 885.744872690202, 887.5879415124941, 889.266611280242, 891.3237746331913, 406.3798992460749, 410.6638113950774, 415.7146408144127, 421.6043342132221, 427.0029702681277, 429.992927079941, 435.5744043388627, 441.24334873771824]","[Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
China,2022-06-30,"[2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0]","[847.4607489129368, 850.7175191832578, 848.5790630568578, 853.4937537291439, 852.8454242807478, 853.8374576068762, 856.4559826167546, 855.0139301740061, 856.5375602320096, 856.9723795066186, 857.3552016442271, 859.9294130985243, 861.7023174115085, 864.5581591479122, 855.5142790508722, 858.0550130419913, 860.0895168516622, 862.2804289368952, 864.075814668306, 866.4387948728682, 386.79554921105614, 390.77596039530385, 395.4898572068155, 400.8405175146368, 405.8573745972872, 408.74177585357205, 413.79047639269874, 419.00968978487776]","[Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
China,2022-07-01,"[2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0]","[830.8324490147105, 834.1367397279755, 831.8467673574087, 836.8793384280697, 835.9128296751712, 837.1347314780681, 839.464951096439, 838.2104250016075, 839.8405957442831, 840.2226971112409, 840.2892305459005, 843.0276704016878, 844.8113462958817, 847.6273858392475, 839.4282133262556, 841.8855533796898, 844.1078868348885, 846.4173459914889, 848.5095757200858, 851.1673428076026, 370.15163340831805, 373.8779128567869, 378.1767439310878, 383.0774385711477, 387.78949047819276, 390.4450166923905, 395.05853174100065, 399.9334983505765]","[Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
China,2022-07-02,"[2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0]","[812.1793565140383, 815.482968347228, 813.0832720479128, 818.0831728962766, 817.1010763990432, 818.200973803117, 820.5961613244194, 819.4223304950117, 821.1549018257285, 821.4467353615179, 821.3507433939402, 824.2248969171405, 825.9240601392337, 828.8798243722449, 821.2801056808273, 823.8669581460658, 826.1700649785818, 828.8186650380447, 831.116929955992, 833.7531637969273, 354.3933221301041, 357.7776825817682, 361.750783843378, 366.2690631754462, 370.59930593265364, 373.06078703353546, 377.3331114571836, 381.8718025456838]","[Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
China,2022-07-03,"[2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0]","[804.487600234621, 807.9178565395554, 805.3224381763608, 810.5121725046262, 809.1628823313672, 810.4424190484108, 812.6757334745853, 811.6351854563278, 813.5520202146109, 813.6751908313097, 813.4724350097904, 816.3791559259203, 818.0389938698515, 820.9895540442075, 813.8812363972955, 816.745148525129, 819.1295419580965, 821.9609760915512, 824.3365847460614, 827.3277149920434, 339.2546728143525, 342.4214058657382, 346.0989355530256, 350.180253675168, 354.21485861430205, 356.568299715034, 360.56142634569807, 364.7713358831123]","[Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
China,2022-07-04,"[2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0, 5088.0]","[781.6904552714917, 785.0097309965142, 782.4999159185662, 787.509347221466, 786.0906527426797, 787.4589746023642, 789.6513932494481, 788.8446006513182, 790.6638759732907, 790.9738178573189, 790.5634156288031, 793.5768708151923, 795.2326056321798, 798.2478327921389, 791.9840309236276, 794.9031100757908, 797.5065089741472, 800.5147744807713, 803.1364078268367, 806.0879357975209, 321.3766225570733, 324.2787320306299, 327.5905204942354, 331.3135727339745, 335.0672503791107, 337.38660470254024, 341.0458641697908, 344.96641888402917]","[Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
China,2022-07-05,"[2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0, 5088.0, 4647.0]","[763.3968048251868, 766.9031334573101, 764.1834231868104, 769.2691673530334, 767.8160755853793, 769.2084265559652, 771.4217657871526, 770.5655895429314, 772.753485621055, 772.9897761661218, 772.4012921252778, 775.6019934560849, 777.2060124819959, 780.4944999467043, 774.6879688832344, 777.9132696260585, 780.5373854320378, 783.8330880236723, 786.4652570656364, 789.6464227800212, 305.29506852018227, 307.9279159013697, 310.985600320919, 314.37600730412186, 317.94695925294155, 320.1947745742836, 323.59618155274524, 327.3430040365503]","[Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
China,2022-07-06,"[3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0, 5088.0, 4647.0, 4587.0]","[761.5209378918917, 764.933757353091, 762.1658197338021, 767.3380033176013, 765.7641753482984, 767.1994750191625, 769.2388848546447, 768.7479594017218, 770.9754207523998, 771.1346883535167, 770.4592337873524, 773.6060216577832, 775.5118262681692, 778.6680686514671, 773.3632824167124, 776.5526156552555, 779.3821193875757, 782.6087413331752, 785.4176774605293, 788.7768423857018, 294.50751846201825, 296.981109223565, 299.7935942945988, 302.96464841495674, 306.3741709347414, 308.54979640060077, 311.7830596963556, 315.42692708711394]","[Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
