country,forecast_origin,true_values,predictions,forecast_dates
China,2022-06-27,"[1991.9999999999998, 1808.0, 2157.0, 2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0]","[788.747455604299, 787.3551379820051, 787.0423572494367, 786.0907329343291, 785.525848146477, 786.5677675046793, 787.2163442902419, 786.5994808502955, 786.0920748046256, 786.2503811788682, 787.8813790120864, 788.6610895667441, 789.0969818192413, 790.002102988426, 778.9059065316115, 778.9033164934416, 779.1822060410371, 779.3995420747297, 780.5125397822562, 781.7295392826032, 783.177920010324, 784.7443747150809, 786.0064721828242, 787.2134536827382, 788.4874579685517, 790.493599575219, 792.7463177747503, 793.7174869070732]","[Timestamp('2022-06-27 00:00:00'), Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
China,2022-06-28,"[1808.0, 2157.0, 2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0]","[763.7438959005884, 762.307639557321, 762.2285690267865, 761.1642281025731, 760.6292238649346, 761.908359826888, 762.5271516292215, 761.8601537668287, 761.3203854527987, 761.3379419473073, 763.0202388838055, 763.8557452988683, 764.1293187013482, 765.0316229534268, 754.2803546476975, 754.3249603809179, 754.8017277150103, 754.9975850746771, 756.385444023169, 757.8143617756788, 759.4262143348586, 761.2597452189525, 762.8605810479638, 764.2608706647969, 765.7992059550933, 768.3736653255679, 771.0210566005812, 772.3026681248028]","[Timestamp('2022-06-28 00:00:00'), Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
China,2022-06-29,"[2157.0, 2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0]","[747.6750153653868, 746.1490115625469, 746.4116517472937, 745.0535813196, 744.6740369541399, 746.1849702763188, 746.7735865437526, 746.1186227814493, 745.4904540099172, 745.3573657395928, 747.1278460858181, 748.129639668091, 748.1424066091939, 749.118742082705, 738.7896294467068, 738.8572916879691, 739.5895127711206, 739.7958422875873, 741.475393953253, 743.3016390742, 745.0543154647854, 747.3219532155886, 749.2067771889035, 750.8855689258979, 752.7689224396871, 755.9253976508612, 759.1098587908502, 760.7676206359486]","[Timestamp('2022-06-29 00:00:00'), Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
China,2022-06-30,"[2528.0, 2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0]","[742.5704210846134, 741.0411513846442, 741.557944055353, 739.9996205273283, 739.7776467526389, 741.4844730849442, 742.1038256304162, 741.3999136398083, 740.720203076075, 740.4281871127794, 742.4388314642791, 743.4806950448238, 743.3206815251218, 744.3597544989541, 734.4084055976047, 734.4668638276869, 735.5296214885776, 735.7538043698253, 737.8628744974975, 740.0735543377797, 742.138711217405, 744.7810822406674, 747.0212631082763, 749.0306657916208, 751.2514612593847, 755.1432972324094, 758.9268914877447, 760.8287248124832]","[Timestamp('2022-06-30 00:00:00'), Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
China,2022-07-01,"[2451.0, 2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0]","[745.9524044034181, 744.3373548903045, 745.222757806632, 743.4400564933592, 743.2749625988276, 745.3117673966494, 745.8505330759821, 745.1738681163728, 744.4225264008235, 744.0585722141994, 746.2160875620738, 747.409690784887, 747.0525874395577, 748.0410565744098, 738.4140363356412, 738.5652438297543, 739.9672635776305, 740.3067900082382, 742.8298430475623, 745.6237499886666, 747.9171108535742, 750.9024991547824, 753.5720411542666, 755.9070978551065, 758.6035522023939, 763.2884303013299, 767.5379080096701, 769.8770775152045]","[Timestamp('2022-07-01 00:00:00'), Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
China,2022-07-02,"[2750.0, 2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0]","[751.1356538839264, 749.4747959406319, 750.6970583264273, 748.4836555906863, 748.5873212827264, 750.8921263958681, 751.4217367914885, 750.7855299145774, 750.0963844657741, 749.4620132497824, 751.9124042841593, 753.262595730718, 752.5541411265822, 753.61872211417, 744.3370811211618, 744.6318409714822, 746.5807972526104, 747.0117219108935, 750.1543822855261, 753.4117190203431, 755.9092771668357, 759.3720932134034, 762.5265271043481, 765.3963007751403, 768.6115181878641, 773.9483527765132, 778.9346342613986, 781.7052033982219]","[Timestamp('2022-07-02 00:00:00'), Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
China,2022-07-03,"[2297.0, 2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0]","[769.2396737491823, 767.6108789957602, 769.1388954040392, 766.751647950407, 766.9933343850315, 769.6309699465016, 770.0637886408462, 769.5541854114072, 768.7936806709093, 767.9318129669545, 770.7877956320198, 772.2463311293545, 771.2280928996485, 772.2398629935523, 763.3504258790413, 763.8661799385003, 766.212332759759, 766.9576554909424, 770.5345978841505, 774.3344643967455, 776.9343975355656, 781.0241469965226, 784.7387108615951, 788.0175947054207, 791.6470783044329, 797.8095783632333, 803.386766651782, 806.5888601708804]","[Timestamp('2022-07-03 00:00:00'), Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
China,2022-07-04,"[2350.0, 2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0, 5088.0]","[781.9735797297818, 780.2038933021669, 782.3019571574706, 779.4567183152496, 779.9683827734174, 782.9134396646189, 783.5058191952425, 783.0606979747923, 782.2392421552689, 781.3472657502458, 784.4634075320364, 786.1925454698717, 784.6219343648203, 786.047556071711, 777.6027184897117, 778.3470851486396, 781.5720567055404, 782.4479977487006, 786.6575769342128, 790.9111465086075, 794.0445314411157, 798.9053284673172, 803.228354577936, 807.0903289602678, 811.2847907159571, 818.289868280525, 824.6611995508688, 828.3912122373277]","[Timestamp('2022-07-04 00:00:00'), Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
China,2022-07-05,"[2764.0, 3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0, 5088.0, 4647.0]","[796.1390829604517, 794.400774720197, 797.0261730551479, 793.7628474627212, 794.5184652385548, 797.9172505747705, 798.4773459502002, 798.1518397635309, 797.5377884813572, 796.3343319891147, 799.8670261357503, 801.741947487259, 799.954147770412, 801.6883092403614, 793.6489484193143, 794.8745291379419, 798.6419168240532, 799.7451710880974, 804.3238129152716, 809.3933349803312, 813.0247069038203, 818.4864487967629, 823.4378404806451, 827.7968103626971, 832.480291644954, 840.2336678332409, 847.3164774194838, 851.7019853807891]","[Timestamp('2022-07-05 00:00:00'), Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
China,2022-07-06,"[3172.9999999999995, 3482.9999999999995, 3447.0, 3451.0000000000005, 3421.0000000000005, 3314.0, 3192.0, 3506.0, 4049.0, 4122.0, 4325.0, 4179.0, 4064.0, 3889.0000000000005, 4844.0, 5224.0, 5241.0, 5010.0, 5218.0, 4880.0, 5179.0, 5619.0, 4996.0, 5409.0, 5124.0, 5088.0, 4647.0, 4587.0]","[817.1173908886301, 815.4651895383175, 818.2806965075866, 814.7970318965292, 815.7951021088676, 819.3629467405865, 819.9352555636605, 819.9977389122143, 819.183827055852, 817.845295417086, 821.6819807615113, 823.6453824653237, 821.9276330487174, 823.6606268718105, 816.2026359564269, 817.4000615052604, 821.691739751574, 822.697425622013, 827.7951445363753, 833.4149480122767, 837.3066512987327, 843.1721790438879, 848.4706723739358, 853.2398379506452, 858.1148313393978, 866.3651112490345, 874.1673096790457, 878.7947985770783]","[Timestamp('2022-07-06 00:00:00'), Timestamp('2022-07-07 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-07-09 00:00:00'), Timestamp('2022-07-10 00:00:00'), Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
