country,forecast_origin,true_values,predictions,forecast_dates
US,2022-07-11,"[200875.0, 148201.0, 204317.0, 175452.0, 153193.0, 39452.0, 29836.0, 164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0]","[94351.71335057143, 120455.25306033021, 177407.53284035233, 143798.01903675732, 114260.84022555381, 30301.08306418076, 20362.132186452985, 87485.12145828886, 115458.2021994607, 172710.5878783559, 140186.02767125325, 123095.41751001232, 33015.36065102168, 26286.24240350117]","[Timestamp('2022-07-11 00:00:00'), Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00')]"
US,2022-07-12,"[148201.0, 204317.0, 175452.0, 153193.0, 39452.0, 29836.0, 164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0]","[129624.41119543195, 189826.46413329893, 155628.79782121937, 132735.04076213387, 44981.02139909142, 39153.47740437648, 122018.25623113944, 133245.10376247758, 189364.49688135754, 158229.82475725628, 134895.00677026622, 46410.06251782531, 44979.42563904193, 124815.93643137574]","[Timestamp('2022-07-12 00:00:00'), Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00')]"
US,2022-07-13,"[204317.0, 175452.0, 153193.0, 39452.0, 29836.0, 164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0]","[190150.526877043, 157729.42834644433, 132416.10227027023, 47083.596408093654, 43347.270522186496, 122351.36323910828, 138878.31213370472, 189226.45372599436, 159311.70327091566, 139487.43548391838, 44775.710358845114, 46642.262728779155, 124295.0563248756, 149400.6687794639]","[Timestamp('2022-07-13 00:00:00'), Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00')]"
US,2022-07-14,"[175452.0, 153193.0, 39452.0, 29836.0, 164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0, 239777.00000000003]","[163571.36249436488, 139604.3759129219, 52123.44269564834, 48369.402023907394, 134143.63813524065, 143832.34228828357, 198710.71298560838, 166353.0230840652, 145129.65747861247, 52031.592912983324, 50682.74000402832, 133872.12094193554, 154810.64216772906, 192831.9840256363]","[Timestamp('2022-07-14 00:00:00'), Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00')]"
US,2022-07-15,"[153193.0, 39452.0, 29836.0, 164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0, 239777.00000000003, 177377.0]","[140206.72918658296, 56473.49869657091, 49462.52051934837, 138651.03077701735, 148426.65240476181, 202161.30677888222, 167022.92337568203, 147597.08477923277, 57066.57117524764, 59244.939282156534, 137992.1031294164, 162137.83912388037, 201172.23264278128, 170083.6010936574]","[Timestamp('2022-07-15 00:00:00'), Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00')]"
US,2022-07-16,"[39452.0, 29836.0, 164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0, 239777.00000000003, 177377.0, 159235.0]","[55511.83225053712, 53594.98603526414, 143644.67792312123, 152075.0939509746, 202820.1951253578, 169711.99403653573, 155161.2505309051, 58903.8310651129, 61727.46578120627, 146584.24892960727, 168407.2844703387, 203932.61048489576, 181088.1455972817, 153265.09249203256]","[Timestamp('2022-07-16 00:00:00'), Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00')]"
US,2022-07-17,"[29836.0, 164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0, 239777.00000000003, 177377.0, 159235.0, 16227.000000000002]","[42808.90528243565, 136770.66984743945, 146798.27212819192, 198916.79528422694, 164137.6260744001, 147928.4612552671, 54738.95595138142, 50143.14506542228, 138760.40964113988, 161576.81135059768, 201187.2014600718, 172157.63614066664, 152794.24097923312, 55229.22302401134]","[Timestamp('2022-07-17 00:00:00'), Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00')]"
US,2022-07-18,"[164847.0, 117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0, 239777.00000000003, 177377.0, 159235.0, 16227.000000000002, 13221.0]","[124305.29980624217, 140557.97463085127, 195842.14077956116, 165673.40148895746, 140172.55629391817, 48042.02971734824, 48889.28767258925, 123349.84454679245, 155272.51402734205, 196463.09854717273, 167872.6849540616, 144717.567625166, 52601.03378351632, 40639.91711831572]","[Timestamp('2022-07-18 00:00:00'), Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00')]"
US,2022-07-19,"[117197.0, 216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0, 239777.00000000003, 177377.0, 159235.0, 16227.000000000002, 13221.0, 169811.0]","[138808.91846526845, 198393.30241768464, 167798.31138044933, 145458.79438282407, 54554.46345655546, 51677.68022199761, 145000.34236025572, 155015.69663791242, 200825.15373603365, 172340.35913895516, 143159.1316606721, 56712.418145580974, 46070.31485342672, 140657.1675694021]","[Timestamp('2022-07-19 00:00:00'), Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00')]"
US,2022-07-20,"[216403.0, 175760.0, 131404.0, 26601.0, 23491.0, 189859.0, 132095.0, 239777.00000000003, 177377.0, 159235.0, 16227.000000000002, 13221.0, 169811.0, 90935.0]","[193888.0180692493, 166076.57435453217, 142003.80937954914, 52651.00113004176, 49061.182215703244, 139490.17824633585, 150648.03467427497, 195457.19210095398, 166578.0453643224, 141917.014276915, 49498.409162078744, 41361.45044506703, 134381.94842783367, 135118.36582196027]","[Timestamp('2022-07-20 00:00:00'), Timestamp('2022-07-21 00:00:00'), Timestamp('2022-07-22 00:00:00'), Timestamp('2022-07-23 00:00:00'), Timestamp('2022-07-24 00:00:00'), Timestamp('2022-07-25 00:00:00'), Timestamp('2022-07-26 00:00:00'), Timestamp('2022-07-27 00:00:00'), Timestamp('2022-07-28 00:00:00'), Timestamp('2022-07-29 00:00:00'), Timestamp('2022-07-30 00:00:00'), Timestamp('2022-07-31 00:00:00'), Timestamp('2022-08-01 00:00:00'), Timestamp('2022-08-02 00:00:00')]"
