model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median,exog_vars
cnn_lstm,Australia,14,7,new_cases,33310.35489981515,35582.0394508684,157.9681640055984,33310.35489981515,34988.34068080357,28176.795619419645,40217.91155133929,9169.871791776157,14369.7802734375,47519.16016,34397.14123703707,36522.64930425071,29199.81515995168,41269.11509802279,9105.943454825489,15168.475666442357,48204.53634976071,157.9681640055984,153.68627989992524,148.29149179537745,174.8815457105903,17.30039898170963,111.37500821370129,186.38623675748275,29,27,48.21,"(87.1706411934655, 44.23322737222075, 0.6135552460691113, 179.37704507797565, 86.23566152726299, 0.12338484241648956, 179.6508572187585)",72,102,58.62,"(105.35458997990432, 178.0083442101265, 0.6408920136479592, 179.3657709775038, 86.78283516996392, 0.07642424598992426, 179.6508572187585)",0.671875,0.28125,2.1904761904761907,1.123345344008138,2,death_all
cnn_lstm,Australia,14,7,new_cases,16083.564843586513,20309.06926730787,136.8104044438675,16083.564843586511,16685.389857700895,12623.277082170758,19908.990443638395,5815.283775974362,4705.662370954241,35145.263671875,19186.94728918731,19908.961814266357,13799.524823219548,24572.31421218023,6657.277839046289,5882.26559996303,35968.118470277186,136.81040444386747,132.08561740229777,118.75854422158302,159.8443942962898,26.387053445128085,67.68459976526043,181.55292731088738,34,22,39.29,"(70.02975036029906, 6.574254903637302, 0.31562839179947794, 174.96189695807595, 83.20011398089798, 0.00671509410765458, 179.07471491031856)",134,40,22.99,"(41.292339561756975, 0.5876072113676836, 0.1378608496073352, 8.641369687846003, 73.26316265909742, 0.0017038681506007427, 179.07471491031856)",0.6875,0.171875,3.15,1.663066286617647,3,death_mobility
cnn_lstm,Australia,14,7,new_cases,17062.120196751184,19697.228407884046,146.13561324031167,17062.120196751184,17462.510184151786,12534.379847935268,20608.482003348214,5351.0118288129,7454.462262834822,28944.077287946428,18668.069937830995,18821.96645776284,13386.248879577703,22326.315887635734,6283.627276391004,7497.885044178838,30490.83351183254,146.13561324031167,145.95889384081318,135.736328365165,158.5936056786063,17.839214679954363,88.64364548930544,177.43793706734152,46,10,17.86,"(30.532452909802856, 0.5410633283894687, 0.1266316075169693, 6.849256549788024, 62.16114412525575, 0.024946128082182804, 178.25821141922825)",140,34,19.54,"(34.37887985890908, 0.22314343198426315, 0.09819966143638864, 3.6160645077308295, 67.67178683732311, 0.0014339874414629546, 178.25821141922825)",0.703125,0.203125,2.8421052631578947,1.4629938062729393,3,death_recovered
cnn_lstm,Australia,14,7,new_cases,13987.309535435268,17733.98175280668,140.7625174756856,13987.309535435268,13108.39829799107,11216.468226841518,16358.482282366072,3514.7266960750285,8657.17075892857,21966.579520089286,16630.386937372554,13747.170156392254,11802.336172140152,20096.41421958991,6158.27403759761,8851.87187220435,28533.6815495423,140.76251747568557,141.70225552041904,127.59898037822703,157.46475367232756,22.395458990548438,68.5932228792085,181.42459296967056,46,10,17.86,"(34.04890486663719, 0.48323884456228283, 0.07624276004149103, 8.198424808213126, 65.88457890079688, 0.005230096652251786, 178.32912892045408)",154,20,11.49,"(21.485481982360827, 0.13645651864362152, 0.0345068832982293, 1.0553708456219666, 55.61421396673253, 0.00018483362251539494, 178.32912892045408)",0.71875,0.09375,3.8333333333333335,1.5048939771136507,4,death_stringency
cnn_lstm,Australia,14,7,new_cases,15992.448765345982,18882.27610914691,145.15326921150765,15992.448765345982,14343.370047433036,11927.853306361607,20274.832101004464,6064.266125664243,6299.392926897322,29738.03543526786,17484.941472470404,15512.012718867354,12326.24174141112,21749.839212321258,7128.6164692978655,6437.144800097352,31225.07333384368,145.15326921150762,143.81133051852336,134.92029834019425,157.35266361660723,19.424653577084484,79.24000372380776,180.5832948913045,42,14,25,"(44.717806488598605, 0.37024750516667515, 0.05480877227365171, 84.95720747504667, 72.09159540637374, 0.0048727848276069454, 178.4633636397703)",148,26,14.94,"(26.222637557579908, 0.1449269994822291, 0.0315529111206775, 1.35378681120949, 59.696732433407824, 0.000557297549700654, 178.4633636397703)",0.6875,0.1875,3.15,1.3484884325167863,3,no_exog
cnn_lstm,Australia,21,7,new_cases,23009.156475612097,25089.227388753214,149.38870636210814,23009.156475612093,25088.874441964286,21800.841727120536,27558.43429129464,7056.918734942306,6609.481863839285,32749.334542410714,24004.36404399087,25765.76256685621,22534.31681632138,28895.57605067298,7297.933804038152,7629.5196490796225,34515.71518798076,149.38870636210817,149.02340133180604,137.81603105114604,165.49983681317184,23.13293895567038,42.918877148401535,183.06426552098426,39,17,30.36,"(52.051681027211714, 0.3732613442343861, 0.19413498996400602, 165.51973948185744, 77.43931789151787, 0.0010967465479907882, 179.06129340975116)",121,53,30.46,"(53.08015136490425, 0.25871236666463754, 0.06714541246987375, 171.90496991562924, 79.73577309116159, 0.0002978323721972637, 179.06129340975116)",0.671875,0.234375,2.761904761904762,1.2611408289624877,3,death_all
cnn_lstm,Australia,21,7,new_cases,12218.590085659709,17382.027889726916,130.93434738187486,12218.590085659709,11728.147530691964,7097.7265584128245,16708.051827566964,5460.209167665098,3864.6192801339284,23378.4091796875,15678.485646378038,13366.388569983557,9614.298436135288,21274.430530353526,7504.663976192554,4447.475203600386,29904.01948830748,130.9343473818749,123.31388752105208,112.29617658626142,157.42242175612841,29.171240727735018,26.883522928655808,177.77470335815872,44,12,21.43,"(39.34282216338789, 0.6105495068047481, 0.1854988257420065, 17.46554650424328, 68.98638755666845, 0.02297701699950576, 178.35148981531228)",121,53,30.46,"(54.66885843408598, 0.4054782162641751, 0.06547449942224147, 173.93720157741788, 80.57970572809492, 0.00735125627834471, 179.11852878878932)",0.53125,0.3125,2.566666666666667,1.6120950886075684,3,death_mobility
cnn_lstm,Australia,21,7,new_cases,15807.905032566616,19146.0955892891,142.861089730343,15807.905032566616,14660.171526227678,12142.948521205357,18746.70755440848,5255.455263493148,6244.913051060268,28345.64425223214,18053.96966191962,17554.722735866286,12484.46966135844,21456.682357044185,6373.9435015288245,7380.831514133151,29793.853901180082,142.861089730343,142.00653411011967,130.51993906378414,157.31936621898217,21.178744047009236,72.74106530606319,178.6414226474869,38,18,32.14,"(56.58830668169576, 1.3414419748588269, 0.06876181521596934, 163.7801351490431, 77.88945859108682, 0.012209941373143263, 178.31125117053114)",112,62,35.63,"(62.76926379589249, 0.3601276606492728, 0.05102664423307616, 175.5341620120018, 83.10155313992334, 0.00138431001800586, 179.06873689644888)",0.75,0.125,3.1875,1.2230426539304888,3.5,death_recovered
cnn_lstm,Australia,21,7,new_cases,12854.608528409686,17418.133480178447,138.99715087707762,12854.608528409686,12457.974975585938,9371.984723772322,15853.877894810268,4073.844762585893,5351.819248744419,20899.63448660714,16030.631334060292,13438.468755247124,10379.173292346752,20700.85827082123,6812.505630438605,5986.403124434816,28636.322168261864,138.99715087707762,141.30864101217827,122.60940450471895,156.85239657789816,24.697606224220962,63.38137868165183,192.72041886520043,40,16,28.57,"(49.78160545347161, 1.4966575067646304, 0.13972637288976875, 138.4914313003896, 74.94910790872626, 0.012575644999118923, 178.85012778863077)",148,26,14.94,"(26.64071173478728, 0.2432689710454714, 0.05871520915920229, 2.2861700127670335, 60.8952581954496, 9.50981907874295e-05, 178.85012778863077)",0.8125,0.09375,3.4166666666666665,1.7298624923456323,3.5,death_stringency
cnn_lstm,Australia,21,7,new_cases,14575.065425872803,18030.748793331393,143.48785724328715,14575.065425872803,12712.300153459822,9924.59952218192,18706.396100725447,5762.24070157536,6346.15949358259,27094.460379464286,16493.671409451013,12998.579082841989,10424.74169966061,21292.323329852086,7284.689800209737,6722.383015259049,29787.772883827514,143.48785724328715,144.40587375448735,132.09728377765407,156.20293318606278,20.875486097502982,65.66615551207046,178.81339748122548,36,20,35.71,"(64.85482161808787, 5.725928686057793, 0.18965239843770498, 172.51653500291806, 81.02778690403564, 0.0083583971403585, 178.83067913992414)",113,61,35.06,"(62.804190334912846, 0.508130705280782, 0.10169461254365994, 176.43770482610347, 83.19779158495214, 3.643721406449174e-05, 178.83067913992414)",0.734375,0.140625,3.235294117647059,1.56242646885805,3,no_exog
cnn_lstm,Australia,28,14,new_cases,20217.072590273903,22437.95297578886,145.1464217368459,20217.072590273903,19896.989641462053,17497.24126325335,22707.008632114957,3495.4434442565725,11191.657017299107,27673.26925223214,22049.77504773601,21202.345422294115,18935.49993918483,25130.912991219087,4155.617172929978,12351.065832370015,31076.66124101305,145.14642173684587,143.84430393311186,131.4771064851846,161.33864918847652,18.04368234425934,88.05239210221136,179.20026494247367,77,35,31.25,"(56.93951292594011, 0.521790912322863, 0.099198745516172, 175.6624842882796, 81.13055599743741, 0.0016347735389518438, 179.55669542350327)",114,60,34.48,"(62.26310277793613, 0.6414954387504295, 0.0714366057291117, 177.48913231160694, 83.59624507380111, 0.0010206700801689646, 179.67592006285057)",0.6692913385826771,0.29133858267716534,4.166666666666667,2.6125089955888225,3,death_all
cnn_lstm,Australia,28,14,new_cases,26828.40369744982,32550.730701088054,144.56311343106822,26828.403697449823,25757.81862095424,17252.393247876847,34125.61589704241,12254.883029450762,5701.452734810965,69240.4892578125,29994.507342455945,29514.788535467058,19838.06361983349,37116.39836602413,12644.350456156812,6909.041533017686,73961.93598579409,144.56311343106822,141.82736684485957,124.4868578507964,162.9510461193007,24.574199904504955,92.42456612085539,189.52702097304,51,61,54.46,"(97.15240104437761, 173.66031036774626, 0.8104914636357907, 179.61180290355526, 87.45074755767148, 0.09843753922039554, 179.85119485103198)",67,107,61.49,"(109.97395073311941, 178.41017869813993, 1.0050365330456992, 179.62739959215003, 85.96413648621328, 0.097395364507755, 179.87668574992583)",0.6456692913385826,0.2755905511811024,4.466666666666667,3.1737560197228882,3,death_mobility
cnn_lstm,Australia,28,14,new_cases,35933.5611692826,43395.133573137115,159.691099183591,35933.5611692826,40825.03376116071,14117.771196637836,51488.638671875,19272.420874821768,3693.313450404576,70814.63811383929,38576.867355301925,43140.81351304454,16225.762242882045,53875.7430977811,19873.674116324164,6241.444565907205,75433.26830936784,159.69109918359104,156.93560182814042,149.77650985305067,167.6545226959225,20.622739365614613,89.47319716190576,200,63,49,43.75,"(78.5204315968501, 3.8856302344254763, 0.42788193819113196, 179.06899575017866, 86.68695088417535, 0.10559441036493043, 179.73408770004028)",95,79,45.4,"(81.59166685252829, 4.688322468950352, 0.2307541749161754, 178.86389705461184, 87.48365273141623, 0.02649884061596479, 179.73408770004028)",0.5275590551181102,0.4330708661417323,3.7666666666666666,2.452025566451352,4,death_recovered
cnn_lstm,Australia,28,14,new_cases,10654.751162161147,16345.178014928078,127.51158593049898,10654.751162161147,9425.728620256697,7952.985979352678,12911.222952706474,3129.1560880295133,6155.248500279018,17505.004534040178,14715.501991713743,11651.09985110558,8693.920912816688,19307.937855618777,7114.692226059886,6461.537222970081,28396.45873570513,127.51158593049898,131.979700398894,98.8062068807532,155.38974948738039,30.608100513539167,50.756825042167485,178.4439803079192,91,21,18.75,"(32.948280705219524, 0.27054649994490937, 0.14103518438799947, 3.6244396109662325, 65.58974940709375, 0.0005618267384080716, 177.49749821842948)",135,39,22.41,"(39.51878004299461, 0.2736151819911244, 0.12424275953597055, 13.83748763467352, 70.15632465464044, 0.0005618267384080716, 177.49749821842948)",0.8346456692913385,0.12598425196850394,4.666666666666667,3.7859388972001824,3,death_stringency
cnn_lstm,Australia,28,14,new_cases,21774.739624604725,23669.56571434847,148.04754601976083,21774.73962460472,20996.0166015625,17434.927385602678,26467.707310267855,5535.612851797916,11512.66943359375,34156.27162388393,22989.09689981125,21951.45060126682,18613.870029928257,28174.378590225955,5634.692967407295,12550.730445576577,34769.2864467665,148.0475460197608,148.39961565232124,138.10585226517128,160.35845826256227,14.964861355048615,100.72599431113531,171.86213946799197,70,42,37.5,"(68.16347380225947, 2.039623542068558, 0.1722549952476576, 177.215733265483, 84.2133225298987, 0.0013717971055241815, 179.4736591987531)",126,48,27.59,"(50.14122866696134, 0.6609069640392584, 0.14311250785167973, 170.5449492578859, 78.20121433602854, 0.0012589856920042144, 179.4736591987531)",0.6692913385826771,0.28346456692913385,4.214285714285714,2.754470550566348,4,no_exog
cnn_lstm,Australia,56,28,new_cases,25058.466845767318,28035.064041597343,148.1484768911633,25058.466845767314,26052.77277483259,22396.184238978793,28083.233904157365,4847.547856567681,14615.964599609375,35577.949497767855,27628.206051898156,28676.309834284813,25659.65018582882,30613.27552674833,4758.891275320628,16420.47271780913,37552.88190668638,148.14847689116328,148.0916349312141,132.19887171778566,161.54078380919196,18.391249560259265,112.34657603534973,179.46417030374386,78,85,52.15,"(93.24576118263239, 161.90874662024856, 0.19420653661849277, 178.40023776011762, 86.82845260974095, 0.0046733967682714, 179.4292853113393)",78,96,55.17,"(98.65010996564918, 171.07211839124525, 0.27361731880790785, 178.61262174249276, 86.57575139386279, 0.0046733967682714, 179.4292853113393)",0.6328125,0.3359375,7.627659574468085,4.59776486733907,7.5,death_all
cnn_lstm,Australia,56,28,new_cases,20850.856120718872,23127.08717123855,145.56019098661375,20850.856120718872,20181.18094308036,16570.527744838168,25881.635620117188,5075.5264364993955,10964.404767717633,30967.282645089286,22508.746660908782,21803.11165636298,18177.588701531535,27832.02798478544,5312.107376653289,12250.993066468665,32288.914466631733,145.56019098661372,146.01790108622373,132.59603606982927,161.45819349881106,17.76547653978477,102.06203746860842,176.85067175301535,117,46,28.22,"(51.07013472547512, 0.3823627423210913, 0.1096653924159108, 173.90312073342216, 79.03760247240766, 0.001306392539281374, 179.5142230545055)",117,57,32.76,"(59.1504755687315, 0.5771800228571865, 0.1156328665776811, 175.2358564754518, 82.58044116534353, 0.001306392539281374, 179.5142230545055)",0.58984375,0.3515625,7.628571428571429,5.407006037144242,7,death_mobility
cnn_lstm,Australia,56,28,new_cases,17007.130320826243,21791.36624119763,137.7618555792687,17007.130320826243,17129.665481363023,14957.492640904018,19472.80447932652,3393.1233228055894,9935.928500584194,25629.96344593593,21368.19431665986,22001.96051575814,18546.175870737854,24945.688017678127,4273.630108405835,11737.347391591778,29734.634420118826,137.76185557926868,138.12061305981433,115.19320569303731,154.96628598369801,24.29836511361367,88.99490153166239,181.12447636124983,117,46,28.22,"(50.905069475628565, 1.315468210546205, 0.09572052891556432, 169.00463854289828, 77.99624465570085, 0.0010242417796497317, 178.95052717982003)",128,46,26.44,"(47.72862046263743, 1.110137495555517, 0.11111663285621445, 163.03779804775647, 76.47446799997444, 0.0010242417796497317, 178.95052717982003)",0.4765625,0.4921875,5.850746268656716,4.8736015348096275,5,death_recovered
cnn_lstm,Australia,56,28,new_cases,16091.01499282342,19957.289661100855,136.70475142889578,16091.014992823422,16139.668997628349,13385.240836007255,18724.373713902067,3323.681919122097,9136.52064732143,24618.98668561663,19432.910666110994,19147.893932716084,15631.33231094273,23375.366661358035,4544.820531113707,10334.898924257925,28601.226258136423,136.70475142889578,139.14264170491722,115.72409847325491,154.77764574688177,22.419599269599633,95.62982869331782,175.87183657646753,67,96,58.9,"(104.9907262995203, 176.3497048764609, 0.3441925547064075, 178.19381142099803, 85.95737316950132, 0.024475479197781445, 179.21839390068493)",67,107,61.49,"(109.61534991004457, 176.9236274230721, 0.36506206085285453, 178.2398936882162, 85.07932660160705, 0.024475479197781445, 179.21839390068493)",0.62890625,0.328125,6.578947368421052,5.246232584149094,5,death_stringency
cnn_lstm,Australia,56,28,new_cases,8741.622164031689,15397.504989244764,117.78987990003122,8741.622164031687,7533.1497148786275,6407.279946463448,11401.404401506697,2820.0600501258687,5331.825343540737,14857.789511544364,13672.795253347336,10050.081749577948,8049.505841310865,20531.93598299315,7080.807147060284,6063.450594170222,28652.771110935948,117.78987990003122,117.71905094782657,84.91609045586755,146.06466364044343,34.786493423985235,64.89412428918212,176.78304914346623,149,14,8.59,"(15.217040536563623, 0.557443046278475, 0.3926387974253934, 1.102528009755098, 45.575499508551886, 0.011496789249065888, 173.53316636766155)",157,17,9.77,"(18.109847917132985, 0.5730796045690251, 0.3991476084981199, 2.40576913716875, 48.052024407706945, 0.011496789249065888, 173.53316636766155)",0.5,0.38671875,8.9296875,6.97936620743462,7,no_exog
cnn_lstm,Brazil,14,7,new_cases,16290.439773097183,22510.447020483945,128.62023816899406,16290.439773097187,12048.489327566964,8046.547206333706,23038.290910993303,10629.285256824762,3815.833426339286,47789.7080078125,18796.218074848148,13917.254141594443,9595.243782912406,25395.86218357796,12386.380066216534,4481.406728245538,60907.02128084991,128.62023816899406,135.9324779097988,105.1356811750803,152.593446646401,30.788870728103934,40.26019963258845,184.30641251500845,64,2,3.03,"(5.821500717108309, 0.06999482938469209, 0.024050057501987427, 0.25986388855010095, 28.809639616018362, 0.002225349836342661, 177.88094252392804)",170,4,2.3,"(4.304512524857722, 0.042936857345069857, 0.019053874227355477, 0.12265899015846907, 24.9467811772419, 0.000859720402385092, 177.88094252392804)",0.8939393939393939,0.09090909090909091,1.7142857142857142,2.058663459163551,1,death_all
cnn_lstm,Brazil,14,7,new_cases,15577.708260870599,21616.81116879721,130.43874762268328,15577.708260870599,11908.437848772322,7757.484933035715,23960.880754743303,10220.393423330353,3327.1513671875,44895.60463169643,17988.48017112482,13383.838223173514,9446.819078318718,28406.909339680522,11987.539624146606,4251.977916145134,58034.26391307911,130.4387476226833,133.8334723909497,110.97145764196175,154.946467352933,31.159128328246847,38.09601076242231,182.132555880147,40,26,39.39,"(70.97653239129585, 1.0046167433428477, 0.28259612663567635, 178.30176275386535, 86.64389655508408, 0.0011227556537539666, 179.67869404087173)",98,76,43.68,"(77.32417850070081, 0.9456501892176592, 0.08432335865028598, 178.55427445882077, 87.26267396676182, 0.0006298311895039172, 179.67869404087173)",0.7272727272727273,0.22727272727272727,1.6111111111111112,1.685191170474659,1,death_mobility
cnn_lstm,Brazil,14,7,new_cases,18120.587858918425,22579.0959306024,124.21143566448947,18120.58785891843,15518.827985491072,11742.742954799107,25190.297433035714,8481.035071078673,8334.41099330357,46377.91016,20286.555042182255,17882.892709880434,12419.070516105798,28771.50938405867,9913.18604505413,8789.795558627593,55911.61655189423,124.21143566448946,127.53299717320503,101.96250591962013,146.34429951606566,24.451994700924587,66.564775236598,159.82462503210252,47,19,28.79,"(50.927278710179095, 0.22649874392265623, 0.031119932706094207, 176.66999835760026, 79.19878168361726, 0.0020935758602061683, 178.7185220736619)",123,51,29.31,"(52.0547807017109, 0.21056422334504565, 0.014700501681193716, 176.845651195023, 80.07674904994448, 6.500352865848151e-05, 178.79775168924144)",0.8636363636363636,0.09090909090909091,3,0.8660254037844386,3,death_recovered
