model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median,method
epilearn_fullcurve,Australia,NA,14,new_cases,11483.127561777512,20974.519424656137,122.42746337144679,11483.127561777512,8013.82361441986,4915.5551765505525,13587.279475519254,11656.128610802609,2505.454713025752,71690.53281352192,16578.713138125517,14507.166906112416,7543.915223773494,23190.22872229596,12848.219167613152,4565.025989760054,77982.36943256969,122.42746337144678,119.06606085480729,86.00796748830723,160.6717155996752,43.09705415675644,50.09756273225634,199.284324119809,91,21,18.75,"(34.20526711295993, 0.4843486022262723, 0.2061876113322735, 5.748939567140501, 67.20476545113561, 0.00418519856518321, 179.86902853483232)",142,32,18.39,"(33.52252930360272, 0.5343603912108286, 0.20486458593258178, 6.1272295406985275, 66.79135006515381, 0.00418519856518321, 179.86902853483232)",0.5238095238095238,0.373015873015873,4.016666666666667,3.4321099240953,3.5,mean
epilearn_fullcurve,Australia,NA,28,new_cases,13211.860160436672,26104.242582694143,121.98041496748205,13211.860160436672,7925.844086579598,5315.374860176476,13337.682535461852,17280.106798750778,2573.4890085161833,112276.91647579132,18181.081822557622,12012.559531815174,8341.150274300959,22616.6553882704,18731.784340462793,5149.7004420056055,125409.97618440705,121.98041496748205,120.42607684709216,87.18252606134264,161.2875350882676,40.67656194304784,50.22196183303949,198.8013817384431,114,49,30.06,"(54.02710597910535, 1.5347868685401322, 0.511132139387694, 167.25108930555535, 78.13347114637976, 0.0009248382496339029, 179.81088404044522)",119,55,31.61,"(56.829461995598244, 2.0211973568547426, 0.5329139075809582, 170.34715855055865, 79.30241752975549, 0.0009248382496339029, 179.81088404044522)",0.41960784313725485,0.43529411764705883,8.506756756756756,7.48649270909198,6,mean
epilearn_fullcurve,Australia,NA,7,new_cases,10131.681148547308,18236.66569382977,127.20726968940473,10131.681148547306,8890.866253654835,4394.655826367485,13386.316416576472,7958.589822174715,2511.284101603405,47700.03732172034,15382.990457563907,10588.603076619287,6959.006622242829,20938.34126689056,9794.875201400242,4850.342605921943,50842.453958594066,127.20726968940474,117.29944721905052,94.89928971490656,163.6624712072101,43.22029006605968,45.21053544788719,199.07963278286425,46,10,17.86,"(31.208258314069244, 0.26481700408945386, 0.11247102413321834, 8.268388607237839, 62.342258581201406, 0.009231369642386566, 179.75248884959527)",149,25,14.37,"(25.508324721361795, 0.15744508321609235, 0.056650897937207574, 1.2102794870569575, 59.87635520433546, 0.0014210882709291286, 179.86761282452227)",0.5396825396825398,0.4126984126984127,1.6551724137931034,1.631735755676966,1,mean
epilearn_fullcurve,Australia,NA,14,new_cases,10189.012304310403,18413.034468647737,119.68848645192807,10189.012304310407,7999.429686646524,4880.048718534412,12819.319071937685,8148.758547034065,2507.13236675728,44907.553623575615,15652.049254373067,14083.51782757415,7738.543036154408,22974.393881159933,9698.102519683378,4641.002985677654,45971.219882544516,119.68848645192809,117.50760541598059,78.5051398493784,156.95240636414533,45.54845451539496,50.2550059473772,199.386557882491,104,8,7.14,"(13.557648703614758, 0.34030699798438546, 0.22810048154280071, 1.1296302100973556, 41.925404398719934, 0.013861651776777777, 176.54452883811453)",166,8,4.6,"(9.577394629470419, 0.34544973296039805, 0.2278744520445467, 1.1838682286046969, 34.36834070810319, 0.013861651776777777, 176.54452883811453)",0.5555555555555556,0.31746031746031744,4.410714285714286,3.637065678984469,3.5,median
epilearn_fullcurve,Australia,NA,28,new_cases,9658.670763754517,17218.050900578874,117.91730999457035,9658.670763754517,7786.4591455450545,5295.557911429529,11829.119667120516,7233.094767544076,2578.599542444474,42663.170408584236,14881.36286898055,11399.906801401596,8407.303330391362,21559.93430683462,8660.618683249595,5259.117115729736,45031.918679541755,117.91730999457039,110.69825135367228,82.68197042315127,153.38454291650442,41.6984674410089,51.29451763330787,198.86047678906976,147,16,9.82,"(17.106273599412845, 0.9005442082328236, 0.48047316688598374, 2.7564001315271773, 45.91528922426673, 0.04746651123696684, 178.52829881252416)",158,16,9.2,"(16.180637199941394, 0.9255042174675501, 0.4858432727708938, 2.8103150259630154, 44.58524742759016, 0.04746651123696684, 178.52829881252416)",0.5529411764705883,0.36470588235294116,7.824561403508772,6.980688423635427,6,median
epilearn_fullcurve,Australia,NA,7,new_cases,10071.952652354516,18387.148438758988,126.28166718774614,10071.952652354514,8763.890833512673,4292.851179077574,13300.090826343436,8000.246689633665,2513.346158784174,45976.0531733937,15596.978856434698,10561.400964326927,7007.338011885306,21186.244523464607,9737.632066415632,4924.498598116591,46778.68299797371,126.28166718774615,117.90464601777246,90.76112325806238,165.1122857124164,45.88959316809794,47.217745432093395,199.26030109840025,46,10,17.86,"(31.216720891889885, 0.3153033530551089, 0.0883331810711539, 4.0318256702402095, 62.9055893746823, 0.003541195493734566, 179.19895864888878)",156,18,10.34,"(18.304063615184067, 0.19541689624316005, 0.04937101189153302, 0.9653756808034671, 51.00207209283152, 0.0033858234283700613, 179.19895864888878)",0.5555555555555556,0.36507936507936506,1.75,1.7132382161232527,1,median
epilearn_fullcurve,Australia,NA,14,new_cases,10295.334151434534,18491.258631028755,120.0652222105649,10295.334151434537,7952.190475444772,4934.104103641339,12940.252661291619,8316.636728603246,2505.3667413214325,45708.304324787685,15681.192910190844,14472.077815642757,7753.302651312933,22892.06619400244,9799.328276620585,4605.657480243805,47185.391601655116,120.06522221056491,118.10867591213498,79.4620259685938,157.33525286266524,45.215647351600275,50.086983700368684,199.38908447866476,102,10,8.93,"(16.869321870362846, 0.343383381943745, 0.1948218616605305, 1.7493523579399552, 47.242719715690065, 0.003077136859312861, 178.7752484614445)",159,15,8.62,"(16.261418440861007, 0.4215822043682852, 0.19553424158409716, 2.0587663037373543, 46.001338538391664, 0.003077136859312861, 178.7752484614445)",0.5634920634920635,0.29365079365079366,4.527272727272727,3.862711317266503,4,weightedmedian
epilearn_fullcurve,Australia,NA,28,new_cases,9902.940090107764,17465.653281379866,118.50152181271936,9902.940090107764,7925.990526494143,5329.915881483432,11988.986163298596,7689.080687790365,2572.513423753439,45154.60222417523,15003.907290901023,11331.978811881476,8542.481623227955,21443.53938058309,8940.459191306803,5227.547005269835,47850.719875264855,118.50152181271939,113.1103303731417,83.46841386537665,153.7446716924568,41.5620317256159,53.138086610810255,198.9584024807202,150,13,7.98,"(15.17737938424096, 0.9563871329771013, 0.6283089875630261, 2.4592368100805926, 42.24993649024635, 0.004950341118224933, 177.8262765097749)",161,13,7.47,"(14.5466618575342, 1.0700108591039441, 0.647341069717969, 3.4070831472799963, 40.97148493543741, 0.004950341118224933, 177.8262765097749)",0.5490196078431373,0.3411764705882353,8.843478260869565,7.413348918103126,8,weightedmedian
epilearn_fullcurve,Australia,NA,7,new_cases,10087.35402289937,18353.866839665992,126.3187875989753,10087.35402289937,8768.111392672985,4295.851964426682,13319.193388062467,7989.536269924643,2511.5914123615134,45839.896890448894,15567.795467814247,10555.122945910649,6995.804758788558,21182.015902090214,9721.531373219608,4893.024882462487,46832.10395867335,126.31878759897529,118.2823378915016,92.18835130752095,164.8699107068222,45.62284926774368,47.31714788300739,199.26321298669762,45,11,19.64,"(33.1583576598555, 0.33838288366002456, 0.09652006565036877, 3.9239901593589046, 64.19190642109452, 0.0078087840689529085, 179.47615819997864)",154,20,11.49,"(20.23777506928564, 0.213269862380453, 0.0515775987582738, 1.0664280331095317, 53.13951860073248, 0.00026628193976646207, 179.47615819997864)",0.5555555555555556,0.38095238095238093,1.7142857142857142,1.6745843676067218,1,weightedmedian
epilearn_fullcurve,Brazil,NA,14,new_cases,19303.931171429667,32138.15984859276,132.08229617222224,19303.931171429664,12731.342038246878,7965.20998416677,26512.86256964111,16356.76819954959,4136.402307774241,96063.43077990362,24354.576774738172,15506.362549572044,9908.475000264249,33589.19428458858,20969.40410638996,4738.949706222317,111838.23173394064,132.08229617222227,130.0345345108417,117.23902189785751,150.06430520844927,24.330486113887233,80.19291247024108,194.2084708526488,89,43,32.58,"(59.28393975905477, 0.890736854305382, 0.13333246882602462, 177.79890406533963, 82.53154154386114, 0.00015306699538021728, 179.9246181646645)",117,57,32.76,"(59.3645985444872, 0.946203768468387, 0.12631352909941967, 177.77331060096893, 82.73926715153601, 0.00015306699538021728, 179.9246181646645)",0.5606060606060606,0.3409090909090909,4.586206896551724,3.509558290588621,5,mean
