model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median,exog_vars
svr,Australia,14,7,new_cases,7958.404964568469,18499.218939241822,171.33574760981526,7958.404964568469,5470.4159083982495,3533.111364040947,11632.843357158312,4948.878226192797,2375.3708073795065,16545.920063603662,15716.704216481405,10624.348717166216,6921.479847233796,22501.58924451427,9757.372081336194,3516.0894256595648,31499.822064645956,171.33574760981526,174.39210545329288,161.76587051913964,192.05047769495343,23.996728073873065,108.19909045439596,198.95950343930082,50,6,10.71,"(17.92679900238769, 0.08784599017079323, 0.05507916482411601, 0.6745801466891012, 49.264723024884994, 0.009220693801174006, 171.2916233023453)",167,7,4.02,"(6.92046445087361, 0.08784599017079323, 0.04417098376221154, 0.3199963966700656, 31.888687858524264, 0.009220693801174006, 177.0500616900133)",0.453125,0.515625,1.2,1.5680636241593529,1,death_all
svr,Australia,14,7,new_cases,7498.840707678745,17874.17440136847,117.40149424986109,7498.840707678744,4953.856025845682,3933.568797069658,10227.67551090605,4205.131030449232,2004.0260831141384,15065.256377258356,14998.418999819389,9748.2905980762,6468.940417974256,22025.988680612034,9722.835905042966,2495.7644132258683,30590.491219736276,117.40149424986109,102.2360649224252,84.0392879404207,168.78448111243333,45.24216731382263,47.53523885248396,193.76593037290763,50,6,10.71,"(18.51951890388218, 0.08202018754343537, 0.0524345982495877, 1.384174882342482, 48.53303091439653, 0.01784717410987317, 170.3829256573319)",167,7,4.02,"(7.106682597781083, 0.08456546881445794, 0.0431736072672691, 0.30556979882471835, 31.593628650680877, 0.014593218473255466, 177.039533710238)",0.453125,0.5,1.3142857142857143,1.658692407953229,1,death_mobility
svr,Australia,14,7,new_cases,14467.45406139793,18662.874012002725,136.04138632331632,14467.45406139793,15046.146928068287,12490.471374419263,16355.752007567244,3186.1607306592023,6019.8050412872235,19370.68903350279,17849.870097136092,16370.771450349006,15252.793237573933,19836.279712225893,5448.394617064148,6197.980284843284,27462.085141651718,136.0413863233163,140.49249158927412,116.78495971974587,152.85960548222866,25.78662089799534,52.08564842336473,173.88502722817051,48,8,14.29,"(27.592201868690058, 0.09880899588932596, 0.046642124538609164, 6.936799255713194, 56.947150910806016, 0.0005128527486583477, 174.0039399929145)",165,9,5.17,"(10.05964543056164, 0.056174584262260505, 0.03253967826219676, 0.21208509499859343, 37.00524083401743, 7.127467483491444e-05, 177.7253886584554)",0.8125,0.078125,3.6666666666666665,1.6696942198734437,4,death_recovered
svr,Australia,14,7,new_cases,7948.091075178949,18489.140308051185,169.60524568952354,7948.091075178949,5453.220017434215,3517.5273953754713,11608.813867030167,4938.898952880935,2392.8401401630813,16528.970991945465,15705.068572943335,10612.440328009154,6911.870653957545,22489.916352613254,9757.004173922987,3498.9025155075856,31487.582133775006,169.60524568952354,172.67867075688272,159.45120088611816,191.51654470185943,25.294981376557764,103.35032227804433,198.88578535111645,50,6,10.71,"(17.821659636213834, 0.0811988803401445, 0.054265630182283725, 0.6380973376400748, 49.32407212331206, 0.008740423258152085, 171.37301111822168)",167,7,4.02,"(6.886808719710561, 0.08388719239392753, 0.0442267653352581, 0.2954336264206625, 31.906712855739045, 0.008740423258152085, 177.05476975752833)",0.453125,0.515625,1.2,1.5680636241593529,1,death_stringency
svr,Australia,14,7,new_cases,27673.868335675736,30332.608024676403,154.20047671447145,27673.868335675736,26855.137734203105,24065.23872748372,31585.70272635244,5124.898372488101,17830.77965131778,38114.160096259744,30103.160146133872,29707.31746628925,27221.65493619747,32332.887982962602,3723.82314226661,20933.10447491124,38217.03079900385,154.20047671447142,153.8372669363068,142.25866779984636,167.1253738030248,17.568227882299986,76.88848328302991,182.306786173778,33,23,41.07,"(72.84388676715336, 7.183611422798541, 0.36130377911025324, 178.25886486073176, 83.6574666447681, 0.010236355332237514, 179.6328943674272)",118,56,32.18,"(57.78575167725061, 1.0906293479365714, 0.15146226607088892, 177.97220692628323, 81.85090358604889, 0.007972252123183695, 179.75662952554976)",0.671875,0.296875,2.238095238095238,1.0442586798663398,2,no_exog
svr,Australia,21,7,new_cases,7957.769620531749,18498.595724349434,171.22788745672034,7957.76962053175,5469.357243333319,3532.1614170315925,11631.359951574794,4948.261163044528,2376.4215954282695,16544.853865926147,15715.984774850509,10623.592530191516,6920.909906062983,22500.856032266474,9757.349349571641,3515.0544605387863,31499.03814802854,171.22788745672037,174.28471585119624,161.62092633325847,192.01843864338264,24.078126032974904,107.89674801197091,198.95484136087887,50,6,10.71,"(17.929720966879696, 0.08785397208973923, 0.05508682967382378, 0.6744960800849867, 49.26313076862654, 0.009234174115809325, 171.28931658695294)",167,7,4.02,"(6.921399676253187, 0.08785397208973923, 0.044169419792021186, 0.32053347084935013, 31.888216753707383, 0.009234174115809325, 177.04992931309837)",0.453125,0.515625,1.2,1.5680636241593529,1,death_all
svr,Australia,21,7,new_cases,7531.361876616606,17891.65365989564,120.0135581635705,7531.3618766166055,4954.219791082467,3930.194195056798,10246.53221416797,4255.773701215889,2019.0780611869322,15130.096424169626,14998.404520553182,9679.455202491084,6457.344352802831,22075.62008918182,9754.954255326213,2502.8124803849705,30595.91501891751,120.01355816357048,104.62229923698374,88.89096103644519,168.84847362141804,43.79819100391192,47.265146379161365,193.80929498336533,50,6,10.71,"(18.704692874213546, 0.08429518565550373, 0.05342745886902263, 1.8530007233144774, 48.25881282377131, 0.009479802897881761, 170.36730616487085)",167,7,4.02,"(7.167217164474421, 0.07854496592379187, 0.042725205845327824, 0.3453184609701998, 31.47817490373978, 0.009479802897881761, 176.9974043874942)",0.453125,0.5,1.3142857142857143,1.658692407953229,1,death_mobility
svr,Australia,21,7,new_cases,14545.707968750012,18777.208567143884,135.66604185529596,14545.707968750015,14777.289340205116,13040.844803649712,16586.218300640285,2593.256204324293,7008.8672750196565,19221.141310288764,18057.75713446426,16045.571277325336,14523.135861799208,20021.92999142281,5147.909172346262,7034.272136902905,27584.18920403733,135.66604185529596,141.1921377467251,114.56714344874952,156.6033872829567,27.701162089568836,55.080597162129386,173.60054345424726,48,8,14.29,"(24.603154974722976, 0.07718932973389894, 0.04175141780217147, 3.1640846230778386, 55.45673761872906, 0.004244675101531399, 172.18146380970083)",165,9,5.17,"(9.059947621565849, 0.057594617063821046, 0.03889557131377709, 0.25128282387956297, 35.82879088061884, 0.0028322510038635597, 177.4997212615933)",0.84375,0.09375,3,1.8257418583505538,3,death_recovered
svr,Australia,21,7,new_cases,7953.766977040117,18494.690174646497,170.55287959410862,7953.766977040117,5462.664841946449,3526.0634361754064,11622.050486303666,4944.397840970337,2383.3931432081054,16538.43353594082,15711.472587485378,10619.051057248365,6917.000565462482,22496.399934183548,9757.212398470236,3508.243433309223,31494.52849452176,170.5528795941086,173.62339963153556,160.72938077740903,191.80380626355327,24.585823457557247,105.98595535670921,198.92675460987195,50,6,10.71,"(17.83349361430086, 0.083247398274476, 0.05483652944291427, 0.6492492472800847, 49.317186117520365, 0.00879403804257967, 171.36400143923026)",167,7,4.02,"(6.890597224434523, 0.08389879653563792, 0.044220532279886926, 0.29820315389409957, 31.904576596460558, 0.00879403804257967, 177.05424496406488)",0.453125,0.515625,1.2,1.5680636241593529,1,death_stringency
svr,Australia,21,7,new_cases,17644.185545722936,21247.049927442426,143.40166322266808,17644.185545722936,15492.049048440687,9085.239168333143,27229.167963257703,10207.646617960452,3190.741938899646,38979.020620699055,18643.628487828093,17561.43703919139,9917.90645250849,28148.628751573124,10190.79228652395,4053.057573977293,39157.296034713545,143.40166322266808,147.2363648039777,134.68053539372778,161.25718687303447,24.91398177927178,28.27919496013873,178.87500848578668,33,23,41.07,"(72.02709958565826, 0.8529210642027363, 0.16247701427308037, 172.916288202272, 84.10176888754573, 0.027126642646239367, 179.34827624023282)",123,51,29.31,"(51.444361180848325, 0.4864895656495717, 0.06501132945468648, 171.5237464992937, 78.74895562902896, 0.00014515023013450952, 179.34827624023282)",0.625,0.328125,2.4166666666666665,1.138903617201808,2.5,no_exog
svr,Australia,28,14,new_cases,7926.429833670277,18036.32940681945,169.40269533648166,7926.429833670277,6439.713371196844,4075.2683728073407,11643.462669390072,4509.498471120237,2368.9632877017166,15612.409097961501,15601.96002763193,11629.741177532449,7347.956223605291,22155.18001694589,9049.20006229697,5233.417263327373,31475.979379810604,169.4026953364816,170.81462153245474,161.72899973952016,188.8147508340375,21.991056173479784,112.8323855211853,196.79551843691186,106,6,5.36,"(10.579671765356357, 0.33591407207854385, 0.21501200423522931, 1.6250908475296943, 36.229095598330446, 0.02353393116569073, 175.77030551849523)",167,7,4.02,"(7.791266637163656, 0.33724894403805694, 0.21655919112046898, 1.517175381945076, 30.248644707129312, 0.02353393116569073, 175.77030551849523)",0.4409448818897638,0.5590551181102362,3.084507042253521,2.6008047044451423,3,death_all
svr,Australia,28,14,new_cases,7456.052471366672,17445.02302045116,117.73917596907725,7456.052471366672,5498.180941650608,3932.738249287062,10773.777714535672,3904.621415351338,3262.528804321136,14439.25044605067,14870.226026790997,10297.297318089542,6660.187320417687,21718.674657485702,9121.688774356353,4258.705246392096,30909.08115438369,117.73917596907727,108.01620823649083,89.46699829596136,164.6675635643052,39.87223178505617,53.460392343005395,183.45747090586312,106,6,5.36,"(10.06610415950162, 0.3283540661911778, 0.20234493367068673, 1.6108958325962035, 35.22317849654353, 0.027291098412317766, 175.59371432981408)",167,7,4.02,"(7.7457066489673645, 0.33224935703703706, 0.2052286859700712, 1.5492828965543117, 30.455516571436394, 0.027291098412317766, 175.59371432981408)",0.4724409448818898,0.4645669291338583,3.626865671641791,3.2325795164492623,3,death_mobility
svr,Australia,28,14,new_cases,13984.477227320673,18313.492532343025,131.34114479251414,13984.477227320673,14285.39142165515,13294.615740570145,15415.274466863242,2579.5468031673013,8255.918772188044,18919.743646049104,17615.153319296307,15589.764716566786,14481.56737513185,19498.03788358578,5009.030072765394,8855.347664867626,27744.59427701928,131.34114479251417,139.9041662178637,107.94738981916645,157.41320393836787,29.403333473329347,56.252241369149466,170.67583067389126,106,6,5.36,"(9.636890311174556, 0.326582872483289, 0.19947577112229278, 1.1545418797814397, 32.08341866465166, 0.024063019710960986, 160.97955259376428)",165,9,5.17,"(10.012667012978394, 0.35011113965243745, 0.20840511732252004, 1.9448324229054454, 33.86871961897439, 0.024063019710960986, 174.81050702488974)",0.8110236220472441,0.11811023622047244,5.75,4.214364669225646,4.5,death_recovered
svr,Australia,28,14,new_cases,7926.812802448064,18036.74773048004,169.4736192107799,7926.812802448064,6440.217904125687,4076.2236880639725,11644.46498464686,4509.937325122482,2368.8697057013474,15613.411413218111,15602.408301359574,11630.452347874027,7348.887913775316,22155.705627851683,9049.26095825746,5234.344512526176,31476.990153652972,169.4736192107799,170.92839716597973,161.8078713804768,188.8342608723007,21.94554038937788,113.00402532686024,196.79237607912478,106,6,5.36,"(10.656602551000617, 0.33461294226698945, 0.2158077977417499, 1.5710139855945595, 36.37862410892243, 0.02240426341013027, 175.8059206839241)",168,6,3.45,"(7.7427005314292225, 0.3383006422204166, 0.21621417131114126, 1.4776591234605887, 30.087560119748726, 0.02240426341013027, 175.8059206839241)",0.4409448818897638,0.5590551181102362,3.084507042253521,2.6008047044451423,3,death_stringency
svr,Australia,28,14,new_cases,18805.456832785832,21978.9734822433,141.7533711884565,18805.456832785836,17834.33476324957,11691.21476063496,26110.347306430675,8021.831262891045,6213.618308342747,36217.73172746856,20687.15284336817,20238.79917901646,13693.059991846147,27878.67554923812,7424.081260888669,9120.107936324948,36463.55789152642,141.7533711884565,143.89785467612788,130.81480247671135,161.44415709885988,24.22543516750797,49.62190542632644,173.91188958370498,84,28,25,"(44.94738845177928, 0.3041078416782007, 0.06384867353127001, 72.63436686821059, 75.29268721553764, 0.004702059081876242, 179.74787688155973)",107,67,38.51,"(69.10469789916765, 1.069509872701186, 0.06365244863176209, 178.17464645774317, 85.70288603611877, 0.004702059081876242, 179.75592130111667)",0.6141732283464567,0.3228346456692913,4.530612244897959,3.1497489371927627,4,no_exog
svr,Australia,56,28,new_cases,7518.671456660445,16944.957548430128,165.30735148108414,7518.671456660445,6383.4905314120615,4533.531712947304,11507.799570090163,3891.255297563997,2707.1407647076812,15429.931089951906,14958.622589503611,11020.782272047732,9252.024469040796,22922.126955245145,7960.602775097592,5983.156266197427,30811.334318542667,165.30735148108414,168.50247829996562,157.27942639039964,176.78226679884708,21.37768782753069,116.67849724417414,196.29520336943182,153,10,6.13,"(11.521029164457445, 0.9516779773195901, 0.7512318680104162, 2.5908996969952307, 33.12864485897997, 0.44774297490470394, 170.58067936829295)",164,10,5.75,"(11.230054819681014, 1.0251204643256857, 0.7617259323330658, 3.7617419362993783, 32.09482623958372, 0.44774297490470394, 170.58067936829295)",0.41015625,0.46875,8.582781456953642,6.7797321637304035,7,death_all
svr,Australia,56,28,new_cases,7082.660647766752,16344.955919015856,114.99428808733354,7082.660647766752,5653.515170680635,4412.676812552481,10408.927598492213,3367.098566813062,3458.551941668503,14472.000404147384,14186.830009882508,9761.529497851061,8030.860792528309,22394.709815626273,8117.354141915248,5590.638737682856,30321.33147180795,114.99428808733353,102.10336499181155,90.35620613401974,138.7488498765847,36.044200451288056,68.12617184102557,183.5693422175637,147,16,9.82,"(18.906530825273904, 0.948650078931949, 0.6861543162127431, 1.7341150207308678, 48.98776667575282, 0.1533949635141244, 173.92804709299932)",155,19,10.92,"(20.209559536646704, 1.0762524935240332, 0.6942686648105686, 3.2950536194599325, 49.14394969658908, 0.1533949635141244, 173.92804709299932)",0.41015625,0.48828125,7.701986754966887,6.7860589465823296,7,death_mobility
