country,model,exog_vars,value,metric,stat
Australia,arima,death_all,5083.906460037031,MAE,MEDIAN
Australia,arima,death_mobility,5124.1325906057245,MAE,MEDIAN
Australia,arima,death_recovered,5179.381711326491,MAE,MEDIAN
Australia,arima,death_stringency,5123.9297891826745,MAE,MEDIAN
Australia,arima,no_exog,6657.824432544023,MAE,MEDIAN
Australia,cnn_lstm,death_all,30943.693080357145,MAE,MEDIAN
Australia,cnn_lstm,death_mobility,13963.369349888391,MAE,MEDIAN
Australia,cnn_lstm,death_recovered,16093.584751674109,MAE,MEDIAN
Australia,cnn_lstm,death_stringency,12639.913713727678,MAE,MEDIAN
Australia,cnn_lstm,no_exog,13646.146484375,MAE,MEDIAN
Australia,curvefit_lstm,death_all,35438.6473181773,MAE,MEDIAN
Australia,curvefit_lstm,death_mobility,31144.830043087662,MAE,MEDIAN
Australia,curvefit_lstm,death_recovered,21812.022794648077,MAE,MEDIAN
Australia,curvefit_lstm,death_stringency,21861.807138733937,MAE,MEDIAN
Australia,curvefit_lstm,no_exog,20136.2749819259,MAE,MEDIAN
Australia,lstm,death_all,14199.4462890625,MAE,MEDIAN
Australia,lstm,death_mobility,6980.034458705357,MAE,MEDIAN
Australia,lstm,death_recovered,11951.417096819196,MAE,MEDIAN
Australia,lstm,death_stringency,18234.206891741072,MAE,MEDIAN
Australia,lstm,no_exog,11590.563685825891,MAE,MEDIAN
Australia,prophet,death_all,10464.126400131328,MAE,MEDIAN
Australia,prophet,death_mobility,9779.337085587926,MAE,MEDIAN
Australia,prophet,death_recovered,10769.478989312867,MAE,MEDIAN
Australia,prophet,death_stringency,11145.471412856874,MAE,MEDIAN
Australia,prophet,no_exog,12468.890765834783,MAE,MEDIAN
Australia,sarima,death_all,3786.28300364646,MAE,MEDIAN
Australia,sarima,death_mobility,3742.281459509176,MAE,MEDIAN
Australia,sarima,death_recovered,3771.182540454918,MAE,MEDIAN
Australia,sarima,death_stringency,3796.7229204159103,MAE,MEDIAN
Australia,sarima,no_exog,3421.576006649513,MAE,MEDIAN
Australia,svr,death_all,6158.842473381162,MAE,MEDIAN
Australia,svr,death_mobility,5384.598655508993,MAE,MEDIAN
Australia,svr,death_recovered,14034.273356802038,MAE,MEDIAN
Australia,svr,death_stringency,6141.590348341904,MAE,MEDIAN
Australia,svr,no_exog,25722.249284230045,MAE,MEDIAN
Australia,arima,death_all,3693.767174088099,MAE,P25
Australia,arima,death_mobility,3642.570811658377,MAE,P25
Australia,arima,death_recovered,3313.858215234452,MAE,P25
Australia,arima,death_stringency,3357.864295136608,MAE,P25
Australia,arima,no_exog,4647.109203732355,MAE,P25
