country,model,exog_vars,value,metric,stat
China,arima,death_all,2506.246631617389,MAE,MEDIAN
China,arima,death_mobility,2386.7453056136146,MAE,MEDIAN
China,arima,death_recovered,2373.027868732166,MAE,MEDIAN
China,arima,death_stringency,2450.918947684759,MAE,MEDIAN
China,arima,no_exog,2428.4785014557365,MAE,MEDIAN
China,cnn_lstm,death_all,9815.055102757044,MAE,MEDIAN
China,cnn_lstm,death_mobility,5049.852643694197,MAE,MEDIAN
China,cnn_lstm,death_recovered,5593.237287248884,MAE,MEDIAN
China,cnn_lstm,death_stringency,10824.117847442629,MAE,MEDIAN
China,cnn_lstm,no_exog,5909.176513671875,MAE,MEDIAN
China,curvefit_lstm,death_all,5315.599880278849,MAE,MEDIAN
China,curvefit_lstm,death_mobility,3747.7110340176873,MAE,MEDIAN
China,curvefit_lstm,death_recovered,3960.435668945313,MAE,MEDIAN
China,curvefit_lstm,death_stringency,5515.579848118501,MAE,MEDIAN
China,curvefit_lstm,no_exog,3532.0714945715376,MAE,MEDIAN
China,lstm,death_all,5326.049490792411,MAE,MEDIAN
China,lstm,death_mobility,4264.520263671875,MAE,MEDIAN
China,lstm,death_recovered,4164.027744838169,MAE,MEDIAN
China,lstm,death_stringency,5412.759660993303,MAE,MEDIAN
China,lstm,no_exog,3982.25275530134,MAE,MEDIAN
China,prophet,death_all,5625.513549546862,MAE,MEDIAN
China,prophet,death_mobility,5691.992670666488,MAE,MEDIAN
China,prophet,death_recovered,5764.870385855437,MAE,MEDIAN
China,prophet,death_stringency,5674.470545050537,MAE,MEDIAN
China,prophet,no_exog,6533.275473975551,MAE,MEDIAN
China,sarima,death_all,2505.921520834569,MAE,MEDIAN
China,sarima,death_mobility,2572.4340320082697,MAE,MEDIAN
China,sarima,death_recovered,2572.1882230465258,MAE,MEDIAN
China,sarima,death_stringency,2506.0001890462563,MAE,MEDIAN
China,sarima,no_exog,2502.069856962677,MAE,MEDIAN
China,svr,death_all,7327.454663005656,MAE,MEDIAN
China,svr,death_mobility,7208.958864388929,MAE,MEDIAN
China,svr,death_recovered,6896.012353620591,MAE,MEDIAN
China,svr,death_stringency,7933.780163563483,MAE,MEDIAN
China,svr,no_exog,6579.1295603996605,MAE,MEDIAN
China,arima,death_all,1106.9933844775323,MAE,P25
China,arima,death_mobility,1106.7453117624054,MAE,P25
China,arima,death_recovered,1106.5601900103234,MAE,P25
China,arima,death_stringency,1087.639441868299,MAE,P25
China,arima,no_exog,1106.5321381638516,MAE,P25
China,cnn_lstm,death_all,5819.977253854275,MAE,P25
China,cnn_lstm,death_mobility,1894.4196308680944,MAE,P25
China,cnn_lstm,death_recovered,2017.6517224993029,MAE,P25
China,cnn_lstm,death_stringency,6271.906185422625,MAE,P25
China,cnn_lstm,no_exog,2684.892852783203,MAE,P25
China,curvefit_lstm,death_all,3392.6428250507515,MAE,P25
China,curvefit_lstm,death_mobility,1672.579232158738,MAE,P25
China,curvefit_lstm,death_recovered,1656.7145108938907,MAE,P25
China,curvefit_lstm,death_stringency,3258.9992899816943,MAE,P25
China,curvefit_lstm,no_exog,1484.9548180585657,MAE,P25
China,lstm,death_all,3092.8400355747767,MAE,P25
China,lstm,death_mobility,1938.2579781668524,MAE,P25
China,lstm,death_recovered,2174.098563058036,MAE,P25
China,lstm,death_stringency,3193.36017717634,MAE,P25
China,lstm,no_exog,2180.682826450893,MAE,P25
China,prophet,death_all,1456.9939058020116,MAE,P25
China,prophet,death_mobility,2154.225187216701,MAE,P25
China,prophet,death_recovered,2255.284466454485,MAE,P25
China,prophet,death_stringency,1469.0789687851516,MAE,P25
China,prophet,no_exog,3039.7038133863743,MAE,P25
China,sarima,death_all,976.4400070342714,MAE,P25
China,sarima,death_mobility,962.3592128343226,MAE,P25
China,sarima,death_recovered,989.442506108932,MAE,P25
China,sarima,death_stringency,976.4520834608952,MAE,P25
China,sarima,no_exog,997.515640511159,MAE,P25
China,svr,death_all,4352.698264711167,MAE,P25
China,svr,death_mobility,4110.039751419217,MAE,P25
China,svr,death_recovered,3915.127185072275,MAE,P25
China,svr,death_stringency,4805.513260005467,MAE,P25
China,svr,no_exog,3313.701016346913,MAE,P25
China,arima,death_all,7043.176182139019,MAE,P75
China,arima,death_mobility,7102.208987307422,MAE,P75
China,arima,death_recovered,7103.706237827765,MAE,P75
China,arima,death_stringency,7043.696337761048,MAE,P75
China,arima,no_exog,7102.790845133355,MAE,P75
China,cnn_lstm,death_all,20866.784681047717,MAE,P75
China,cnn_lstm,death_mobility,12181.234444754464,MAE,P75
China,cnn_lstm,death_recovered,12512.332380022322,MAE,P75
China,cnn_lstm,death_stringency,23773.749931880404,MAE,P75
China,cnn_lstm,no_exog,15256.511213030137,MAE,P75
China,curvefit_lstm,death_all,12805.344757685376,MAE,P75
China,curvefit_lstm,death_mobility,9617.416155133928,MAE,P75
China,curvefit_lstm,death_recovered,10070.167756182116,MAE,P75
China,curvefit_lstm,death_stringency,12132.885789996477,MAE,P75
China,curvefit_lstm,no_exog,9111.554360828595,MAE,P75
China,lstm,death_all,12675.73592703683,MAE,P75
China,lstm,death_mobility,10074.549952915737,MAE,P75
China,lstm,death_recovered,11260.000610351562,MAE,P75
China,lstm,death_stringency,13042.6909702846,MAE,P75
China,lstm,no_exog,9666.582292829242,MAE,P75
China,prophet,death_all,14776.71458581433,MAE,P75
China,prophet,death_mobility,15481.371138741284,MAE,P75
China,prophet,death_recovered,15662.402850632196,MAE,P75
China,prophet,death_stringency,14942.033550213937,MAE,P75
China,prophet,no_exog,15560.381093683647,MAE,P75
China,sarima,death_all,7316.837110796736,MAE,P75
China,sarima,death_mobility,7311.122190156468,MAE,P75
China,sarima,death_recovered,7320.929060006269,MAE,P75
China,sarima,death_stringency,7316.821234252416,MAE,P75
China,sarima,no_exog,7334.988710165372,MAE,P75
China,svr,death_all,19692.734408538246,MAE,P75
